Actividades económicas comerciales y de servicios;;;;;;;;;
;;;;;;;;;
Distrito;Barrio;Denominación;Comercio, restaurantes, hostelería y reparaciones;Transportes y comunicaciones;Instituciones financieras y seguros;Otros servicios;;;
1;1;1.1. la Seu;381;11;278;110;;;
1;2;1.2. la Xerea;443;33;776;236;;;
1;3;1.3. el Carme;371;14;194;147;;;
1;4;1.4. el Pilar;197;18;163;125;;;
1;5;1.5. el Mercat;816;6;361;133;;;
1;6;1.6. Sant Francesc;1.413;79;2.216;608;;;
2;1;2.1. Russafa;1.717;84;928;480;;;
2;2;2.2. el Pla del Remei;944;53;1.578;412;;;
2;3;2.3. Gran Via;863;39;876;332;;;
3;1;3.1. el Botànic;356;19;286;180;;;
3;2;3.2. la Roqueta;548;31;496;214;;;
3;3;3.3. la Petxina;624;47;446;300;;;
3;4;3.4. Arrancapins;1.069;105;938;510;;;
4;1;4.1. Campanar;784;73;383;247
4;2;4.2. les Tendetes;153;37;86;53
4;3;4.3. el Calvari;151;24;48;30
4;4;4.4. Sant Pau;512;70;472;275
5;1;5.1. Marxalenes;301;61;164;102
5;2;5.2. Morvedre;316;32;194;132
5;3;5.3. Trinitat;322;24;160;131
5;4;5.4. Tormos;246;54;122;83
5;5;5.5. Sant Antoni;298;42;180;131
6;1;6.1. Exposició;253;13;412;192
6;2;6.2. Mestalla;596;60;724;264
6;3;6.3. Jaume Roig;205;12;326;115
6;4;6.4. Ciutat Universitària;104;10;142;95
7;1;7.1. Nou Moles;787;117;344;310
7;2;7.2. Soternes;128;21;43;59
7;3;7.3. Tres Forques;170;32;64;52
7;4;7.4. la Fontsanta;86;9;17;32
7;5;7.5. la Llum;113;40;65;47
8;1;8.1. Patraix;869;112;431;317
8;2;8.2. Sant Isidre;265;76;104;90
8;3;8.3. Vara de Quart;500;85;182;137
8;4;8.4. Safranar;267;70;181;95
8;5;8.5. Favara;122;28;39;38
9;1;9.1. la Raiosa;461;72;282;236
9;2;9.2. l'Hort de Senabre;490;88;181;181
9;3;9.3. la Creu Coberta;148;36;50;54
9;4;9.4. Sant Marcel·lí;221;57;84;83
9;5;9.5. Camí Real;78;30;32;25
10;1;10.1. Mont-Olivet;578;84;309;227
10;2;10.2. En Corts;358;43;142;119
10;3;10.3. Malilla;599;149;248;182
10;4;10.4. Fonteta de Sant Lluís;74;24;36;25
10;5;10.5. na Rovella;121;31;39;66
10;6;10.6. la Punta;256;38;54;35
10;7;10.7. Ciutat de les Arts i de les Ciències;380;40;267;122
11;1;11.1. el Grau;346;253;173;75
11;2;11.2. el Cabanyal-el Canyamelar;878;140;255;220
11;3;11.3. la Malva-rosa;312;53;116;93
11;4;11.4. Beteró;173;31;89;45
11;5;11.5. Natzaret;123;24;35;39
11;0;11.0. El Puerto;55;56;18;21
12;1;12.1. Aiora;664;117;331;238
12;2;12.2. Albors;359;35;153;150
12;3;12.3. la Creu del Grau;388;71;168;145
12;4;12.4. Camí Fondo;114;17;96;49
12;5;12.5. Penya-roja;533;42;541;163
13;1;13.1. l'Illa Perduda;251;33;101;104
13;2;13.2. Ciutat Jardí;517;34;256;165
13;3;13.3. l'Amistat;213;32;121;102
13;4;13.4. la Bega Baixa;244;17;198;106
13;5;13.5. la Carrasca;127;12;116;92
14;1;14.1. Benimaclet;842;89;554;378
14;2;14.2. Camí de Vera;136;24;77;57
15;1;15.1. Orriols;364;61;140;128
15;2;15.2. Torrefiel;653;107;270;231
15;3;15.3. Sant Llorenç;296;37;213;113
16;1;16.1. Benicalap;1.058;256;537;368
16;2;16.2. Ciutat Fallera;125;33;31;51
17;1;17.1. Benifaraig;19;7;8;12
17;2;17.2. Poble Nou;46;6;19;7
17;3;17.3. Carpesa;29;10;19;6
17;4;17.4. Cases de Bàrcena;18;2;2;0
17;5;17.5. Mauella;2;0;0;0
17;6;17.6. Massarrojos;29;5;42;11
17;7;17.7. Borbotó;11;7;14;14
18;1;18.1. Benimàmet;353;48;162;102
18;2;18.2. Beniferri;88;15;132;44
19;1;19.1. el Forn d'Alcedo;112;15;29;11
19;2;19.2. el Castellar-l'Oliverar;173;81;74;59
19;3;19.3. Pinedo;146;21;57;47
19;4;19.4. el Saler;60;14;41;16
19;5;19.5. el Palmar;54;13;13;5
19;6;19.6. el Perellonet;36;4;24;12
19;7;19.7. la Torre;109;23;27;33
19;8;19.8. Faitanar;25;5;11;11
99;9;No consta;1.671;1.170;1.855;836
Impuesto de Actividades Económicas. Oficina de Estadística. Ajuntament de València;;;;;;
