Actividades económicas comerciales y de servicios;;;;;;;;;
;;;;;;;;;
Distrito;Barrio;Denominación;Comercio, restaurantes, hostelería y reparaciones;Transportes y comunicaciones;Instituciones financieras y seguros;Otros servicios;;;
1;1;1.1. la Seu;357;7;248;117;;;
1;2;1.2. la Xerea;485;35;840;232;;;
1;3;1.3. el Carme;409;20;235;154;;;
1;4;1.4. el Pilar;199;14;184;139;;;
1;5;1.5. el Mercat;873;8;381;137;;;
1;6;1.6. Sant Francesc;1.481;78;2.353;625;;;
2;1;2.1. Russafa;1.695;82;967;554;;;
2;2;2.2. el Pla del Remei;987;58;1.686;429;;;
2;3;2.3. Gran Via;867;36;968;356;;;
3;1;3.1. el Botànic;346;19;309;219;;;
3;2;3.2. la Roqueta;603;36;594;233;;;
3;3;3.3. la Petxina;630;43;476;306;;;
3;4;3.4. Arrancapins;1.049;101;995;544;;;
4;1;4.1. Campanar;791;67;400;256;;;
4;2;4.2. les Tendetes;149;36;95;55;;;
4;3;4.3. el Calvari;145;21;46;31;;;
4;4;4.4. Sant Pau;550;88;550;322;;;
5;1;5.1. Marxalenes;278;52;170;108;;;
5;2;5.2. Morvedre;309;31;205;121;;;
5;3;5.3. Trinitat;306;22;169;144;;;
5;4;5.4. Tormos;205;60;143;83;;;
5;5;5.5. Sant Antoni;278;45;175;133;;;
6;1;6.1. Exposició;289;15;446;212;;;
6;2;6.2. Mestalla;618;57;781;297;;;
6;3;6.3. Jaume Roig;211;13;368;122;;;
6;4;6.4. Ciutat Universitària;118;11;155;106;;;
7;1;7.1. Nou Moles;759;112;406;332;;;
7;2;7.2. Soternes;116;23;44;68;;;
7;3;7.3. Tres Forques;144;30;66;57;;;
7;4;7.4. la Fontsanta;89;11;24;32;;;
7;5;7.5. la Llum;117;38;74;55;;;
8;1;8.1. Patraix;852;118;454;337;;;
8;2;8.2. Sant Isidre;292;74;113;92;;;
8;3;8.3. Vara de Quart;504;84;204;150;;;
8;4;8.4. Safranar;243;75;175;103;;;
8;5;8.5. Favara;117;23;43;35;;;
9;1;9.1. la Raiosa;480;64;307;258;;;
9;2;9.2. l'Hort de Senabre;476;88;211;204;;;
9;3;9.3. la Creu Coberta;150;33;57;51;;;
9;4;9.4. Sant Marcel·lí;219;62;90;93;;;
9;5;9.5. Camí Real;81;30;42;23;;;
10;1;10.1. Mont-Olivet;590;71;335;227;;;
10;2;10.2. En Corts;373;39;165;130;;;
10;3;10.3. Malilla;605;140;292;192;;;
10;4;10.4. Fonteta de Sant Lluís;62;26;37;21;;;
10;5;10.5. na Rovella;136;30;43;67;;;
10;6;10.6. la Punta;266;41;78;37;;;
10;7;10.7. Ciutat de les Arts i de les Ciències;420;49;322;124;;;
11;1;11.1. el Grau;65;50;23;22;;;
11;2;11.2. el Cabanyal-el Canyamelar;342;247;219;92;;;
11;3;11.3. la Malva-rosa;871;134;315;255;;;
11;4;11.4. Beteró;305;51;131;106;;;
11;5;11.5. Natzaret;175;29;101;54;;;
11;0;11.0. El Puerto;123;31;42;43;;;
12;1;12.1. Aiora;641;112;354;241;;;
12;2;12.2. Albors;363;39;179;166;;;
12;3;12.3. la Creu del Grau;399;70;184;135;;;
12;4;12.4. Camí Fondo;148;14;107;53;;;
12;5;12.5. Penya-roja;642;38;594;189;;;
13;1;13.1. l'Illa Perduda;245;31;109;115;;;
13;2;13.2. Ciutat Jardí;497;36;285;181;;;
13;3;13.3. l'Amistat;223;32;137;113;;;
13;4;13.4. la Bega Baixa;235;14;197;110;;;
13;5;13.5. la Carrasca;136;9;120;96;;;
14;1;14.1. Benimaclet;894;75;588;396;;;
14;2;14.2. Camí de Vera;142;23;88;69;;;
15;1;15.1. Orriols;336;49;140;122;;;
15;2;15.2. Torrefiel;655;108;295;212;;;
15;3;15.3. Sant Llorenç;314;36;239;133;;;
16;1;16.1. Benicalap;1.080;271;601;373;;;
16;2;16.2. Ciutat Fallera;122;28;41;43;;;
17;1;17.1. Benifaraig;15;6;19;14;;;
17;2;17.2. Poble Nou;38;4;22;7;;;
17;3;17.3. Carpesa;29;6;19;8;;;
17;4;17.4. Cases de Bàrcena;16;2;1;1;;;
17;5;17.5. Mauella;3;0;1;0;;;
17;6;17.6. Massarrojos;37;3;54;11;;;
17;7;17.7. Borbotó;12;7;10;11;;;
18;1;18.1. Benimàmet;351;58;175;105;;;
18;2;18.2. Beniferri;99;14;147;46;;;
19;1;19.1. el Forn d'Alcedo;108;11;34;11;;;
19;2;19.2. el Castellar-l'Oliverar;169;83;90;68;;;
19;3;19.3. Pinedo;117;14;51;40;;;
19;4;19.4. el Saler;51;13;48;25;;;
19;5;19.5. el Palmar;52;14;19;5;;;
19;6;19.6. el Perellonet;43;5;37;10;;;
19;7;19.7. la Torre;86;25;35;35;;;
19;8;19.8. Faitanar;20;4;15;9;;;
99;9;No consta;1.992;1.170;2.226;968;;;
Impuesto de Actividades Económicas. Oficina de Estadística. Ajuntament de València;;;;;;;;;
