Actividades económicas comerciales y de servicios. 2017;;;;;;;
;;;;;;;
Distrito;Barrio;Denominación;Total;Comercio, restaurantes, hostelería y reparaciones;Transportes y comunicaciones;Instituciones financieras y seguros;Otros servicios
1;1;1.1. la Seu;758;383;6;255;114
1;2;1.2. la Xerea;1.629;483;33;882;231
1;3;1.3. el Carme;810;410;19;234;147
1;4;1.4. el Pilar;571;200;12;216;143
1;5;1.5. el Mercat;1.440;883;7;400;150
1;6;1.6. Sant Francesc;4.754;1.541;71;2.475;667
1;9;No consta;75;27;2;35;11
2;1;2.1. Russafa;3.405;1.690;80;1.024;611
2;2;2.2. el Pla del Remei;3.311;1.012;63;1.761;475
2;3;2.3. Gran Via;2.267;863;36;1.010;358
2;9;No consta;21;11;2;6;2
3;1;3.1. el Botànic;943;354;17;334;238
3;2;3.2. la Roqueta;1.532;637;45;622;228
3;3;3.3. la Petxina;1.530;657;50;493;330
3;4;3.4. Arrancapins;2.729;1.046;103;1.041;539
3;9;No consta;22;6;1;13;2
4;1;4.1. Campanar;1.507;765;66;408;268
4;2;4.2. les Tendetes;323;134;40;90;59
4;3;4.3. el Calvari;251;136;22;55;38
4;4;4.4. Sant Pau;1.604;578;87;599;340
4;9;No consta;41;20;7;8;6
5;1;5.1. Marxalenes;649;298;56;176;119
5;2;5.2. Morvedre;688;308;30;219;131
5;3;5.3. Trinitat;628;290;27;180;131
5;4;5.4. Tormos;505;206;61;144;94
5;5;5.5. Sant Antoni;647;274;41;191;141
5;9;No consta;18;5;4;7;2
6;1;6.1. Exposició;983;293;17;455;218
6;2;6.2. Mestalla;1.780;629;58;802;291
6;3;6.3. Jaume Roig;720;212;14;374;120
6;4;6.4. Ciutat Universitària;393;129;8;151;105
6;9;No consta;13;4;0;6;3
7;1;7.1. Nou Moles;1.578;732;108;420;318
7;2;7.2. Soternes;245;112;23;48;62
7;3;7.3. Tres Forques;298;144;33;62;59
7;4;7.4. la Fontsanta;133;75;9;23;26
7;5;7.5. la Llum;277;106;40;78;53
7;9;No consta;3;0;1;2;0
8;1;8.1. Patraix;1.793;849;118;480;346
8;2;8.2. Sant Isidre;533;255;75;107;96
8;3;8.3. Vara de Quart;987;515;88;217;167
8;4;8.4. Safranar;589;240;69;183;97
8;5;8.5. Favara;225;121;26;43;35
8;9;No consta;16;5;6;3;2
9;1;9.1. la Raiosa;1.090;455;72;316;247
9;2;9.2. l'Hort de Senabre;1.015;497;91;224;203
9;3;9.3. la Creu Coberta;295;147;34;65;49
9;4;9.4. Sant Marcel·lí;483;227;67;93;96
9;5;9.5. Camí Real;191;88;33;42;28
9;9;No consta;9;3;2;2;2
10;1;10.1. Mont-Olivet;1.260;607;73;354;226
10;2;10.2. en Corts;717;374;38;181;124
10;3;10.3. Malilla;1.247;601;141;310;195
10;4;10.4. Fonteta de Sant Lluís;140;60;27;33;20
10;5;10.5. na Rovella;281;141;29;47;64
10;6;10.6. la Punta;437;276;47;78;36
10;7;10.7. Ciutat de les Arts i de les Ciències;934;436;52;310;136
10;9;No consta;41;14;9;11;7
11;0;11.0. Puerto;198;80;58;35;25
11;1;11.1. el Grau;923;349;234;234;106
11;2;11.2. el Cabanyal- el Canyamelar;1.585;867;127;331;260
11;3;11.3. la Malva-rosa;601;313;48;137;103
11;4;11.4. Beteró;353;172;24;105;52
11;5;11.5. Natzaret;233;122;32;36;43
11;9;No consta;14;4;2;3;5
12;1;12.1. Aiora;1.382;648;116;371;247
12;2;12.2. Albors;762;352;43;195;172
12;3;12.3. la Creu del Grau;780;387;72;182;139
12;4;12.4. Camí Fondo;318;144;15;102;57
12;5;12.5. Penya-roja;1.498;649;41;613;195
12;9;No consta;18;7;3;5;3
13;1;13.1. l'Illa Perduda;532;255;30;122;125
13;2;13.2. Ciutat Jardí;975;476;35;285;179
13;3;13.3. l'Amistat;474;216;29;126;103
13;4;13.4. la Bega Baixa;576;241;16;209;110
13;5;13.5. la Carrasca;378;125;8;131;114
13;9;No consta;12;3;1;6;2
14;1;14.1. Benimaclet;1.931;891;75;572;393
14;2;14.2. Camí de Vera;312;133;22;91;66
15;1;15.1. Orriols;677;330;59;160;128
15;2;15.2. Torrefiel;1.235;613;110;301;211
15;3;15.3. Sant Llorenç;814;331;35;294;154
15;9;No consta;17;12;4;1;0
16;1;16.1. Benicalap;2.370;1.073;284;627;386
16;2;16.2. Ciutat Fallera;248;128;35;40;45
16;9;No consta;1;0;0;0;1
17;1;17.1. Benifaraig;54;19;6;17;12
17;2;17.2. Poble Nou;86;51;3;24;8
17;3;17.3. Carpesa;60;27;6;18;9
17;4;17.4. Cases de Bàrcena;22;16;2;2;2
17;5;17.5. Mauella;4;3;0;1;0
17;6;17.6. Massarrojos;105;34;3;55;13
17;7;17.7. Borbotó;46;13;8;11;14
17;9;No consta;2;0;0;1;1
18;1;18.1. Benimàmet;648;323;50;171;104
18;2;18.2. Beniferri;321;104;14;154;49
19;1;19.1. el Forn d'Alcedo;165;107;11;34;13
19;2;19.2. el Castellar-l'Oliverar;385;154;78;95;58
19;3;19.3. Pinedo;214;107;14;53;40
19;4;19.4. el Saler;146;59;12;50;25
19;5;19.5. el Palmar;98;56;13;24;5
19;6;19.6. el Perellonet;99;46;5;37;11
19;7;19.7. la Torre;180;81;27;36;36
19;8;19.8. Faitanar;56;25;7;14;10
19;9;No consta;3;0;2;1;0
20;9;No consta;6.114;1.864;1.158;2.180;912
Impuesto de Actividades Económicas a 1/1/2017. Oficina d'Estadística. Ajuntament de València.;;;;;;;
