"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;90;6,07;5,76;5,28;5,27;5,37
2;"la Xerea";1;12;90;8,33;7,34;6,5;6,48;6,48
3;"el Carme";1;13;90;22,48;21,6;20,41;20,41;20,81
4;"el Pilar";1;14;90;26,22;24,39;22,86;22,79;22,04
5;"el Mercat";1;15;90;10,03;9,43;8,81;8,76;8,69
6;"Sant Francesc";1;16;90;1,35;1,38;1,18;1,18;1,18
7;"Russafa";2;21;90;6,86;6,11;5,26;5,24;5,21
8;"el Pla del Remei";2;22;90;0,07;0,07;0,07;0,07;0,07
9;"Gran Via";2;23;90;0,29;0,26;0,24;0,24;0,24
10;"el Botànic";3;31;90;20,47;19,65;18,56;18,5;18,6
11;"la Roqueta";3;32;90;7,21;7,02;6,65;6,65;6,66
12;"la Petxina";3;33;90;2,88;2,62;2,42;2,42;2,38
13;"Arrancapins";3;34;90;1,03;0,85;0,76;0,76;0,76
14;"Campanar";4;41;90;1,85;1,68;1,47;1,5;1,5
15;"les Tendetes";4;42;90;28,2;20,35;15,93;15,93;15,91
16;"el Calvari";4;43;90;29,49;26,59;24,17;24,2;24,11
17;"Sant Pau";4;44;90;0,57;0,52;0,52;0,52;0,5
18;"Marxalenes";5;51;90;9,29;8,64;7,43;7,37;7,33
19;"Morvedre";5;52;90;14,19;12,52;10,59;10,59;10,56
20;"Trinitat";5;53;90;7,96;7,16;6,37;6,35;6,35
21;"Tormos";5;54;90;28,89;28,12;26,97;26,96;26,96
22;"Sant Antoni";5;55;90;5,33;4,62;3,64;3,64;3,6
23;"Exposició";6;61;90;0,33;0,18;0,15;0,15;0,15
24;"Mestalla";6;62;90;0,69;0,42;0,36;0,36;0,35
25;"Jaume Roig";6;63;90;0,3;0,1;0,07;0,07;0,07
26;"Ciutat Universitària";6;64;90;0,07;0,07;0,07;0,07;0,07
27;"Nou Moles";7;71;90;9,26;7,93;7,07;7,04;7,01
28;"Soternes";7;72;90;20,39;19,46;18,65;18,65;18,68
29;"Tres Forques";7;73;90;20,2;18,41;17,7;17,7;17,7
30;"la Fontsanta";7;74;90;56,81;56,81;56,81;56,81;56,81
31;"la Llum";7;75;90;0,04;0,04;0,04;0,04;0,04
32;"Patraix";8;81;90;6,83;5,98;5,06;5,05;5,02
33;"Sant Isidre";8;82;90;0,21;0,21;0,21;0,2;0,2
34;"Vara de Quart";8;83;90;0,18;0,15;0,11;0,11;0,11
35;"Safranar";8;84;90;0,52;0,7;0,49;0,48;0,47
36;"Favara";8;85;90;10,61;10,2;9,33;9,31;9,29
37;"la Raiosa";9;91;90;7,96;6,87;5,92;5,93;5,87
38;"l'Hort de Senabre";9;92;90;9,52;8,74;8,04;8,04;8,04
39;"la Creu Coberta";9;93;90;23,73;23,27;22,39;22,35;22,35
41;"Camí Real";9;95;90;5,65;5,28;4,21;4,21;4,21
42;"Mont-Olivet";10;101;90;10,27;8,95;7,94;7,91;7,9
43;"en Corts";10;102;90;13,7;11,99;10,88;10,8;10,76
44;"Malilla";10;103;90;1,94;1,73;1,57;1,53;1,49
45;"Fonteta de Sant Lluís";10;104;90;11,3;9,53;8,4;8,42;8,34
46;"na Rovella";10;105;90;8,45;8,08;7,1;7,1;7,1
47;"la Punta";10;106;90;17,48;16,97;15,65;15,64;14,55
48;"Ciutat de les Arts i les Ciències";10;107;90;0;0;0;0;0
49;"el Grau";11;111;90;11,93;10,69;9,66;8,89;8,63
50;"el Cabanyal-el Canyamelar";11;112;90;42,29;39,64;37,84;37,76;37,73
51;"la Malva-rosa";11;113;90;29,2;28,32;27,39;27,39;27,14
52;"Beteró";11;114;90;17,55;17,35;15,07;15,07;15,07
53;"Natzaret";11;115;90;33,97;31,87;29,7;29,68;29,63
54;"Aiora";12;121;90;13,89;12,02;9,97;10,01;9,99
55;"Albors";12;122;90;8,18;7,15;6,29;6,29;6,31
56;"la Creu del Grau";12;123;90;8,74;7,21;5,76;5,71;5,72
57;"Camí Fondo";12;124;90;22,28;19,35;16,75;16,46;16,46
58;"Penya-roja";12;125;90;0,22;0,22;0,22;0,21;0,21
59;"l'Illa Perduda";13;131;90;4,29;3,94;3,62;3,62;3,62
60;"Ciutat Jardí";13;132;90;0,23;0,23;0,23;0,23;0,23
61;"l'Amistat";13;133;90;7,63;6,1;5,05;5,05;5,05
62;"la Bega Baixa";13;134;90;0,03;0,03;0,03;0,03;0,03
63;"la Carrasca";13;135;90;0,79;0,79;0,74;0,74;0,74
64;"Benimaclet";14;141;90;12,1;11,12;10,28;10,25;10,24
65;"Camí de Vera";14;142;90;0,48;0,48;0,48;0,6;0,6
66;"Orriols";15;151;90;33,65;30,84;29,03;29,03;29,06
67;"Torrefiel";15;152;90;15,01;13,72;12,21;12,21;12,22
68;"Sant Llorenç";15;153;90;0,04;0,04;0,04;0,04;0,04
69;"Benicalap";16;161;90;12,55;11,72;10,76;10,7;10,54
70;"Ciutat Fallera";16;162;90;12,59;10,11;9,92;9,95;12,29
71;"Benifaraig";17;171;90;4,14;4;3,61;3,59;3,59
72;"Poble Nou";17;172;90;24,9;13,02;9,34;9,65;9,65
73;"Carpesa";17;173;90;17,87;17,18;16,41;16,32;16,3
74;"Cases de Bàrcena";17;174;90;39,5;37,71;36,17;35,86;35,86
75;"Mauella";17;175;90;36,84;37,5;30,14;28,57;28,17
76;"Massarrojos";17;176;90;7,75;7,08;6,82;6,89;6,88
