"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2019"
1;"la Seu";1;11;107;78,33
2;"la Xerea";1;12;107;83,18
3;"el Carme";1;13;107;79,24
4;"el Pilar";1;14;107;78,26
5;"el Mercat";1;15;107;80,96
6;"Sant Francesc";1;16;107;83,21
7;"Russafa";2;21;107;82,47
8;"el Pla del Remei";2;22;107;87,84
9;"Gran Via";2;23;107;85,26
10;"el Botànic";3;31;107;79,79
11;"la Roqueta";3;32;107;78,19
12;"la Petxina";3;33;107;82,68
13;"Arrancapins";3;34;107;82,5
14;"Campanar";4;41;107;82,41
15;"les Tendetes";4;42;107;78,85
16;"el Calvari";4;43;107;69,72
17;"Sant Pau";4;44;107;81,62
18;"Marxalenes";5;51;107;77,35
19;"Morvedre";5;52;107;78,06
20;"Trinitat";5;53;107;80,33
21;"Tormos";5;54;107;75,51
22;"Sant Antoni";5;55;107;79,92
23;"Exposició";6;61;107;85,29
24;"Mestalla";6;62;107;82,69
25;"Jaume Roig";6;63;107;85,28
26;"Ciutat Universitària";6;64;107;84,56
27;"Nou Moles";7;71;107;76,63
28;"Soternes";7;72;107;75,08
29;"Tres Forques";7;73;107;70,42
30;"la Fontsanta";7;74;107;63,45
31;"la Llum";7;75;107;78,76
32;"Patraix";8;81;107;76,73
33;"Sant Isidre";8;82;107;78,67
34;"Vara de Quart";8;83;107;80,48
35;"Safranar";8;84;107;82,51
36;"Favara";8;85;107;78,27
37;"la Raiosa";9;91;107;77,37
38;"l'Hort de Senabre";9;92;107;77,24
39;"la Creu Coberta";9;93;107;77,52
41;"Camí Real";9;95;107;74,9
42;"Mont-Olivet";10;101;107;75,51
43;"en Corts";10;102;107;73,93
44;"Malilla";10;103;107;78,76
45;"Fonteta de Sant Lluís";10;104;107;71,19
46;"na Rovella";10;105;107;63,44
47;"la Punta";10;106;107;73,62
48;"Ciutat de les Arts i les Ciències";10;107;107;82,61
49;"el Grau";11;111;107;74,35
50;"el Cabanyal-el Canyamelar";11;112;107;71,26
51;"la Malva-rosa";11;113;107;72,51
52;"Beteró";11;114;107;77,32
53;"Natzaret";11;115;107;64,64
54;"Aiora";12;121;107;75,51
55;"Albors";12;122;107;77,87
56;"la Creu del Grau";12;123;107;75,88
57;"Camí Fondo";12;124;107;75,26
58;"Penya-roja";12;125;107;84,13
59;"l'Illa Perduda";13;131;107;77,76
60;"Ciutat Jardí";13;132;107;82,05
61;"l'Amistat";13;133;107;76,63
62;"la Bega Baixa";13;134;107;84,01
63;"la Carrasca";13;135;107;82,42
64;"Benimaclet";14;141;107;79,25
65;"Camí de Vera";14;142;107;83,32
66;"Orriols";15;151;107;69,72
67;"Torrefiel";15;152;107;72
68;"Sant Llorenç";15;153;107;84,35
69;"Benicalap";16;161;107;75,92
70;"Ciutat Fallera";16;162;107;71,28
71;"Benifaraig";17;171;107;81,72
72;"Poble Nou";17;172;107;71,76
73;"Carpesa";17;173;107;81,05
74;"Cases de Bàrcena";17;174;107;72,91
75;"Mauella";17;175;107;72,91
76;"Massarrojos";17;176;107;83,22
77;"Borbotó";17;177;107;79,82
78;"Benimàmet";18;181;107;73,27
79;"Beniferri";18;182;107;83,55
80;"el Forn d'Alcedo";19;191;107;73,47
81;"el Castellar-l'Oliverar";19;192;107;75,64
82;"Pinedo";19;193;107;75,34
83;"el Saler";19;194;107;79,86
84;"el Palmar";19;195;107;88,13
85;"el Perellonet";19;196;107;76,94
86;"la Torre";19;197;107;70,56
87;"Faitanar";19;198;107;70,56
