"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2019"
1;"la Seu";1;11;113;77,45
2;"la Xerea";1;12;113;80,51
3;"el Carme";1;13;113;75,47
4;"el Pilar";1;14;113;75,92
5;"el Mercat";1;15;113;78,1
6;"Sant Francesc";1;16;113;80,92
7;"Russafa";2;21;113;79,59
8;"el Pla del Remei";2;22;113;86,19
9;"Gran Via";2;23;113;83,32
10;"el Botànic";3;31;113;77,64
11;"la Roqueta";3;32;113;76,18
12;"la Petxina";3;33;113;79,73
13;"Arrancapins";3;34;113;80,92
14;"Campanar";4;41;113;79,55
15;"les Tendetes";4;42;113;74,81
16;"el Calvari";4;43;113;67,7
17;"Sant Pau";4;44;113;79,77
18;"Marxalenes";5;51;113;74,71
19;"Morvedre";5;52;113;74,58
20;"Trinitat";5;53;113;77,28
21;"Tormos";5;54;113;71,61
22;"Sant Antoni";5;55;113;76,01
23;"Exposició";6;61;113;83,39
24;"Mestalla";6;62;113;80,79
25;"Jaume Roig";6;63;113;83,41
26;"Ciutat Universitària";6;64;113;83,96
27;"Nou Moles";7;71;113;73,5
28;"Soternes";7;72;113;72,32
29;"Tres Forques";7;73;113;67,11
30;"la Fontsanta";7;74;113;59,54
31;"la Llum";7;75;113;76,42
32;"Patraix";8;81;113;77,45
33;"Sant Isidre";8;82;113;75,82
34;"Vara de Quart";8;83;113;77,45
35;"Safranar";8;84;113;79,41
36;"Favara";8;85;113;74,7
37;"la Raiosa";9;91;113;75,19
38;"l'Hort de Senabre";9;92;113;75,11
39;"la Creu Coberta";9;93;113;75,26
41;"Camí Real";9;95;113;73,27
42;"Mont-Olivet";10;101;113;72,36
43;"en Corts";10;102;113;70,83
44;"Malilla";10;103;113;76,72
45;"Fonteta de Sant Lluís";10;104;113;65,17
46;"na Rovella";10;105;113;59,28
47;"la Punta";10;106;113;68,93
48;"Ciutat de les Arts i les Ciències";10;107;113;80,03
49;"el Grau";11;111;113;71,1
50;"el Cabanyal-el Canyamelar";11;112;113;66,94
51;"la Malva-rosa";11;113;113;68,67
52;"Beteró";11;114;113;73,16
53;"Natzaret";11;115;113;62,11
54;"Aiora";12;121;113;72,68
55;"Albors";12;122;113;75,78
56;"la Creu del Grau";12;123;113;72,98
57;"Camí Fondo";12;124;113;72,69
58;"Penya-roja";12;125;113;81,38
59;"l'Illa Perduda";13;131;113;75,79
60;"Ciutat Jardí";13;132;113;79,88
61;"l'Amistat";13;133;113;73,42
62;"la Bega Baixa";13;134;113;81,36
63;"la Carrasca";13;135;113;81,06
64;"Benimaclet";14;141;113;76,9
65;"Camí de Vera";14;142;113;79,66
66;"Orriols";15;151;113;66,04
67;"Torrefiel";15;152;113;69,25
68;"Sant Llorenç";15;153;113;82,42
69;"Benicalap";16;161;113;72,99
70;"Ciutat Fallera";16;162;113;66,96
71;"Benifaraig";17;171;113;76,27
72;"Poble Nou";17;172;113;67,79
73;"Carpesa";17;173;113;76,19
74;"Cases de Bàrcena";17;174;113;65,59
75;"Mauella";17;175;113;65,59
76;"Massarrojos";17;176;113;81,05
77;"Borbotó";17;177;113;75,66
78;"Benimàmet";18;181;113;69,35
79;"Beniferri";18;182;113;80,89
80;"el Forn d'Alcedo";19;191;113;69,22
81;"el Castellar-l'Oliverar";19;192;113;72,19
82;"Pinedo";19;193;113;72,61
83;"el Saler";19;194;113;76,96
84;"el Palmar";19;195;113;84,2
85;"el Perellonet";19;196;113;73,73
86;"la Torre";19;197;113;66,26
87;"Faitanar";19;198;113;66,26
