"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2019"
1;"la Seu";1;11;101;71,55
2;"la Xerea";1;12;101;74,16
3;"el Carme";1;13;101;69,19
4;"el Pilar";1;14;101;69,48
5;"el Mercat";1;15;101;71,02
6;"Sant Francesc";1;16;101;75,56
7;"Russafa";2;21;101;72,31
8;"el Pla del Remei";2;22;101;80,83
9;"Gran Via";2;23;101;77,27
10;"el Botànic";3;31;101;71,17
11;"la Roqueta";3;32;101;69,06
12;"la Petxina";3;33;101;72,32
13;"Arrancapins";3;34;101;73,56
14;"Campanar";4;41;101;71,46
15;"les Tendetes";4;42;101;66,84
16;"el Calvari";4;43;101;55,98
17;"Sant Pau";4;44;101;70,21
18;"Marxalenes";5;51;101;65,86
19;"Morvedre";5;52;101;68,47
20;"Trinitat";5;53;101;70,48
21;"Tormos";5;54;101;62,59
22;"Sant Antoni";5;55;101;68,36
23;"Exposició";6;61;101;75,72
24;"Mestalla";6;62;101;72,3
25;"Jaume Roig";6;63;101;77,27
26;"Ciutat Universitària";6;64;101;76,65
27;"Nou Moles";7;71;101;64,1
28;"Soternes";7;72;101;64,37
29;"Tres Forques";7;73;101;57,07
30;"la Fontsanta";7;74;101;49,15
31;"la Llum";7;75;101;66,82
32;"Patraix";8;81;101;69,48
33;"Sant Isidre";8;82;101;65,7
34;"Vara de Quart";8;83;101;69,32
35;"Safranar";8;84;101;71,93
36;"Favara";8;85;101;65,7
37;"la Raiosa";9;91;101;66,2
38;"l'Hort de Senabre";9;92;101;65,16
39;"la Creu Coberta";9;93;101;66,37
41;"Camí Real";9;95;101;60,45
42;"Mont-Olivet";10;101;101;63,42
43;"en Corts";10;102;101;61,07
44;"Malilla";10;103;101;66,51
45;"Fonteta de Sant Lluís";10;104;101;55,89
46;"na Rovella";10;105;101;48,49
47;"la Punta";10;106;101;58,68
48;"Ciutat de les Arts i les Ciències";10;107;101;71,01
49;"el Grau";11;111;101;60,48
50;"el Cabanyal-el Canyamelar";11;112;101;58,92
51;"la Malva-rosa";11;113;101;59,21
52;"Beteró";11;114;101;64,37
53;"Natzaret";11;115;101;50,87
54;"Aiora";12;121;101;63,16
55;"Albors";12;122;101;66,47
56;"la Creu del Grau";12;123;101;62,66
57;"Camí Fondo";12;124;101;63,24
58;"Penya-roja";12;125;101;73,4
59;"l'Illa Perduda";13;131;101;66,54
60;"Ciutat Jardí";13;132;101;71,78
61;"l'Amistat";13;133;101;65,63
62;"la Bega Baixa";13;134;101;74,25
63;"la Carrasca";13;135;101;73,96
64;"Benimaclet";14;141;101;68,63
65;"Camí de Vera";14;142;101;72,15
66;"Orriols";15;151;101;56,14
67;"Torrefiel";15;152;101;58,73
68;"Sant Llorenç";15;153;101;74,59
69;"Benicalap";16;161;101;62,61
70;"Ciutat Fallera";16;162;101;56,23
71;"Benifaraig";17;171;101;71,65
72;"Poble Nou";17;172;101;58,07
73;"Carpesa";17;173;101;70,12
74;"Cases de Bàrcena";17;174;101;61,92
75;"Mauella";17;175;101;61,92
76;"Massarrojos";17;176;101;73,57
77;"Borbotó";17;177;101;71,84
78;"Benimàmet";18;181;101;58,65
79;"Beniferri";18;182;101;73,86
80;"el Forn d'Alcedo";19;191;101;62,71
81;"el Castellar-l'Oliverar";19;192;101;63,24
82;"Pinedo";19;193;101;61,74
83;"el Saler";19;194;101;67,04
84;"el Palmar";19;195;101;83,83
85;"el Perellonet";19;196;101;64,15
86;"la Torre";19;197;101;56,74
87;"Faitanar";19;198;101;56,74
