"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2019"
1;"la Seu";1;11;108;21,83
2;"la Xerea";1;12;108;11,36
3;"el Carme";1;13;108;31,9
4;"el Pilar";1;14;108;28,96
5;"el Mercat";1;15;108;25,11
6;"Sant Francesc";1;16;108;9,89
7;"Russafa";2;21;108;24,51
8;"el Pla del Remei";2;22;108;5,99
9;"Gran Via";2;23;108;12,53
10;"el Botànic";3;31;108;25,98
11;"la Roqueta";3;32;108;20,13
12;"la Petxina";3;33;108;21,29
13;"Arrancapins";3;34;108;18,51
14;"Campanar";4;41;108;22,94
15;"les Tendetes";4;42;108;23,57
16;"el Calvari";4;43;108;20,25
17;"Sant Pau";4;44;108;17,64
18;"Marxalenes";5;51;108;20,9
19;"Morvedre";5;52;108;23,29
20;"Trinitat";5;53;108;23,39
21;"Tormos";5;54;108;23,51
22;"Sant Antoni";5;55;108;22,11
23;"Exposició";6;61;108;9,19
24;"Mestalla";6;62;108;15,4
25;"Jaume Roig";6;63;108;8,99
26;"Ciutat Universitària";6;64;108;13,02
27;"Nou Moles";7;71;108;20,69
28;"Soternes";7;72;108;19,66
29;"Tres Forques";7;73;108;19,58
30;"la Fontsanta";7;74;108;16,21
31;"la Llum";7;75;108;21,63
32;"Patraix";8;81;108;23,04
33;"Sant Isidre";8;82;108;23,1
34;"Vara de Quart";8;83;108;23,44
35;"Safranar";8;84;108;24,85
36;"Favara";8;85;108;24,37
37;"la Raiosa";9;91;108;21,5
38;"l'Hort de Senabre";9;92;108;22,75
39;"la Creu Coberta";9;93;108;23,9
41;"Camí Real";9;95;108;20,77
42;"Mont-Olivet";10;101;108;20,32
43;"en Corts";10;102;108;22,41
44;"Malilla";10;103;108;22,37
45;"Fonteta de Sant Lluís";10;104;108;19,04
46;"na Rovella";10;105;108;16,74
47;"la Punta";10;106;108;19,87
48;"Ciutat de les Arts i les Ciències";10;107;108;18
49;"el Grau";11;111;108;24,81
50;"el Cabanyal-el Canyamelar";11;112;108;24,84
51;"la Malva-rosa";11;113;108;23,45
52;"Beteró";11;114;108;26,14
53;"Natzaret";11;115;108;16,39
54;"Aiora";12;121;108;25,09
55;"Albors";12;122;108;21,45
56;"la Creu del Grau";12;123;108;21,37
57;"Camí Fondo";12;124;108;21,35
58;"Penya-roja";12;125;108;13,33
59;"l'Illa Perduda";13;131;108;24,48
60;"Ciutat Jardí";13;132;108;24,98
61;"l'Amistat";13;133;108;22,17
62;"la Bega Baixa";13;134;108;22,18
63;"la Carrasca";13;135;108;23,94
64;"Benimaclet";14;141;108;24,8
65;"Camí de Vera";14;142;108;29,86
66;"Orriols";15;151;108;19,29
67;"Torrefiel";15;152;108;20,72
68;"Sant Llorenç";15;153;108;21,18
69;"Benicalap";16;161;108;21
70;"Ciutat Fallera";16;162;108;20,83
71;"Benifaraig";17;171;108;25
72;"Poble Nou";17;172;108;18,32
73;"Carpesa";17;173;108;27,25
74;"Cases de Bàrcena";17;174;108;23,41
75;"Mauella";17;175;108;23,41
76;"Massarrojos";17;176;108;19,93
77;"Borbotó";17;177;108;18,64
78;"Benimàmet";18;181;108;19,94
79;"Beniferri";18;182;108;20,29
80;"el Forn d'Alcedo";19;191;108;19,23
81;"el Castellar-l'Oliverar";19;192;108;22,82
82;"Pinedo";19;193;108;20,63
83;"el Saler";19;194;108;26,74
84;"el Palmar";19;195;108;28,68
85;"el Perellonet";19;196;108;15,39
86;"la Torre";19;197;108;22,72
87;"Faitanar";19;198;108;22,72
