"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2019"
1;"la Seu";1;11;118;12,76
2;"la Xerea";1;12;118;5,6
3;"el Carme";1;13;118;16,61
4;"el Pilar";1;14;118;15,03
5;"el Mercat";1;15;118;14,64
6;"Sant Francesc";1;16;118;6,31
7;"Russafa";2;21;118;12,4
8;"el Pla del Remei";2;22;118;3,32
9;"Gran Via";2;23;118;6,82
10;"el Botànic";3;31;118;13,76
11;"la Roqueta";3;32;118;8,91
12;"la Petxina";3;33;118;10,61
13;"Arrancapins";3;34;118;9,48
14;"Campanar";4;41;118;10,82
15;"les Tendetes";4;42;118;10,31
16;"el Calvari";4;43;118;6,5
17;"Sant Pau";4;44;118;7,83
18;"Marxalenes";5;51;118;8,82
19;"Morvedre";5;52;118;10,36
20;"Trinitat";5;53;118;10,86
21;"Tormos";5;54;118;9,03
22;"Sant Antoni";5;55;118;9,78
23;"Exposició";6;61;118;4,54
24;"Mestalla";6;62;118;7,4
25;"Jaume Roig";6;63;118;4,86
26;"Ciutat Universitària";6;64;118;6,19
27;"Nou Moles";7;71;118;8,33
28;"Soternes";7;72;118;6,84
29;"Tres Forques";7;73;118;6,35
30;"la Fontsanta";7;74;118;4,93
31;"la Llum";7;75;118;8,49
32;"Patraix";8;81;118;9,93
33;"Sant Isidre";8;82;118;8,81
34;"Vara de Quart";8;83;118;9,11
35;"Safranar";8;84;118;10,69
36;"Favara";8;85;118;8,16
37;"la Raiosa";9;91;118;9,51
38;"l'Hort de Senabre";9;92;118;8,11
39;"la Creu Coberta";9;93;118;10,02
41;"Camí Real";9;95;118;8,55
42;"Mont-Olivet";10;101;118;8,87
43;"en Corts";10;102;118;10,03
44;"Malilla";10;103;118;9,03
45;"Fonteta de Sant Lluís";10;104;118;7,35
46;"na Rovella";10;105;118;6,06
47;"la Punta";10;106;118;7,87
48;"Ciutat de les Arts i les Ciències";10;107;118;8,72
49;"el Grau";11;111;118;9,43
50;"el Cabanyal-el Canyamelar";11;112;118;10,08
51;"la Malva-rosa";11;113;118;7,88
52;"Beteró";11;114;118;10,6
53;"Natzaret";11;115;118;5,98
54;"Aiora";12;121;118;9,64
55;"Albors";12;122;118;8,51
56;"la Creu del Grau";12;123;118;7,9
57;"Camí Fondo";12;124;118;8,71
58;"Penya-roja";12;125;118;7,38
59;"l'Illa Perduda";13;131;118;9,29
60;"Ciutat Jardí";13;132;118;10,27
61;"l'Amistat";13;133;118;9,78
62;"la Bega Baixa";13;134;118;10,2
63;"la Carrasca";13;135;118;12,61
64;"Benimaclet";14;141;118;10,79
65;"Camí de Vera";14;142;118;12,47
66;"Orriols";15;151;118;6,66
67;"Torrefiel";15;152;118;7,65
68;"Sant Llorenç";15;153;118;10,69
69;"Benicalap";16;161;118;7,7
70;"Ciutat Fallera";16;162;118;7,41
71;"Benifaraig";17;171;118;14,1
72;"Poble Nou";17;172;118;9,23
73;"Carpesa";17;173;118;14,07
74;"Cases de Bàrcena";17;174;118;12,56
75;"Mauella";17;175;118;12,56
76;"Massarrojos";17;176;118;10,19
77;"Borbotó";17;177;118;8,45
78;"Benimàmet";18;181;118;6,95
79;"Beniferri";18;182;118;9,06
80;"el Forn d'Alcedo";19;191;118;7,69
81;"el Castellar-l'Oliverar";19;192;118;9,67
82;"Pinedo";19;193;118;9,98
83;"el Saler";19;194;118;12,02
84;"el Palmar";19;195;118;14,23
85;"el Perellonet";19;196;118;5,8
86;"la Torre";19;197;118;9,39
87;"Faitanar";19;198;118;9,39
