"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2019"
1;"la Seu";1;11;102;25,62
2;"la Xerea";1;12;102;14,56
3;"el Carme";1;13;102;38,29
4;"el Pilar";1;14;102;36,61
5;"el Mercat";1;15;102;30,8
6;"Sant Francesc";1;16;102;13,02
7;"Russafa";2;21;102;30,63
8;"el Pla del Remei";2;22;102;7,92
9;"Gran Via";2;23;102;16,59
10;"el Botànic";3;31;102;32,93
11;"la Roqueta";3;32;102;25,96
12;"la Petxina";3;33;102;27,48
13;"Arrancapins";3;34;102;25,75
14;"Campanar";4;41;102;30,69
15;"les Tendetes";4;42;102;31,32
16;"el Calvari";4;43;102;26,71
17;"Sant Pau";4;44;102;24,07
18;"Marxalenes";5;51;102;28,74
19;"Morvedre";5;52;102;30,04
20;"Trinitat";5;53;102;30,96
21;"Tormos";5;54;102;30,12
22;"Sant Antoni";5;55;102;28,44
23;"Exposició";6;61;102;11,34
24;"Mestalla";6;62;102;20,06
25;"Jaume Roig";6;63;102;12,18
26;"Ciutat Universitària";6;64;102;17,3
27;"Nou Moles";7;71;102;27,29
28;"Soternes";7;72;102;24,69
29;"Tres Forques";7;73;102;25,4
30;"la Fontsanta";7;74;102;25,04
31;"la Llum";7;75;102;27,53
32;"Patraix";8;81;102;31,69
33;"Sant Isidre";8;82;102;29,86
34;"Vara de Quart";8;83;102;30,76
35;"Safranar";8;84;102;33,25
36;"Favara";8;85;102;31,33
37;"la Raiosa";9;91;102;29,19
38;"l'Hort de Senabre";9;92;102;30,33
39;"la Creu Coberta";9;93;102;32,04
41;"Camí Real";9;95;102;26,46
42;"Mont-Olivet";10;101;102;26,02
43;"en Corts";10;102;102;30,2
44;"Malilla";10;103;102;30,65
45;"Fonteta de Sant Lluís";10;104;102;24,76
46;"na Rovella";10;105;102;21,75
47;"la Punta";10;106;102;25,57
48;"Ciutat de les Arts i les Ciències";10;107;102;24,35
49;"el Grau";11;111;102;29,65
50;"el Cabanyal-el Canyamelar";11;112;102;30,42
51;"la Malva-rosa";11;113;102;30,19
52;"Beteró";11;114;102;31,68
53;"Natzaret";11;115;102;22,4
54;"Aiora";12;121;102;31,47
55;"Albors";12;122;102;28,93
56;"la Creu del Grau";12;123;102;28,48
57;"Camí Fondo";12;124;102;29,76
58;"Penya-roja";12;125;102;17,63
59;"l'Illa Perduda";13;131;102;31,82
60;"Ciutat Jardí";13;132;102;31,82
61;"l'Amistat";13;133;102;28,39
62;"la Bega Baixa";13;134;102;28,88
63;"la Carrasca";13;135;102;29,55
64;"Benimaclet";14;141;102;30,15
65;"Camí de Vera";14;142;102;35,14
66;"Orriols";15;151;102;25,83
67;"Torrefiel";15;152;102;26,82
68;"Sant Llorenç";15;153;102;27,43
69;"Benicalap";16;161;102;27,14
70;"Ciutat Fallera";16;162;102;27,12
71;"Benifaraig";17;171;102;31,62
72;"Poble Nou";17;172;102;21,13
73;"Carpesa";17;173;102;30,74
74;"Cases de Bàrcena";17;174;102;34,05
75;"Mauella";17;175;102;34,05
76;"Massarrojos";17;176;102;25,74
77;"Borbotó";17;177;102;19,05
78;"Benimàmet";18;181;102;25,27
79;"Beniferri";18;182;102;24,18
80;"el Forn d'Alcedo";19;191;102;24,2
81;"el Castellar-l'Oliverar";19;192;102;30,06
82;"Pinedo";19;193;102;26,21
83;"el Saler";19;194;102;34,3
84;"el Palmar";19;195;102;31,95
85;"el Perellonet";19;196;102;18,63
86;"la Torre";19;197;102;32,24
87;"Faitanar";19;198;102;32,24
