"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2019"
1;"la Seu";1;11;116;17,04
2;"la Xerea";1;12;116;24,23
3;"el Carme";1;13;116;12,13
4;"el Pilar";1;14;116;16,34
5;"el Mercat";1;15;116;17,5
6;"Sant Francesc";1;16;116;26,01
7;"Russafa";2;21;116;16,12
8;"el Pla del Remei";2;22;116;26,6
9;"Gran Via";2;23;116;20,61
10;"el Botànic";3;31;116;14,91
11;"la Roqueta";3;32;116;18,39
12;"la Petxina";3;33;116;17,14
13;"Arrancapins";3;34;116;17,61
14;"Campanar";4;41;116;15,7
15;"les Tendetes";4;42;116;14,14
16;"el Calvari";4;43;116;13,83
17;"Sant Pau";4;44;116;19,78
18;"Marxalenes";5;51;116;14,72
19;"Morvedre";5;52;116;13,78
20;"Trinitat";5;53;116;13,12
21;"Tormos";5;54;116;15,77
22;"Sant Antoni";5;55;116;16,46
23;"Exposició";6;61;116;22,05
24;"Mestalla";6;62;116;19,42
25;"Jaume Roig";6;63;116;21,16
26;"Ciutat Universitària";6;64;116;17,62
27;"Nou Moles";7;71;116;15,63
28;"Soternes";7;72;116;15,38
29;"Tres Forques";7;73;116;16,92
30;"la Fontsanta";7;74;116;19,48
31;"la Llum";7;75;116;16,73
32;"Patraix";8;81;116;15,99
33;"Sant Isidre";8;82;116;17,83
34;"Vara de Quart";8;83;116;15,84
35;"Safranar";8;84;116;15,74
36;"Favara";8;85;116;13,91
37;"la Raiosa";9;91;116;17,55
38;"l'Hort de Senabre";9;92;116;15,28
39;"la Creu Coberta";9;93;116;16,6
41;"Camí Real";9;95;116;21,23
42;"Mont-Olivet";10;101;116;17,98
43;"en Corts";10;102;116;16,24
44;"Malilla";10;103;116;16,69
45;"Fonteta de Sant Lluís";10;104;116;19,94
46;"na Rovella";10;105;116;22,4
47;"la Punta";10;106;116;23,15
48;"Ciutat de les Arts i les Ciències";10;107;116;20,15
49;"el Grau";11;111;116;16,39
50;"el Cabanyal-el Canyamelar";11;112;116;16,07
51;"la Malva-rosa";11;113;116;15,7
52;"Beteró";11;114;116;13,77
53;"Natzaret";11;115;116;21,97
54;"Aiora";12;121;116;14,95
55;"Albors";12;122;116;15,87
56;"la Creu del Grau";12;123;116;15,92
57;"Camí Fondo";12;124;116;16,59
58;"Penya-roja";12;125;116;21,54
59;"l'Illa Perduda";13;131;116;13,87
60;"Ciutat Jardí";13;132;116;13,21
61;"l'Amistat";13;133;116;15,07
62;"la Bega Baixa";13;134;116;16,1
63;"la Carrasca";13;135;116;15,38
64;"Benimaclet";14;141;116;14,86
65;"Camí de Vera";14;142;116;13,14
66;"Orriols";15;151;116;16,15
67;"Torrefiel";15;152;116;15,67
68;"Sant Llorenç";15;153;116;16
69;"Benicalap";16;161;116;16,97
70;"Ciutat Fallera";16;162;116;16,88
71;"Benifaraig";17;171;116;18,91
72;"Poble Nou";17;172;116;16,92
73;"Carpesa";17;173;116;13,24
74;"Cases de Bàrcena";17;174;116;13,57
75;"Mauella";17;175;116;13,57
76;"Massarrojos";17;176;116;17,96
77;"Borbotó";17;177;116;21,26
78;"Benimàmet";18;181;116;18,22
79;"Beniferri";18;182;116;19,49
80;"el Forn d'Alcedo";19;191;116;22,15
81;"el Castellar-l'Oliverar";19;192;116;19,33
82;"Pinedo";19;193;116;23,24
83;"el Saler";19;194;116;15,33
84;"el Palmar";19;195;116;12,69
85;"el Perellonet";19;196;116;20,68
86;"la Torre";19;197;116;17,88
87;"Faitanar";19;198;116;17,88
