"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2019"
1;"la Seu";1;11;106;8,78
2;"la Xerea";1;12;106;12,49
3;"el Carme";1;13;106;5,56
4;"el Pilar";1;14;106;8,27
5;"el Mercat";1;15;106;9,15
6;"Sant Francesc";1;16;106;13,05
7;"Russafa";2;21;106;7,61
8;"el Pla del Remei";2;22;106;14,15
9;"Gran Via";2;23;106;10,57
10;"el Botànic";3;31;106;8,11
11;"la Roqueta";3;32;106;8,61
12;"la Petxina";3;33;106;8,69
13;"Arrancapins";3;34;106;8,64
14;"Campanar";4;41;106;6,5
15;"les Tendetes";4;42;106;6,27
16;"el Calvari";4;43;106;5,15
17;"Sant Pau";4;44;106;9,01
18;"Marxalenes";5;51;106;5,69
19;"Morvedre";5;52;106;5,87
20;"Trinitat";5;53;106;6,03
21;"Tormos";5;54;106;5,92
22;"Sant Antoni";5;55;106;7,18
23;"Exposició";6;61;106;10,23
24;"Mestalla";6;62;106;9,2
25;"Jaume Roig";6;63;106;10,71
26;"Ciutat Universitària";6;64;106;8,75
27;"Nou Moles";7;71;106;7,19
28;"Soternes";7;72;106;6,27
29;"Tres Forques";7;73;106;8,21
30;"la Fontsanta";7;74;106;7,18
31;"la Llum";7;75;106;6,25
32;"Patraix";8;81;106;6,86
33;"Sant Isidre";8;82;106;7,57
34;"Vara de Quart";8;83;106;6,44
35;"Safranar";8;84;106;6,14
36;"Favara";8;85;106;5,79
37;"la Raiosa";9;91;106;7,29
38;"l'Hort de Senabre";9;92;106;5,53
39;"la Creu Coberta";9;93;106;6,32
41;"Camí Real";9;95;106;9,91
42;"Mont-Olivet";10;101;106;8,06
43;"en Corts";10;102;106;7,29
44;"Malilla";10;103;106;6,27
45;"Fonteta de Sant Lluís";10;104;106;6,98
46;"na Rovella";10;105;106;9,2
47;"la Punta";10;106;106;8,65
48;"Ciutat de les Arts i les Ciències";10;107;106;8,01
49;"el Grau";11;111;106;6,27
50;"el Cabanyal-el Canyamelar";11;112;106;5,52
51;"la Malva-rosa";11;113;106;5,91
52;"Beteró";11;114;106;5,12
53;"Natzaret";11;115;106;7,55
54;"Aiora";12;121;106;6,18
55;"Albors";12;122;106;6,48
56;"la Creu del Grau";12;123;106;6,85
57;"Camí Fondo";12;124;106;6,46
58;"Penya-roja";12;125;106;9,44
59;"l'Illa Perduda";13;131;106;5,88
60;"Ciutat Jardí";13;132;106;5,81
61;"l'Amistat";13;133;106;6,17
62;"la Bega Baixa";13;134;106;7,52
63;"la Carrasca";13;135;106;7,02
64;"Benimaclet";14;141;106;6,82
65;"Camí de Vera";14;142;106;5,11
66;"Orriols";15;151;106;6,23
67;"Torrefiel";15;152;106;6,34
68;"Sant Llorenç";15;153;106;7,15
69;"Benicalap";16;161;106;6,54
70;"Ciutat Fallera";16;162;106;6,21
71;"Benifaraig";17;171;106;7,73
72;"Poble Nou";17;172;106;5,93
73;"Carpesa";17;173;106;3,24
74;"Cases de Bàrcena";17;174;106;5,41
75;"Mauella";17;175;106;5,41
76;"Massarrojos";17;176;106;8,34
77;"Borbotó";17;177;106;9,02
78;"Benimàmet";18;181;106;6,3
79;"Beniferri";18;182;106;8,72
80;"el Forn d'Alcedo";19;191;106;8,63
81;"el Castellar-l'Oliverar";19;192;106;7,42
82;"Pinedo";19;193;106;9,76
83;"el Saler";19;194;106;6,95
84;"el Palmar";19;195;106;1,89
85;"el Perellonet";19;196;106;8,96
86;"la Torre";19;197;106;7,08
87;"Faitanar";19;198;106;7,08
