"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2019"
1;"la Seu";1;11;103;27,63
2;"la Xerea";1;12;103;40,88
3;"el Carme";1;13;103;17,61
4;"el Pilar";1;14;103;18,73
5;"el Mercat";1;15;103;24,55
6;"Sant Francesc";1;16;103;41,2
7;"Russafa";2;21;103;24,11
8;"el Pla del Remei";2;22;103;46,28
9;"Gran Via";2;23;103;36,13
10;"el Botànic";3;31;103;24,42
11;"la Roqueta";3;32;103;30,29
12;"la Petxina";3;33;103;25,74
13;"Arrancapins";3;34;103;29,29
14;"Campanar";4;41;103;22,41
15;"les Tendetes";4;42;103;22,17
16;"el Calvari";4;43;103;17,66
17;"Sant Pau";4;44;103;21,47
18;"Marxalenes";5;51;103;21,05
19;"Morvedre";5;52;103;24,65
20;"Trinitat";5;53;103;24,46
21;"Tormos";5;54;103;17,33
22;"Sant Antoni";5;55;103;20,98
23;"Exposició";6;61;103;41,93
24;"Mestalla";6;62;103;30,96
25;"Jaume Roig";6;63;103;39,49
26;"Ciutat Universitària";6;64;103;37,57
27;"Nou Moles";7;71;103;21,39
28;"Soternes";7;72;103;22,37
29;"Tres Forques";7;73;103;18,46
30;"la Fontsanta";7;74;103;17,95
31;"la Llum";7;75;103;18,27
32;"Patraix";8;81;103;21,66
33;"Sant Isidre";8;82;103;14,54
34;"Vara de Quart";8;83;103;18,86
35;"Safranar";8;84;103;16,25
36;"Favara";8;85;103;18,36
37;"la Raiosa";9;91;103;22,61
38;"l'Hort de Senabre";9;92;103;16,36
39;"la Creu Coberta";9;93;103;16,54
41;"Camí Real";9;95;103;17,4
42;"Mont-Olivet";10;101;103;25,56
43;"en Corts";10;102;103;20,94
44;"Malilla";10;103;103;17,75
45;"Fonteta de Sant Lluís";10;104;103;22,16
46;"na Rovella";10;105;103;18,54
47;"la Punta";10;106;103;23
48;"Ciutat de les Arts i les Ciències";10;107;103;23,54
49;"el Grau";11;111;103;15,44
50;"el Cabanyal-el Canyamelar";11;112;103;15,58
51;"la Malva-rosa";11;113;103;13,62
52;"Beteró";11;114;103;15,16
53;"Natzaret";11;115;103;18,96
54;"Aiora";12;121;103;14,88
55;"Albors";12;122;103;23,62
56;"la Creu del Grau";12;123;103;15,74
57;"Camí Fondo";12;124;103;22,4
58;"Penya-roja";12;125;103;27,57
59;"l'Illa Perduda";13;131;103;14,85
60;"Ciutat Jardí";13;132;103;20,54
61;"l'Amistat";13;133;103;24,11
62;"la Bega Baixa";13;134;103;24,2
63;"la Carrasca";13;135;103;19,34
64;"Benimaclet";14;141;103;21,24
65;"Camí de Vera";14;142;103;14,25
66;"Orriols";15;151;103;18,34
67;"Torrefiel";15;152;103;17,11
68;"Sant Llorenç";15;153;103;19,1
69;"Benicalap";16;161;103;16,96
70;"Ciutat Fallera";16;162;103;14,44
71;"Benifaraig";17;171;103;26,8
72;"Poble Nou";17;172;103;32,99
73;"Carpesa";17;173;103;30,74
74;"Cases de Bàrcena";17;174;103;25,41
75;"Mauella";17;175;103;25,41
76;"Massarrojos";17;176;103;27,59
77;"Borbotó";17;177;103;31,58
78;"Benimàmet";18;181;103;14,93
79;"Beniferri";18;182;103;20,39
80;"el Forn d'Alcedo";19;191;103;21,83
81;"el Castellar-l'Oliverar";19;192;103;27
82;"Pinedo";19;193;103;25,48
83;"el Saler";19;194;103;16,37
84;"el Palmar";19;195;103;34,4
85;"el Perellonet";19;196;103;24,32
86;"la Torre";19;197;103;16,6
87;"Faitanar";19;198;103;16,6
