"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2019"
1;"la Seu";1;11;120;20,56
2;"la Xerea";1;12;120;14,94
3;"el Carme";1;13;120;25,9
4;"el Pilar";1;14;120;23,78
5;"el Mercat";1;15;120;20,66
6;"Sant Francesc";1;16;120;12,96
7;"Russafa";2;21;120;22,85
8;"el Pla del Remei";2;22;120;9,96
9;"Gran Via";2;23;120;16,91
10;"el Botànic";3;31;120;20,95
11;"la Roqueta";3;32;120;21,41
12;"la Petxina";3;33;120;22,47
13;"Arrancapins";3;34;120;21,38
14;"Campanar";4;41;120;28,44
15;"les Tendetes";4;42;120;32,36
16;"el Calvari";4;43;120;36,32
17;"Sant Pau";4;44;120;25,53
18;"Marxalenes";5;51;120;31,82
19;"Morvedre";5;52;120;27,18
20;"Trinitat";5;53;120;26,34
21;"Tormos";5;54;120;30,98
22;"Sant Antoni";5;55;120;29,39
23;"Exposició";6;61;120;13,09
24;"Mestalla";6;62;120;20,82
25;"Jaume Roig";6;63;120;14,3
26;"Ciutat Universitària";6;64;120;18,46
27;"Nou Moles";7;71;120;30,18
28;"Soternes";7;72;120;32,02
29;"Tres Forques";7;73;120;33,11
30;"la Fontsanta";7;74;120;37,43
31;"la Llum";7;75;120;32,59
32;"Patraix";8;81;120;28,37
33;"Sant Isidre";8;82;120;33,84
34;"Vara de Quart";8;83;120;32,28
35;"Safranar";8;84;120;30,8
36;"Favara";8;85;120;32,19
37;"la Raiosa";9;91;120;27,06
38;"l'Hort de Senabre";9;92;120;35,6
39;"la Creu Coberta";9;93;120;34,37
41;"Camí Real";9;95;120;30,37
42;"Mont-Olivet";10;101;120;25,51
43;"en Corts";10;102;120;28,22
44;"Malilla";10;103;120;30,95
45;"Fonteta de Sant Lluís";10;104;120;25,94
46;"na Rovella";10;105;120;35,49
47;"la Punta";10;106;120;23,52
48;"Ciutat de les Arts i les Ciències";10;107;120;22,71
49;"el Grau";11;111;120;33,57
50;"el Cabanyal-el Canyamelar";11;112;120;31,57
51;"la Malva-rosa";11;113;120;33,87
52;"Beteró";11;114;120;33,74
53;"Natzaret";11;115;120;32,76
54;"Aiora";12;121;120;33,61
55;"Albors";12;122;120;29,68
56;"la Creu del Grau";12;123;120;34,58
57;"Camí Fondo";12;124;120;28,52
58;"Penya-roja";12;125;120;19,36
59;"l'Illa Perduda";13;131;120;35,3
60;"Ciutat Jardí";13;132;120;30,56
61;"l'Amistat";13;133;120;29,86
62;"la Bega Baixa";13;134;120;26,08
63;"la Carrasca";13;135;120;29,21
64;"Benimaclet";14;141;120;26,65
65;"Camí de Vera";14;142;120;31,03
66;"Orriols";15;151;120;36,96
67;"Torrefiel";15;152;120;34,5
68;"Sant Llorenç";15;153;120;28,42
69;"Benicalap";16;161;120;34,19
70;"Ciutat Fallera";16;162;120;36,86
71;"Benifaraig";17;171;120;21,63
72;"Poble Nou";17;172;120;23,91
73;"Carpesa";17;173;120;25
74;"Cases de Bàrcena";17;174;120;28,11
75;"Mauella";17;175;120;28,11
76;"Massarrojos";17;176;120;23,12
77;"Borbotó";17;177;120;22,08
78;"Benimàmet";18;181;120;38,36
79;"Beniferri";18;182;120;25,91
80;"el Forn d'Alcedo";19;191;120;30,68
81;"el Castellar-l'Oliverar";19;192;120;21,66
82;"Pinedo";19;193;120;23,31
83;"el Saler";19;194;120;27,07
84;"el Palmar";19;195;120;24,95
85;"el Perellonet";19;196;120;25,64
86;"la Torre";19;197;120;31,21
87;"Faitanar";19;198;120;31,21
