"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2019"
1;"la Seu";1;11;104;14,11
2;"la Xerea";1;12;104;10,05
3;"el Carme";1;13;104;16,73
4;"el Pilar";1;14;104;13,61
5;"el Mercat";1;15;104;13,45
6;"Sant Francesc";1;16;104;8,53
7;"Russafa";2;21;104;13,99
8;"el Pla del Remei";2;22;104;6,64
9;"Gran Via";2;23;104;10,58
10;"el Botànic";3;31;104;11,48
11;"la Roqueta";3;32;104;13,36
12;"la Petxina";3;33;104;13,55
13;"Arrancapins";3;34;104;11,97
14;"Campanar";4;41;104;16,8
15;"les Tendetes";4;42;104;20,36
16;"el Calvari";4;43;104;27,74
17;"Sant Pau";4;44;104;15,44
18;"Marxalenes";5;51;104;22,16
19;"Morvedre";5;52;104;17,79
20;"Trinitat";5;53;104;17,24
21;"Tormos";5;54;104;21,96
22;"Sant Antoni";5;55;104;19,26
23;"Exposició";6;61;104;8,28
24;"Mestalla";6;62;104;13,39
25;"Jaume Roig";6;63;104;8,81
26;"Ciutat Universitària";6;64;104;10,53
27;"Nou Moles";7;71;104;21,17
28;"Soternes";7;72;104;24,61
29;"Tres Forques";7;73;104;25,9
30;"la Fontsanta";7;74;104;28,37
31;"la Llum";7;75;104;23,05
32;"Patraix";8;81;104;17,1
33;"Sant Isidre";8;82;104;23,92
34;"Vara de Quart";8;83;104;20,62
35;"Safranar";8;84;104;18,45
36;"Favara";8;85;104;20,96
37;"la Raiosa";9;91;104;17,37
38;"l'Hort de Senabre";9;92;104;24,77
39;"la Creu Coberta";9;93;104;21,53
41;"Camí Real";9;95;104;22,32
42;"Mont-Olivet";10;101;104;17,29
43;"en Corts";10;102;104;19,18
44;"Malilla";10;103;104;20,14
45;"Fonteta de Sant Lluís";10;104;104;19,64
46;"na Rovella";10;105;104;28,31
47;"la Punta";10;106;104;18,58
48;"Ciutat de les Arts i les Ciències";10;107;104;13,91
49;"el Grau";11;111;104;25,18
50;"el Cabanyal-el Canyamelar";11;112;104;26,03
51;"la Malva-rosa";11;113;104;26,28
52;"Beteró";11;114;104;25,05
53;"Natzaret";11;115;104;26,65
54;"Aiora";12;121;104;22,13
55;"Albors";12;122;104;18,85
56;"la Creu del Grau";12;123;104;25,15
57;"Camí Fondo";12;124;104;17,24
58;"Penya-roja";12;125;104;12,52
59;"l'Illa Perduda";13;131;104;24,05
60;"Ciutat Jardí";13;132;104;19,32
61;"l'Amistat";13;133;104;19,81
62;"la Bega Baixa";13;134;104;15,86
63;"la Carrasca";13;135;104;18,08
64;"Benimaclet";14;141;104;18,12
65;"Camí de Vera";14;142;104;20,45
66;"Orriols";15;151;104;28,48
67;"Torrefiel";15;152;104;25,82
68;"Sant Llorenç";15;153;104;17,95
69;"Benicalap";16;161;104;24,95
70;"Ciutat Fallera";16;162;104;28,97
71;"Benifaraig";17;171;104;14,78
72;"Poble Nou";17;172;104;19,85
73;"Carpesa";17;173;104;17,79
74;"Cases de Bàrcena";17;174;104;21,08
75;"Mauella";17;175;104;21,08
76;"Massarrojos";17;176;104;13,15
77;"Borbotó";17;177;104;22,31
78;"Benimàmet";18;181;104;32,19
79;"Beniferri";18;182;104;19,24
80;"el Forn d'Alcedo";19;191;104;23,52
81;"el Castellar-l'Oliverar";19;192;104;13,42
82;"Pinedo";19;193;104;16,53
83;"el Saler";19;194;104;17,26
84;"el Palmar";19;195;104;16,82
85;"el Perellonet";19;196;104;21,62
86;"la Torre";19;197;104;21,24
87;"Faitanar";19;198;104;21,24
