"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;61;-20;-11;-10;-8;-5;-11;-8;-9;-7;-9
2;"la Xerea";1;12;61;-18;-26;-21;-30;-15;-31;-24;-23;-9;-10
3;"el Carme";1;13;61;-14;-28;-42;-40;-34;-59;-28;-42;-12;-13
4;"el Pilar";1;14;61;-13;-1;-15;-16;-18;-34;-18;-32;-10;0
5;"el Mercat";1;15;61;0;-2;-1;-1;-8;-6;-1;-15;-4;-1
6;"Sant Francesc";1;16;61;-8;-26;-34;-20;-26;-24;3;-18;-13;-16
7;"Russafa";2;21;61;-34;-40;-79;-31;-55;-64;-18;-41;-41;-28
8;"el Pla del Remei";2;22;61;8;-36;-26;-20;-30;-9;-20;-13;-6;0
9;"Gran Via";2;23;61;-19;-28;-49;-57;-37;-32;-48;-21;-20;-18
10;"el Botànic";3;31;61;-34;-19;-25;-15;-20;-24;-32;-28;-5;-4
11;"la Roqueta";3;32;61;-28;-12;-7;0;-16;-21;-27;-15;-3;-3
12;"la Petxina";3;33;61;-25;-65;-48;-43;-51;-50;-28;-33;-22;-11
13;"Arrancapins";3;34;61;-55;-59;-67;-59;-51;-47;-74;-89;-31;-22
14;"Campanar";4;41;61;28;-28;-10;-18;-17;-6;-2;3;-18;0
15;"les Tendetes";4;42;61;-7;-18;-27;-6;-22;3;4;-15;-6;-8
16;"el Calvari";4;43;61;-21;-32;-23;-37;-29;-19;-22;-23;-7;-8
17;"Sant Pau";4;44;61;137;145;165;104;105;86;64;35;-7;21
18;"Marxalenes";5;51;61;-34;-34;-45;-23;-47;-38;-48;-17;-16;-22
19;"Morvedre";5;52;61;-55;-52;-48;-91;-68;-53;-62;-56;-28;-20
20;"Trinitat";5;53;61;-26;-26;-44;-24;-30;-29;-32;-11;-10;-2
21;"Tormos";5;54;61;9;-19;-24;-7;-16;-26;-13;-9;-17;-6
22;"Sant Antoni";5;55;61;1;-11;-13;-8;-32;11;-17;-21;-19;-4
23;"Exposició";6;61;61;0;-1;-7;-12;9;18;-14;-16;-3;-2
24;"Mestalla";6;62;61;40;-12;22;15;-11;-5;23;-13;-22;4
25;"Jaume Roig";6;63;61;-3;-6;-1;-17;-4;-20;-10;2;-2;-3
26;"Ciutat Universitària";6;64;61;-1;2;-6;-8;-3;-9;4;3;-3;-6
27;"Nou Moles";7;71;61;-59;-72;-78;-106;-161;-97;-51;-66;-50;-32
28;"Soternes";7;72;61;-8;-19;-23;2;-13;1;-29;-17;-8;-11
29;"Tres Forques";7;73;61;-50;-60;-65;-63;-61;-42;-35;-48;-23;-14
30;"la Fontsanta";7;74;61;-21;-2;19;1;0;-9;10;-1;-11;3
