"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;23;0,38;0,36;0,37;0,41;0,44;0,47;0,51;0,51;0,56;0,52;0,52;0,57;0,59
2;"la Xerea";1;12;23;0,4;0,4;0,41;0,43;0,46;0,48;0,48;0,48;0,47;0,48;0,47;0,5;0,51
3;"el Carme";1;13;23;0,72;0,75;0,8;0,87;0,9;0,96;1,03;1,06;1,02;1,03;1,09;1,19;1,27
4;"el Pilar";1;14;23;0,65;0,63;0,66;0,73;0,8;0,84;0,9;0,89;0,91;0,87;0,88;0,92;0,97
5;"el Mercat";1;15;23;0,47;0,49;0,52;0,52;0,53;0,56;0,59;0,59;0,6;0,63;0,64;0,7;0,76
6;"Sant Francesc";1;16;23;0,46;0,41;0,44;0,4;0,4;0,48;0,54;0,64;0,69;0,72;0,73;0,73;0,8
7;"Russafa";2;21;23;3,68;3,58;3,57;3,46;3,41;3,29;3,23;3,2;3,09;3,02;2,93;3,01;3,03
8;"el Pla del Remei";2;22;23;0,3;0,27;0,28;0,26;0,28;0,3;0,31;0,34;0,38;0,38;0,42;0,44;0,46
9;"Gran Via";2;23;23;0,73;0,71;0,7;0,74;0,76;0,76;0,79;0,82;0,84;0,85;0,88;0,91;0,92
10;"el Botànic";3;31;23;0,84;0,88;0,93;0,96;0,92;0,93;0,93;0,94;0,91;0,83;0,84;0,88;0,92
11;"la Roqueta";3;32;23;0,78;0,79;0,82;0,84;0,88;0,91;0,89;0,87;0,84;0,86;0,87;0,9;0,91
12;"la Petxina";3;33;23;1,44;1,42;1,46;1,52;1,54;1,57;1,52;1,46;1,37;1,33;1,33;1,31;1,32
13;"Arrancapins";3;34;23;2,2;2,3;2,35;2,34;2,32;2,23;2,2;2,26;2,2;2,16;2,12;2,04;2,06
14;"Campanar";4;41;23;1,09;1,09;1,06;1,06;1,07;1,07;1,05;1,02;1,01;1;0,99;0,99;1,01
15;"les Tendetes";4;42;23;0,98;0,95;0,91;0,93;0,92;0,9;0,89;0,88;0,92;0,94;0,91;0,93;0,95
16;"el Calvari";4;43;23;1,07;1,06;1,06;1,05;1,03;1;1,01;1,04;1,02;1,11;1,18;1,15;1,2
17;"Sant Pau";4;44;23;1,05;1,16;1,24;1,28;1,37;1,44;1,49;1,53;1,54;1,57;1,6;1,56;1,7
