"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;27;0,4;0,36;0,39;0,38;0,44;0,43;0,27;0,88;1,01
2;"la Xerea";1;12;27;0,38;0,4;0,41;0,38;0,38;0,5;0,4;0,56;0,59
3;"el Carme";1;13;27;0,55;0,62;0,58;0,57;0,44;0,47;0,6;1,76;1,61
4;"el Pilar";1;14;27;0,74;0,54;0,74;0,62;0,68;0,99;0,91;1,01;1,07
5;"el Mercat";1;15;27;0,42;0,44;0,46;0,37;0,44;0,61;0,7;1,15;1,1
6;"Sant Francesc";1;16;27;0,64;0,64;0,67;0,65;0,71;0,85;0,91;1,22;1,27
7;"Russafa";2;21;27;2,42;1,99;2,05;1,97;2;2,01;2;3,73;3,57
8;"el Pla del Remei";2;22;27;0,3;0,5;0,46;0,38;0,41;0,38;0,4;0,81;0,73
9;"Gran Via";2;23;27;0,72;0,7;0,83;0,75;0,7;0,79;0,77;1,44;1,43
10;"el Botànic";3;31;27;0,53;0,58;0,69;0,6;0,5;0,41;0,59;1,13;1,23
11;"la Roqueta";3;32;27;0,59;0,46;0,53;0,52;0,36;0,48;0,48;0,74;0,75
12;"la Petxina";3;33;27;1,44;1,31;1,34;1,2;0,97;1,04;1,29;1,62;1,48
13;"Arrancapins";3;34;27;1,78;1,75;1,66;1,52;1,41;1,35;1,21;1,91;1,93
14;"Campanar";4;41;27;1,38;1,61;1,43;1,34;1,18;1,04;0,86;0,92;0,99
15;"les Tendetes";4;42;27;2;2,03;1,84;1,82;1,93;2;2,06;1,93;1,95
16;"el Calvari";4;43;27;1,27;1,19;1,2;1,29;1,08;1,36;1,52;1,21;1,16
17;"Sant Pau";4;44;27;2,65;2,88;2,72;2,34;2,52;2,41;2,37;2,3;2,72
18;"Marxalenes";5;51;27;2,87;2,49;2,69;2,61;2,65;2,61;2,71;2,31;2,22
19;"Morvedre";5;52;27;2,29;2,13;2,12;2,02;1,97;1,93;1,9;1,56;1,6
20;"Trinitat";5;53;27;1,49;1,55;1,47;1,42;1,18;1,05;0,92;1,06;1,04
21;"Tormos";5;54;27;1,95;1,71;1,71;2,15;1,96;2;2,38;1,77;1,65
22;"Sant Antoni";5;55;27;1,51;1,57;1,68;1,54;1,5;1,22;1,05;0,9;0,98
23;"Exposició";6;61;27;0,36;0,3;0,42;0,27;0,24;0,14;0,2;0,43;0,46
24;"Mestalla";6;62;27;1,51;1,31;1,27;1,15;1,23;1,13;0,99;1,14;1,09
25;"Jaume Roig";6;63;27;0,36;0,34;0,27;0,3;0,33;0,27;0,3;0,48;0,38
26;"Ciutat Universitària";6;64;27;0,15;0,2;0,14;0,18;0,2;0,18;0,17;0,22;0,18
27;"Nou Moles";7;71;27;4,29;4,1;3,75;3,92;4,3;4,47;3,89;3,53;3,36
28;"Soternes";7;72;27;1,34;1,35;1,41;1,42;1,18;1,39;0,99;0,89;0,73
29;"Tres Forques";7;73;27;1,51;1,93;1,98;1,87;1,89;2,01;1,98;1,41;1,42
30;"la Fontsanta";7;74;27;1,3;1,21;1,1;1,09;1,09;1,06;0,91;0,7;0,72
31;"la Llum";7;75;27;0,47;0,52;0,92;0,7;0,55;0,58;0,48;0,4;0,45
32;"Patraix";8;81;27;3,95;4,08;3,76;3,62;3,71;3,05;3,2;2,57;2,36
33;"Sant Isidre";8;82;27;0,83;0,9;0,87;0,78;0,94;0,74;0,62;0,53;0,57
34;"Vara de Quart";8;83;27;1,19;0,99;0,88;0,8;0,7;0,65;0,68;0,5;0,45
35;"Safranar";8;84;27;0,7;0,64;0,6;0,57;0,5;0,58;0,46;0,35;0,25
36;"Favara";8;85;27;0,87;0,76;0,58;0,55;0,52;0,57;0,64;0,57;0,51
37;"la Raiosa";9;91;27;1,78;2,09;2,3;2,74;2,65;2,81;2,32;2,11;1,98
38;"l'Hort de Senabre";9;92;27;2,4;2,15;2,39;2,1;1,77;1,73;1,63;1,46;1,49
39;"la Creu Coberta";9;93;27;0,55;0,64;0,62;0,53;0,47;0,57;0,53;0,41;0,39
41;"Camí Real";9;95;27;0,49;0,36;0,28;0,25;0,14;0,23;0,18;0,15;0,15
42;"Mont-Olivet";10;101;27;2,57;2,35;2,35;2,76;2,79;2,78;2,71;3,1;2,99
43;"en Corts";10;102;27;1,17;1,35;1,56;1,25;1,15;1,22;1,44;1,49;1,74
44;"Malilla";10;103;27;0,81;0,88;0,94;1,25;0,91;0,78;0,82;0,93;1,08
45;"Fonteta de Sant Lluís";10;104;27;0,08;0,04;0,09;0,13;0,29;0,3;0,21;0,15;0,18
46;"na Rovella";10;105;27;0,64;0,95;1,1;1,47;1,73;1,84;1,94;1,5;1,62
47;"la Punta";10;106;27;0,42;0,28;0,25;0,23;0,23;0,24;0,29;0,19;0,24
48;"Ciutat de les Arts i les Ciències";10;107;27;1,19;1,33;1,29;1,49;1,35;1,48;1,73;1,83;1,97
49;"el Grau";11;111;27;1,49;1,67;1,91;1,6;1,89;1,8;1,65;1,76;1,94
50;"el Cabanyal-el Canyamelar";11;112;27;2,17;2,31;2,07;2,25;2,43;2,21;2,07;3,11;3,61
51;"la Malva-rosa";11;113;27;2,85;2,86;2,83;2,72;2,73;2,68;2,38;2,09;1,93
52;"Beteró";11;114;27;0,91;0,84;0,65;0,78;0,85;0,85;0,83;0,88;0,79
53;"Natzaret";11;115;27;0,68;0,6;0,55;0,63;0,68;0,64;0,85;0,72;0,83
54;"Aiora";12;121;27;3,18;3,14;3,02;3,64;3,44;2,92;3,28;3,2;3,25
55;"Albors";12;122;27;0,55;0,58;0,65;0,94;1,02;0,87;0,79;0,63;0,77
56;"la Creu del Grau";12;123;27;2,19;2,57;2,6;2,67;2,7;2,68;2,49;2,22;2,16
57;"Camí Fondo";12;124;27;0,3;0,6;0,64;0,72;0,65;0,58;0,51;0,57;0,46
58;"Penya-roja";12;125;27;1,7;1,77;1,89;1,67;1,77;2,04;2,9;3,01;3,2
59;"l'Illa Perduda";13;131;27;0,47;0,56;0,57;0,47;0,61;0,58;0,62;0,71;0,81
60;"Ciutat Jardí";13;132;27;1,06;0,82;0,78;0,84;0,91;1,06;0,89;0,8;0,74
61;"l'Amistat";13;133;27;0,91;1,07;0,94;0,95;0,85;0,89;1;0,75;0,73
62;"la Bega Baixa";13;134;27;0,47;0,42;0,35;0,32;0,26;0,28;0,3;0,32;0,34
63;"la Carrasca";13;135;27;0,11;0,18;0,19;0,17;0,14;0,17;0,2;0,25;0,31
64;"Benimaclet";14;141;27;2,4;2,43;1,96;1,95;1,91;1,82;1,99;1,95;1,67
65;"Camí de Vera";14;142;27;0,32;0,22;0,27;0,25;0,15;0,21;0,16;0,22;0,18
66;"Orriols";15;151;27;3,06;3,24;3,23;3,36;3,68;3,76;3,87;2,73;2,32
67;"Torrefiel";15;152;27;4,63;4,56;4,98;4,84;4,88;4,62;4,93;4,08;3,81
68;"Sant Llorenç";15;153;27;0,49;0,38;0,44;0,37;0,39;0,34;0,27;0,49;0,45
69;"Benicalap";16;161;27;4,8;4,54;4,75;4,83;5,21;5,45;5,61;4,73;5,1
70;"Ciutat Fallera";16;162;27;0,62;0,64;0,88;1,24;1,3;1,39;1,71;1,52;1,56
71;"Benifaraig";17;171;27;0,06;0,04;0,04;0,03;0,03;0,03;0,03;0,03;0,03
72;"Poble Nou";17;172;27;0,08;0,06;0,04;0,12;0,06;0,01;0,08;0,11;0,09
73;"Carpesa";17;173;27;0,42;0,4;0,42;0,35;0,3;0,27;0,29;0,21;0,2
74;"Cases de Bàrcena";17;174;27;0,08;0,1;0,11;0,1;0,12;0,09;0,08;0,06;0,06
75;"Mauella";17;175;27;0;0;0;0;0;0;0;0,01;0,01
76;"Massarrojos";17;176;27;0;0,12;0,02;0,02;0,08;0,07;0,1;0,18;0,26
77;"Borbotó";17;177;27;0,04;0,02;0,05;0,05;0;0;0;0;0,02
78;"Benimàmet";18;181;27;3,01;2,88;2,39;2,25;2,4;2,65;2,46;1,86;1,72
79;"Beniferri";18;182;27;0,08;0,16;0,14;0,1;0,11;0,18;0,13;0,09;0,09
80;"el Forn d'Alcedo";19;191;27;0,04;0,06;0,05;0,08;0,11;0,11;0,12;0,11;0,11
81;"el Castellar-l'Oliverar";19;192;27;0,15;0,22;0,27;0,25;0,27;0,27;0,22;0,19;0,16
82;"Pinedo";19;193;27;0,11;0,04;0,04;0,03;0,03;0,03;0,03;0,05;0,04
83;"el Saler";19;194;27;0,21;0,2;0,18;0,12;0,26;0,31;0,16;0,21;0,25
84;"el Palmar";19;195;27;0;0;0,02;0,02;0,02;0,01;0;0;0
85;"el Perellonet";19;196;27;0,04;0,02;0;0;0,02;0;0;0,04;0,03
86;"la Torre";19;197;27;0,57;0,48;0,42;0,52;0,47;0,3;0,29;0,26;0,25
87;"Faitanar";19;198;27;0,02;0,12;0,21;0,15;0,15;0,24;0,26;0,24;0,26
