"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;31;0,19;0,19;0,21;0,25;0,29;0,23;0,28;0,26;0,25;0,3;0,36
2;"la Xerea";1;12;31;0,23;0,23;0,21;0,24;0,22;0,32;0,33;0,27;0,29;0,3;0,29
3;"el Carme";1;13;31;0,46;0,47;0,52;0,56;0,57;0,54;0,51;0,56;0,59;0,65;0,73
4;"el Pilar";1;14;31;0,43;0,53;0,55;0,52;0,54;0,47;0,45;0,58;0,63;0,7;0,73
5;"el Mercat";1;15;31;0,33;0,33;0,36;0,4;0,38;0,41;0,38;0,39;0,35;0,43;0,51
6;"Sant Francesc";1;16;31;0,3;0,3;0,28;0,32;0,35;0,36;0,35;0,38;0,42;0,43;0,45
7;"Russafa";2;21;31;3,49;3,44;3,27;3,11;2,94;2,74;2,57;2,38;2,33;2,27;2,25
8;"el Pla del Remei";2;22;31;0,17;0,17;0,16;0,17;0,17;0,15;0,16;0,18;0,2;0,19;0,26
9;"Gran Via";2;23;31;0,61;0,59;0,54;0,51;0,46;0,46;0,45;0,46;0,51;0,53;0,49
10;"el Botànic";3;31;31;0,79;0,79;0,82;0,75;0,76;0,75;0,67;0,6;0,66;0,73;0,79
11;"la Roqueta";3;32;31;0,78;0,75;0,83;0,87;0,77;0,67;0,66;0,64;0,66;0,65;0,64
12;"la Petxina";3;33;31;1,91;2,12;2,29;2,26;2,03;1,74;1,6;1,46;1,44;1,43;1,55
13;"Arrancapins";3;34;31;3,12;3,18;3,38;3,19;3,07;2,95;2,87;2,56;2,35;2,31;2,29
14;"Campanar";4;41;31;1;0,98;0,96;0,93;0,94;0,88;0,94;0,95;0,9;0,97;0,97
15;"les Tendetes";4;42;31;1,04;1,04;0,99;0,99;0,93;0,97;1,05;1,09;0,94;0,86;0,89
16;"el Calvari";4;43;31;1,01;1,03;1;0,9;0,96;0,92;0,92;1,07;1,27;1,26;1,46
17;"Sant Pau";4;44;31;1,04;1,09;1,09;1,06;1,07;1,09;1,07;1,2;1,19;1,11;1,1
18;"Marxalenes";5;51;31;2,03;1,98;1,97;2;2,01;2,06;2,07;2,1;1,92;1,87;1,88
19;"Morvedre";5;52;31;2;2,1;2,03;1,85;1,77;1,8;1,69;1,52;1,46;1,45;1,31
20;"Trinitat";5;53;31;0,99;0,99;1,13;1,14;1,14;1,17;1,21;1,19;1,21;1,27;1,27
21;"Tormos";5;54;31;1,5;1,49;1,48;1,42;1,38;1,41;1,46;1,48;1,58;1,5;1,51
22;"Sant Antoni";5;55;31;1,16;1,17;1,23;1,28;1,32;1,31;1,27;1,12;1,1;1,01;0,97
23;"Exposició";6;61;31;0,28;0,28;0,24;0,26;0,25;0,3;0,31;0,27;0,25;0,36;0,32
24;"Mestalla";6;62;31;1,35;1,47;1,43;1,49;1,45;1,55;1,63;1,75;1,7;1,6;1,59
25;"Jaume Roig";6;63;31;0,41;0,35;0,32;0,33;0,33;0,34;0,33;0,31;0,28;0,21;0,2
26;"Ciutat Universitària";6;64;31;0,18;0,15;0,11;0,14;0,18;0,19;0,2;0,17;0,16;0,17;0,16
27;"Nou Moles";7;71;31;5,26;5,57;5,48;5,32;5,28;5,12;5,11;4,92;4,99;4,91;4,66
28;"Soternes";7;72;31;0,68;0,66;0,62;0,64;0,65;0,69;0,69;0,7;0,68;0,66;0,62
29;"Tres Forques";7;73;31;1,76;1,61;1,73;1,76;1,65;1,75;1,82;1,91;2,19;2,23;2,27
30;"la Fontsanta";7;74;31;0,56;0,45;0,42;0,45;0,38;0,36;0,38;0,42;0,52;0,57;0,68
31;"la Llum";7;75;31;0,55;0,49;0,52;0,55;0,55;0,57;0,52;0,56;0,61;0,6;0,51
32;"Patraix";8;81;31;2,83;2,89;3,13;3,24;3,18;3,02;3,26;3,3;3,17;2,96;2,91
33;"Sant Isidre";8;82;31;0,71;0,69;0,66;0,72;0,69;0,71;0,73;0,8;0,82;0,74;0,77
34;"Vara de Quart";8;83;31;0,74;0,75;0,72;0,78;0,84;0,97;0,87;0,84;0,92;0,97;0,99
35;"Safranar";8;84;31;0,43;0,49;0,4;0,38;0,4;0,45;0,43;0,5;0,51;0,48;0,55
36;"Favara";8;85;31;0,53;0,55;0,56;0,49;0,54;0,56;0,6;0,61;0,55;0,63;0,63
37;"la Raiosa";9;91;31;2,95;2,96;2,98;3,04;3,15;3,31;3,26;3,37;3,29;3,23;3,06
38;"l'Hort de Senabre";9;92;31;1,84;1,88;1,93;1,88;2,05;1,99;2,21;2,1;2,19;2,26;2,25
39;"la Creu Coberta";9;93;31;0,74;0,69;0,69;0,74;0,68;0,72;0,82;0,93;0,95;0,94;0,94
41;"Camí Real";9;95;31;0,4;0,39;0,37;0,4;0,4;0,39;0,44;0,5;0,51;0,51;0,5
42;"Mont-Olivet";10;101;31;4,09;4,28;4,29;4,3;4,36;4,18;3,96;3,77;3,57;3,3;3,21
43;"en Corts";10;102;31;2,57;2,47;2,64;2,51;2,64;2,67;2,45;2,18;2,02;1,97;1,89
44;"Malilla";10;103;31;2,45;2,43;2,48;2,41;2,37;2,31;2,33;2,25;2,11;2,05;2,02
45;"Fonteta de Sant Lluís";10;104;31;0,39;0,38;0,31;0,33;0,37;0,42;0,37;0,35;0,39;0,37;0,39
46;"na Rovella";10;105;31;0,98;0,93;0,88;0,76;0,79;0,79;0,8;0,92;1,14;1,04;1,05
47;"la Punta";10;106;31;0,15;0,12;0,14;0,16;0,21;0,22;0,28;0,24;0,22;0,27;0,31
48;"Ciutat de les Arts i les Ciències";10;107;31;0,55;0,54;0,64;0,76;0,77;0,82;0,72;0,83;0,88;0,85;0,8
49;"el Grau";11;111;31;1,11;1,01;1,02;1,11;1,13;1,03;1,08;1,28;1,28;1,28;1,31
50;"el Cabanyal-el Canyamelar";11;112;31;2,06;2,01;1,92;1,84;1,76;1,73;1,76;1,81;1,88;2,03;2,17
51;"la Malva-rosa";11;113;31;1,02;0,96;0,93;0,94;0,95;0,96;0,98;1,12;1,26;1,42;1,48
52;"Beteró";11;114;31;0,64;0,66;0,62;0,62;0,64;0,62;0,71;0,66;0,71;0,77;0,79
53;"Natzaret";11;115;31;0,74;0,62;0,56;0,59;0,56;0,58;0,63;0,61;0,78;0,88;0,99
54;"Aiora";12;121;31;3,34;3,35;3,28;3,34;3,36;3,49;3,51;3,56;3,34;3,36;3,36
55;"Albors";12;122;31;1,28;1,33;1,42;1,42;1,55;1,51;1,5;1,34;1,27;1,27;1,25
56;"la Creu del Grau";12;123;31;1,81;1,88;1,87;1,74;1,86;1,84;1,91;1,87;1,93;1,88;1,96
57;"Camí Fondo";12;124;31;0,87;0,8;0,8;0,8;0,87;0,92;0,81;0,74;0,65;0,59;0,6
58;"Penya-roja";12;125;31;0,77;0,77;0,82;0,88;0,99;1,11;1,14;1,16;1,13;1,15;1,02
59;"l'Illa Perduda";13;131;31;0,58;0,55;0,52;0,59;0,57;0,74;0,82;0,88;0,81;0,77;0,8
60;"Ciutat Jardí";13;132;31;1,26;1,3;1,28;1,41;1,44;1,67;1,54;1,48;1,33;1,39;1,35
61;"l'Amistat";13;133;31;1,42;1,29;1,31;1,34;1,39;1,37;1,34;1,32;1,3;1,36;1,37
62;"la Bega Baixa";13;134;31;0,33;0,28;0,31;0,33;0,41;0,42;0,41;0,29;0,28;0,27;0,37
63;"la Carrasca";13;135;31;0,24;0,28;0,28;0,4;0,42;0,49;0,4;0,39;0,29;0,29;0,24
64;"Benimaclet";14;141;31;3,5;3,34;3,25;3,19;3,3;3,04;2,98;2,66;2,51;2,43;2,18
65;"Camí de Vera";14;142;31;0,19;0,29;0,28;0,3;0,31;0,31;0,26;0,24;0,29;0,29;0,3
66;"Orriols";15;151;31;4,4;4,28;4,24;4,03;3,95;3,71;4,05;4,28;4,47;4,36;4,29
67;"Torrefiel";15;152;31;5,32;5,35;5,36;5,44;5,3;5,23;5,02;4,83;4,58;4,71;4,66
68;"Sant Llorenç";15;153;31;0,42;0,45;0,36;0,35;0,34;0,34;0,36;0,41;0,37;0,35;0,36
69;"Benicalap";16;161;31;5,57;5,64;5,5;5,71;5,59;5,66;5,55;5,73;5,79;5,8;5,81
70;"Ciutat Fallera";16;162;31;1,24;1,19;1,2;1,08;1,05;0,98;1,12;1,07;1,08;1,12;1,15
71;"Benifaraig";17;171;31;0,01;0,01;0,01;0,02;0,02;0,01;0,02;0,02;0,02;0,04;0,03
72;"Poble Nou";17;172;31;0,06;0,08;0,06;0,08;0,1;0,1;0,12;0,14;0,1;0,09;0,11
73;"Carpesa";17;173;31;0,02;0,01;0,03;0,03;0,04;0,05;0,05;0,06;0,07;0,09;0,07
74;"Cases de Bàrcena";17;174;31;0,02;0,02;0,01;0,01;0;0,01;0,01;0,02;0,02;0,02;0,04
75;"Mauella";17;175;31;0;0;0;0;0;0;0;0;0,01;0,01;0,01
76;"Massarrojos";17;176;31;0,06;0,07;0,07;0,08;0,08;0,09;0,07;0,06;0,08;0,07;0,06
77;"Borbotó";17;177;31;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,01;0,03;0,05
78;"Benimàmet";18;181;31;1,4;1,38;1,34;1,3;1,42;1,46;1,43;1,66;1,8;1,89;1,99
79;"Beniferri";18;182;31;0,05;0,07;0,04;0,05;0,05;0,09;0,13;0,14;0,11;0,07;0,07
80;"el Forn d'Alcedo";19;191;31;0,09;0,1;0,11;0,13;0,12;0,13;0,15;0,19;0,19;0,18;0,25
81;"el Castellar-l'Oliverar";19;192;31;0,23;0,25;0,23;0,25;0,29;0,33;0,33;0,39;0,4;0,46;0,53
82;"Pinedo";19;193;31;0,13;0,11;0,15;0,15;0,14;0,16;0,16;0,14;0,18;0,18;0,16
83;"el Saler";19;194;31;0,07;0,06;0,08;0,07;0,07;0,15;0,14;0,13;0,15;0,17;0,15
84;"el Palmar";19;195;31;0,03;0,03;0,03;0,04;0,04;0,04;0,05;0,04;0,03;0,04;0,05
85;"el Perellonet";19;196;31;0,06;0,06;0,04;0,03;0,04;0,04;0,03;0,05;0,09;0,08;0,07
86;"la Torre";19;197;31;0,62;0,61;0,62;0,6;0,55;0,6;0,64;0,73;0,8;0,91;0,87
87;"Faitanar";19;198;31;0,03;0,03;0,04;0,04;0,09;0,12;0,13;0,17;0,19;0,23;0,24
