"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;28;0,24;0,26;0,18;0,13;0,18;0,2;0,28;0,29;0,25;0,21;0,29
2;"la Xerea";1;12;28;0,65;0,79;0,79;0,71;0,52;0,39;0,31;0,43;0,25;0,22;0,28
3;"el Carme";1;13;28;0,9;0,92;0,95;0,87;0,91;1,04;0,91;1,04;1,21;1,56;2,03
4;"el Pilar";1;14;28;0,5;0,54;0,4;0,57;0,72;0,82;0,99;1,01;1,25;1,41;1,58
5;"el Mercat";1;15;28;0,39;0,43;0,35;0,36;0,39;0,38;0,35;0,37;0,37;0,32;0,4
6;"Sant Francesc";1;16;28;0,14;0,17;0,15;0,18;0,16;0,26;0,36;0,45;0,41;0,46;0,5
7;"Russafa";2;21;28;3,6;3,52;3,71;3,42;3,24;3;2,6;2,22;2,09;2,12;2,11
8;"el Pla del Remei";2;22;28;0,08;0,09;0,12;0,11;0,14;0,17;0,18;0,16;0,19;0,22;0,2
9;"Gran Via";2;23;28;0,16;0,16;0,17;0,21;0,27;0,28;0,27;0,26;0,23;0,22;0,24
10;"el Botànic";3;31;28;1,14;1,12;1,04;0,94;0,92;0,89;0,88;0,99;1,02;1,02;0,88
11;"la Roqueta";3;32;28;0,13;0,22;0,2;0,24;0,27;0,22;0,28;0,24;0,26;0,32;0,32
12;"la Petxina";3;33;28;0,68;0,63;0,51;0,53;0,72;0,73;0,61;0,61;0,57;0,6;0,6
13;"Arrancapins";3;34;28;0,81;0,83;0,77;0,78;0,79;0,86;0,89;0,86;0,98;1,02;1,07
14;"Campanar";4;41;28;0,66;0,71;0,78;0,86;0,69;0,67;0,77;0,85;0,9;0,87;0,79
15;"les Tendetes";4;42;28;0,59;0,68;0,72;0,68;0,69;0,63;0,6;0,6;0,61;0,59;0,54
