"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;32;0,11;0,19;0,21;0,22;0,19;0,19;0,23;0,23;0,21;0,2;0,19
2;"la Xerea";1;12;32;0,15;0,2;0,19;0,19;0,22;0,29;0,24;0,35;0,3;0,32;0,25
3;"el Carme";1;13;32;0,45;0,5;0,49;0,46;0,46;0,44;0,43;0,43;0,43;0,45;0,45
4;"el Pilar";1;14;32;0,36;0,41;0,66;0,6;0,59;0,6;0,58;0,5;0,54;0,53;0,55
5;"el Mercat";1;15;32;0,37;0,38;0,43;0,4;0,45;0,4;0,34;0,34;0,36;0,4;0,39
6;"Sant Francesc";1;16;32;0,22;0,22;0,26;0,32;0,35;0,46;0,55;0,54;0,5;0,45;0,51
7;"Russafa";2;21;32;3,28;2,98;2,78;2,73;2,4;2,4;2,23;2,08;1,75;1,74;1,75
8;"el Pla del Remei";2;22;32;0,19;0,16;0,14;0,18;0,18;0,18;0,22;0,17;0,18;0,23;0,21
9;"Gran Via";2;23;32;0,42;0,47;0,42;0,38;0,36;0,37;0,4;0,39;0,43;0,45;0,48
10;"el Botànic";3;31;32;0,29;0,32;0,29;0,29;0,22;0,18;0,2;0,16;0,16;0,23;0,26
11;"la Roqueta";3;32;32;2,47;2,49;2,55;2,55;2,4;2,41;2,17;2,12;1,98;1,98;2
12;"la Petxina";3;33;32;0,75;0,78;0,83;0,91;0,8;0,77;0,79;0,71;0,7;0,72;0,7
13;"Arrancapins";3;34;32;2,18;1,85;1,79;1,79;2,09;2,2;2;1,97;1,82;1,66;1,67
14;"Campanar";4;41;32;1,25;1,01;1,16;1,05;1,08;1,06;0,96;0,88;0,91;0,91;0,96
15;"les Tendetes";4;42;32;0,24;0,21;0,28;0,35;0,44;0,37;0,41;0,45;0,53;0,55;0,58
16;"el Calvari";4;43;32;0,91;1;0,91;1,01;1,01;1,13;1,11;1,16;1,19;1,24;1,21
17;"Sant Pau";4;44;32;1,21;1,33;1,39;1,38;1,53;1,5;1,54;1,45;1,4;1,4;1,65
18;"Marxalenes";5;51;32;1,16;1,01;0,89;0,98;1,06;1,19;1,31;1,34;1,38;1,45;1,31
19;"Morvedre";5;52;32;0,68;0,63;0,63;0,74;0,73;0,8;0,87;1,04;1,06;0,97;0,89
20;"Trinitat";5;53;32;0,86;0,86;0,85;0,69;0,82;0,92;0,92;0,96;0,81;0,81;0,87
