"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;25;35,39;34,5;35,33;34,71;35,82;36,13;36,65;37,1;36,19;36,47;37,54;37,52;37,2
2;"la Xerea";1;12;25;33,6;33,93;34,36;35,44;36,48;36,55;36,19;36,85;36,44;36,56;37;36,45;37,56
3;"el Carme";1;13;25;34,17;33,83;34,32;34,44;34,76;35,79;35,92;36,25;36,18;36,25;35,92;35,66;35,08
4;"el Pilar";1;14;25;34,11;33,52;34,45;35,3;35,12;34,65;34,56;35,06;35,14;34,91;34,61;35,16;35,2
5;"el Mercat";1;15;25;33,15;33,84;33,12;33,31;34,35;34,99;35,01;33,93;34,2;34,96;34,55;34,52;35,65
6;"Sant Francesc";1;16;25;35,24;36,29;36,48;37,2;37,79;37,18;37,56;36,53;35,89;35,39;35,05;35,35;35,51
7;"Russafa";2;21;25;33,16;33,4;33,66;34,15;34,65;35,53;36,21;36,24;36,51;36,37;36,82;36,87;36,89
8;"el Pla del Remei";2;22;25;35,4;36,01;36,32;37,69;38,27;38,63;38,02;37,48;38,4;36,63;35,92;36,6;37,77
9;"Gran Via";2;23;25;35,58;35,67;36,24;35,97;36,5;37,34;37,8;37,66;38,19;39,09;39,26;40,01;39,52
10;"el Botànic";3;31;25;33,97;33,59;34,11;35,33;35,98;36,12;36,62;36,18;36,43;36,22;36,33;37,39;36,35
11;"la Roqueta";3;32;25;32,68;32,69;32,59;33,37;34,22;35;35,11;35,04;35,07;34,52;35,17;35,64;35,69
12;"la Petxina";3;33;25;33,73;33,7;33,72;34,44;34,52;34,88;35,76;35,95;36,22;36,24;36,53;36,82;36,78
13;"Arrancapins";3;34;25;33,52;33,8;33,86;34,4;34,72;35,33;35,32;35,18;35,54;36,03;36,37;36,72;36,44
14;"Campanar";4;41;25;32,45;32,92;33,1;33,84;34,68;34,39;34,49;35,13;35,11;35,65;35,96;36,34;36,34
15;"les Tendetes";4;42;25;32,22;32,06;32,6;32,87;33,76;34,73;35,18;34,63;34,95;34,58;34,5;34,99;35,34
16;"el Calvari";4;43;25;31,46;31,8;31,24;32,55;32,84;32,93;33,84;33,47;34,22;34,41;34,76;35,34;35,33
17;"Sant Pau";4;44;25;33,85;33,67;33,1;33,55;33,52;33,8;34,4;34,83;35,13;35,05;34,96;35,72;34,99
18;"Marxalenes";5;51;25;32,17;32,81;32,47;32,88;33,97;34,31;34,56;34,71;35,02;34,6;34,86;34,9;35,33
19;"Morvedre";5;52;25;31,83;32,25;33,02;33,24;33,73;34,79;35,31;35,59;35,96;35,42;35,16;35,31;35,8
20;"Trinitat";5;53;25;31,96;32,41;32,24;32,44;32,96;33,5;33,71;33,5;33,76;34,01;34,17;34,31;33,98
21;"Tormos";5;54;25;31,12;31,7;31,54;31,68;31,81;32,32;33,85;34,45;34,77;34,87;34,79;35,65;36,04
22;"Sant Antoni";5;55;25;32,54;32,15;32,18;32,69;33,08;33,75;34,46;34,99;34,85;35,58;35,92;36,33;36,83
