"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;14;42,65;42,87;43,21;43,06;43,68;43,55;43,35;43,43;43,42;43,98;44,26;44,18;44,42
2;"la Xerea";1;12;14;42,28;42,15;42,79;43;43,06;43,12;43,22;43,83;44,02;44,76;44,96;44,92;44,76
3;"el Carme";1;13;14;41,53;41,37;41,47;41,63;41,81;41,99;42,31;42,72;42,93;42,51;42,58;42,41;42,43
4;"el Pilar";1;14;14;41,35;41,82;42,01;42;41,77;41,72;41,8;42,15;41,7;42,18;41,97;41,96;41,76
5;"el Mercat";1;15;14;41,36;41,49;41,38;41,66;41,9;41,84;41,62;41,78;41,94;42,26;42,29;41,96;42,24
6;"Sant Francesc";1;16;14;43,35;43,72;43,59;44,2;44,38;44,17;44,21;44,29;44;43,93;44,23;44,58;44,6
7;"Russafa";2;21;14;40,71;41,1;41,13;41,45;41,94;42,09;42,45;42,6;42,7;42,64;42,92;42,91;42,82
8;"el Pla del Remei";2;22;14;42,94;43,31;43,03;43,16;43,44;43,73;43,48;43,31;43,52;43,64;43,33;43,68;44,11
9;"Gran Via";2;23;14;41,13;41,16;41,31;41,55;41,83;42,28;42,42;42,62;42,48;42,69;43,07;43,24;43,26
10;"el Botànic";3;31;14;41,77;41,71;41,72;42,02;42,51;42,52;42,66;42,66;43,21;43,09;43,1;43,29;43,01
11;"la Roqueta";3;32;14;41,51;41,61;41,54;42,08;42,24;42,43;42,37;42,54;42,37;42,8;43,11;43,27;43,19
12;"la Petxina";3;33;14;41,09;41,26;41,4;41,58;41,92;42,24;42,4;42,52;42,57;42,76;42,82;42,97;43,19
13;"Arrancapins";3;34;14;41,94;42,08;42,18;42,39;42,77;43,08;43,25;43,42;43,47;43,73;43,83;43,95;43,83
14;"Campanar";4;41;14;41,52;42;42,35;42,73;43,41;43,7;44,04;44,42;44,72;44,99;45,47;45,82;46,12
15;"les Tendetes";4;42;14;41,8;42,42;43,13;43,5;44;44,19;44,31;44,4;44,63;44,74;45,22;45,36;45,55
16;"el Calvari";4;43;14;42,18;42,41;42,49;42,82;43,19;43,6;43,86;44,27;44,27;43,87;43,95;43,96;43,86
17;"Sant Pau";4;44;14;36,21;36,23;36,43;36,77;36,8;37,01;37,19;37,4;37,66;38,17;38,49;39,13;39,4
18;"Marxalenes";5;51;14;42,3;42,81;42,83;43,24;43,99;44,53;44,5;44,66;44,75;44,56;44,62;44,41;44,72
19;"Morvedre";5;52;14;41,48;41,35;41,9;42,33;42,7;43,02;43,11;43,4;43,49;43,32;43,97;43,79;44,23
20;"Trinitat";5;53;14;42,69;42,67;43,07;43,47;43,58;43,59;43,74;43,81;43,57;43,86;43,67;43,87;43,98
21;"Tormos";5;54;14;38,74;39,18;39,32;39,48;40,04;40,32;40,87;40,96;41,01;41,12;41,31;41,76;42,03
22;"Sant Antoni";5;55;14;40,2;40,65;40,91;41,23;41,74;41,96;42,3;42,79;42,81;43,21;43,35;43,55;43,92
23;"Exposició";6;61;14;41,08;41,26;41,46;41,4;41,94;42,19;42,58;42,65;42,78;43,44;43,43;43,3;43,26
24;"Mestalla";6;62;14;39,71;39,94;40,11;40,45;40,9;41,46;41,77;42,03;41,94;41,92;42,1;42,3;42,41
25;"Jaume Roig";6;63;14;41,33;41,42;41,83;42,03;42,01;42,38;42,45;42,46;42,62;42,64;42,62;42,53;42,52
26;"Ciutat Universitària";6;64;14;40,29;40,29;40,07;40,72;41,43;42,48;42,69;42,49;42,59;42,31;42,34;41,34;41,84
27;"Nou Moles";7;71;14;41,5;41,91;42,28;42,61;42,95;43,24;43,48;43,55;43,49;43,56;43,59;43,69;43,72
28;"Soternes";7;72;14;40,7;41,36;41,94;42,12;42,23;42,77;42,78;42,89;43,39;43,46;43,63;43,73;43,82
29;"Tres Forques";7;73;14;42,08;42,28;42,5;42,98;43,44;43,39;43,49;43,3;43,15;42,89;42,47;42,19;42,26
30;"la Fontsanta";7;74;14;38,63;38,7;38,88;39,43;40,23;40,51;40,87;40,7;40,57;40,59;40,42;40,53;39,97
31;"la Llum";7;75;14;39,46;39,93;40,81;41,17;41,76;42,32;42,68;42,86;43,19;43,47;44;44,2;44,39
32;"Patraix";8;81;14;40,99;41,4;41,68;42,09;42,43;42,68;42,96;43,22;43,31;43,6;43,65;43,89;44,08
33;"Sant Isidre";8;82;14;36,72;37,13;37,71;38,29;38,82;39,13;39,52;39,94;40,32;40,86;41,52;41,96;42,05
34;"Vara de Quart";8;83;14;41,77;42,26;42,71;43,18;43,75;44,15;44,43;44,78;45,05;45,3;45,56;45,92;46,41
35;"Safranar";8;84;14;38,19;38,55;39,1;39,29;39,68;39,92;40,2;40,76;41,12;41,47;41,75;41,91;42,09
36;"Favara";8;85;14;38,61;38,81;39,23;39,81;40,29;40,74;40,8;41,2;41,3;41,7;41,89;42,37;43,01
37;"la Raiosa";9;91;14;40,28;40,85;41,21;41,57;42,09;42,23;42,34;42,4;42,53;42,74;42,73;43,03;43,22
38;"l'Hort de Senabre";9;92;14;39,74;40,18;40,49;40,88;41,34;41,71;41,93;42,49;42,72;43;43,37;43,7;44,06
39;"la Creu Coberta";9;93;14;39,72;40,08;40,61;41,27;41,81;42,32;42,8;43,06;43,36;43,5;43,81;44,34;44,86
41;"Camí Real";9;95;14;35,9;36,41;36,76;37,79;38,03;38,37;38,77;38,69;39,22;39,42;39,58;40,26;40,7
42;"Mont-Olivet";10;101;14;41,55;42,02;42,37;42,59;42,75;42,98;42,81;42,98;43,12;43,3;43,43;43,72;43,86
43;"en Corts";10;102;14;39,98;40,27;40,39;40,57;40,92;41,42;41,73;42,05;42,28;42,24;42,34;42,64;42,62
44;"Malilla";10;103;14;39,11;39,58;40;40,42;40,84;41,4;41,83;42,15;42,6;42,88;43,15;43,42;43,66
45;"Fonteta de Sant Lluís";10;104;14;39,93;40,47;40,24;40,96;41,24;41,46;41,71;41,71;42,32;42,66;42,69;43,13;43,02
46;"na Rovella";10;105;14;39,6;40,25;40,57;40,88;40,91;41,51;41,65;41,75;42,05;42,09;42,24;42,56;42,52
47;"la Punta";10;106;14;43,68;43,48;42,46;42,51;42,08;41,52;41,25;41,22;41,57;42,06;42,37;42,59;42,98
48;"Ciutat de les Arts i les Ciències";10;107;14;35,79;35,96;36,28;36,73;36,87;37,2;37,59;37,91;38,29;38,85;39,13;39,67;40,03
49;"el Grau";11;111;14;38,16;38,47;38,81;39,04;39,29;39,4;39,71;40,33;40,73;41,04;41,29;41,39;41,61
50;"el Cabanyal-el Canyamelar";11;112;14;40,57;40,6;40,42;40,45;40,78;40,99;41,08;41,52;41,87;42,42;42,77;42,76;43,03
51;"la Malva-rosa";11;113;14;39,89;40,22;40,53;41,04;41,52;42,12;42,64;43,13;43,18;43,59;43,74;44;44,2
52;"Beteró";11;114;14;38,84;39,31;39,86;40,04;40,48;40,66;40,78;41,4;41,84;42,16;42,54;42,94;43,38
53;"Natzaret";11;115;14;38,81;38,89;39,23;39,24;39,79;40,82;40,91;40,97;41,29;41,27;41,13;41,42;41,39
54;"Aiora";12;121;14;39,36;39,41;39,69;40,06;40,35;40,6;40,96;41,12;41,4;41,81;42,13;42,44;42,67
55;"Albors";12;122;14;40,96;41,43;41,87;42,08;42,52;42,64;42,35;42,64;42,62;42,96;43,01;43,12;43,41
56;"la Creu del Grau";12;123;14;38,52;38,96;39,36;39,61;40,17;40,53;40,87;41,2;41,36;41,58;41,9;42,16;42,34
57;"Camí Fondo";12;124;14;39,73;40,13;40,24;40,53;41,02;41,38;41,52;41,87;42,11;42,38;42,55;42,61;42,88
58;"Penya-roja";12;125;14;34,5;34,57;34,77;35,17;35,62;36,07;36,58;36,97;37,53;38,03;38,37;38,78;39,03
59;"l'Illa Perduda";13;131;14;40,79;41,45;41,61;42,19;42,54;42,88;43,05;43,39;43,46;43,48;43,63;44,1;44,73
60;"Ciutat Jardí";13;132;14;41,19;41,96;42,46;43,02;43,54;44,02;44,39;44,76;44,7;45,11;45,4;45,68;45,79
61;"l'Amistat";13;133;14;41,25;41,58;41,96;42,36;42,87;43,12;43,44;43,66;43,83;44;44,02;43,82;43,95
62;"la Bega Baixa";13;134;14;40,9;40,98;41,39;41,92;42,3;42,61;42,76;42,81;43,2;43,66;44,08;44,27;44,13
63;"la Carrasca";13;135;14;38,89;39,27;39,73;40,13;40,34;40,63;40,7;41,16;41,74;42,45;43,22;43,63;43,96
64;"Benimaclet";14;141;14;40,59;40,97;41,38;42;42,23;42,53;42,67;42,84;43,19;43,44;43,73;43,84;44,02
65;"Camí de Vera";14;142;14;38,95;39,52;40,16;40,59;41,14;41,61;42,19;42,58;42,77;43,09;43,36;43,8;44,22
66;"Orriols";15;151;14;38,92;39,31;39,8;40,24;40,85;41,09;41,17;41,28;41,29;41,16;40,9;41,01;41,2
67;"Torrefiel";15;152;14;39,27;39,72;40;40,37;40,93;41,29;41,43;41,62;41,8;41,99;42;42,11;42,41
68;"Sant Llorenç";15;153;14;34,01;34,32;34,83;35,06;35,41;35,64;36,09;36,58;37,05;37,68;38,1;38,68;39,3
69;"Benicalap";16;161;14;38,72;38,9;39,14;39,45;39,89;40,13;40,25;40,52;40,68;40,82;41,05;41,32;41,7
70;"Ciutat Fallera";16;162;14;38,07;38,46;38,84;39,53;40,21;40,75;41,14;41,46;41,57;41,54;41,68;41,76;41,57
71;"Benifaraig";17;171;14;40,84;40,78;41,12;40,94;41,26;41,56;41,85;41,73;42,24;43,04;43,77;44,43;44,16
72;"Poble Nou";17;172;14;41,77;41,67;42,8;42,74;42,91;44,21;43,93;43,25;43,74;43,27;43,01;43,71;44,21
73;"Carpesa";17;173;14;41,56;41,49;42,03;43,12;43,68;44,12;44,94;45,47;45,54;46,04;46,44;46,44;46,58
74;"Cases de Bàrcena";17;174;14;43,46;43,56;44,68;45,1;44,73;44,32;45,79;45,82;46,86;45,87;46,75;47,06;47,6
75;"Mauella";17;175;14;51,17;49,9;48,13;46,81;49,08;49,42;50,45;50,18;51,18;52,67;52,53;51,82;52,29
76;"Massarrojos";17;176;14;36,75;36,67;37,16;37,19;37,11;37,46;37,88;37,91;38,3;38,66;38,97;39,61;39,44
77;"Borbotó";17;177;14;41,89;42,74;43,7;43,88;43,33;43,84;43,02;42,92;43,23;43,46;43,79;43,4;43,15
78;"Benimàmet";18;181;14;38,68;39,07;39,22;39,7;40,18;40,43;40,72;41,14;41,43;41,37;41,49;41,78;41,96
79;"Beniferri";18;182;14;38,16;38,38;38,51;38,64;38,72;39,28;39,29;39,11;39,02;39,47;39,89;40,47;41,5
80;"el Forn d'Alcedo";19;191;14;40,38;40,85;41,54;41,95;42,61;43,21;43,78;43,97;43,67;43,58;43,34;43,63;43,8
81;"el Castellar-l'Oliverar";19;192;14;41,32;41,6;41,91;42,11;42,63;42,91;42,99;43,22;43,5;43,76;44,05;44,31;44,63
82;"Pinedo";19;193;14;41,64;41,21;41,48;42;42,64;43,3;43,6;44,55;44,47;44,98;45,26;45,46;46,08
83;"el Saler";19;194;14;38,17;38,85;38,87;39,24;40,03;40,78;41,16;42,15;42,79;42,72;43;43,55;43,69
