"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;13;44,83;45,08;45,19;44,88;45,03;44,85;44,75;44,68;44,47;44,96;45,26;44,99;44,69
2;"la Xerea";1;12;13;45,11;44,98;45,39;45,58;45,74;45,76;45,77;46,06;46,19;46,38;46,5;46,45;46,56
3;"el Carme";1;13;13;44,42;44,25;43,91;44,1;44,42;44,57;44,76;45,02;45,21;45,05;44,86;44,33;44,45
4;"el Pilar";1;14;13;43,38;43,44;43,72;43,78;43,75;43,47;43,35;43,68;43,32;43,48;43,27;43,16;43,23
5;"el Mercat";1;15;13;43,81;43,81;43,56;43,82;44,12;43,87;43,55;43,34;43,3;43,36;43,13;43,08;43,17
6;"Sant Francesc";1;16;13;46,66;47,06;46,89;47,37;47,57;47,34;47,1;46,82;46,41;46,33;46,37;46,6;46,43
7;"Russafa";2;21;13;43,74;44;43,98;44,27;44,63;44,86;44,97;45,04;45,09;44,96;45,14;45,13;45,14
8;"el Pla del Remei";2;22;13;45,87;46,02;45,8;45,83;46,03;46,28;46,08;45,86;46,01;46,06;45,87;46,14;46,47
9;"Gran Via";2;23;13;44,66;44,8;44,88;45,08;45,37;45,71;45,71;45,73;45,56;45,71;45,98;46,14;46,11
10;"el Botànic";3;31;13;44,24;44,37;44,19;44,41;44,72;44,67;44,7;44,67;44,87;44,91;44,89;45,04;44,84
11;"la Roqueta";3;32;13;44,54;44,79;44,8;45,32;45,33;45,38;45,4;45,39;45,29;45,51;45,63;45,51;45,36
12;"la Petxina";3;33;13;44,21;44,42;44,58;44,8;45,07;45,26;45,31;45,44;45,47;45,49;45,62;45,79;45,87
13;"Arrancapins";3;34;13;44,82;44,97;45,05;45,3;45,64;45,95;46,14;46,15;46,16;46,32;46,4;46,49;46,52
14;"Campanar";4;41;13;43,09;43,6;43,9;44,31;44,86;45,27;45,59;46,05;46,34;46,64;46,97;47,32;47,73
15;"les Tendetes";4;42;13;43,74;44,4;45,11;45,45;45,92;46,14;46,33;46,29;46,34;46,52;46,87;47,06;47,2
16;"el Calvari";4;43;13;45,17;45,5;45,55;45,96;46,43;46,59;46,65;46,93;46,9;46,47;46,39;46,46;46,13
17;"Sant Pau";4;44;13;36,58;36,62;36,77;37,05;37,18;37,49;37,85;38,16;38,48;39;39,39;40,02;40,32
18;"Marxalenes";5;51;13;44,12;44,61;44,76;45,13;45,94;46,32;46,42;46,72;46,84;46,78;46,71;46,67;46,92
19;"Morvedre";5;52;13;44,57;44,7;45,24;45,52;45,93;46,3;46,32;46,44;46,45;46,42;46,67;46,57;46,92
20;"Trinitat";5;53;13;45,47;45,71;45,98;46,27;46,49;46,42;46,46;46,27;46,06;46,34;46,19;46,34;46,25
21;"Tormos";5;54;13;41,04;41,41;41,58;41,91;42,26;42,52;43,15;43,13;43,27;43,43;43,54;44,02;44,27
22;"Sant Antoni";5;55;13;41,81;42,31;42,45;42,84;43,36;43,68;43,97;44,45;44,35;44,76;44,9;45,21;45,53
23;"Exposició";6;61;13;43,12;43,33;43,71;43,77;44,26;44,42;44,76;44,79;44,72;45,18;45,28;45,15;45,21
24;"Mestalla";6;62;13;41,52;41,83;41,94;42,22;42,77;43,35;43,72;43,89;43,85;43,97;44,09;44,22;44,23
25;"Jaume Roig";6;63;13;43,11;43,18;43,37;43,49;43,74;44,22;44,35;44,37;44,47;44,46;44,47;44,52;44,68
26;"Ciutat Universitària";6;64;13;42,03;41,88;42,03;42,52;43,25;44,23;44,75;44,34;44,21;43,95;44,24;43,47;44,14
27;"Nou Moles";7;71;13;43,77;44,15;44,59;44,93;45,34;45,57;45,72;45,94;45,76;45,75;45,81;45,81;45,98
28;"Soternes";7;72;13;42,59;43,3;43,84;44,04;44,34;44,71;44,65;44,7;45,15;45,33;45,7;45,89;46,08
29;"Tres Forques";7;73;13;44,95;45,12;45,42;45,95;46,24;46,23;46,39;45,89;45,76;45,62;45,2;45,04;45,06
30;"la Fontsanta";7;74;13;40,4;40,64;40,85;41,25;41,89;41,84;42,44;42,13;42,35;42,32;42,47;42,54;42,03
31;"la Llum";7;75;13;40,68;41,24;42,04;42,35;42,86;43,39;43,8;44,07;44,55;44,97;45,49;45,73;46,12
32;"Patraix";8;81;13;43,19;43,55;43,82;44,26;44,65;44,95;45,23;45,43;45,5;45,68;45,84;46,09;46,32
33;"Sant Isidre";8;82;13;37,79;38,21;38,79;39,43;40;40,37;40,88;41,36;41,73;42,22;42,83;43,3;43,49
34;"Vara de Quart";8;83;13;42,84;43,51;44,05;44,56;45,04;45,48;45,76;46,04;46,37;46,7;47,19;47,55;48,08
35;"Safranar";8;84;13;39,46;39,74;40,35;40,62;41,01;41,35;41,71;42,12;42,55;42,92;43,16;43,41;43,6
36;"Favara";8;85;13;40,49;40,66;40,79;41,12;41,68;42,05;42,27;42,51;42,76;43,14;43,4;43,69;44,45
37;"la Raiosa";9;91;13;42,63;43,21;43,43;43,86;44,3;44,43;44,47;44,56;44,6;44,81;44,77;45,14;45,34
38;"l'Hort de Senabre";9;92;13;41,3;41,82;42,13;42,5;43,03;43,38;43,59;44,15;44,47;44,76;45,09;45,41;45,81
39;"la Creu Coberta";9;93;13;41,23;41,52;42,14;42,81;43,33;43,73;44,22;44,45;44,73;44,8;45,13;45,58;45,99
41;"Camí Real";9;95;13;36,75;37,3;37,53;38,25;38,48;38,72;39,09;39,35;39,67;39,91;40,14;40,72;40,96
42;"Mont-Olivet";10;101;13;44,14;44,56;44,81;44,96;45,31;45,39;45,38;45,55;45,66;45,81;45,88;46,16;46,25
43;"en Corts";10;102;13;42,25;42,63;42,83;43;43,34;43,63;43,8;44,16;44,37;44,37;44,52;44,71;44,72
44;"Malilla";10;103;13;40,28;40,83;41,28;41,73;42,21;42,77;43,15;43,5;43,95;44,27;44,56;44,82;45,08
45;"Fonteta de Sant Lluís";10;104;13;41,39;42,04;41,95;42,78;43,22;43,52;43,68;43,58;44,06;44,27;44,37;44,74;44,54
46;"na Rovella";10;105;13;41,81;42,51;43,03;43,38;43,51;44,08;44,17;44,39;44,63;44,67;44,81;45,31;45,23
47;"la Punta";10;106;13;44,18;44,16;43,28;43,37;42,62;42,09;41,84;41,84;41,9;42,34;42,31;42,42;42,93
48;"Ciutat de les Arts i les Ciències";10;107;13;36,43;36,77;37,03;37,37;37,66;37,94;38,3;38,63;39,17;39,82;40,15;40,55;40,81
49;"el Grau";11;111;13;39,77;40,02;40,4;40,57;40,84;40,99;41,46;41,94;42,22;42,53;42,93;43,11;43,37
