"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021"
1;"la Seu";1;11;97;95,42;95,22;93,9;93,79;93,4;92,61;93,11;92,91;93,96;93,33;93,19;92,95
2;"la Xerea";1;12;97;94,66;95,26;92,36;92,51;92,22;92,41;92,01;91,63;92,12;91,19;90,55;90,51
3;"el Carme";1;13;97;92,98;93,94;90,85;90,58;91,58;91,5;90,95;90,94;91,49;90,94;90,62;90,27
4;"el Pilar";1;14;97;93,26;94,38;92,16;92,85;91,83;92,89;91,97;90,5;90,45;90,81;92,38;92,29
5;"el Mercat";1;15;97;97,09;97,07;94,1;94,76;94,59;95,15;95,3;95,02;95,58;95,49;94,9;94,59
6;"Sant Francesc";1;16;97;96,56;96,5;93,76;94,04;94,12;94,38;94,48;94,55;94,6;94,68;94,44;94,21
7;"Russafa";2;21;97;94,95;95,13;91,81;92,17;92,38;92,48;91,27;91,84;91,85;91,61;91,66;91,55
8;"el Pla del Remei";2;22;97;97,1;96,71;94,98;94,88;94,66;94,59;94,25;94,26;93,93;94,31;94,45;94,33
9;"Gran Via";2;23;97;96,28;96,33;93,53;93,74;94,27;94,15;94,12;94;94,1;94,02;93,3;93,65
10;"el Botànic";3;31;97;93,51;93,32;92,12;92,13;92,16;92,16;91,07;90,62;90,32;89,94;89,17;89,53
11;"la Roqueta";3;32;97;95,46;96,09;93,58;93,73;93,4;93,96;94,08;93,61;94,11;94,13;93,69;93,54
12;"la Petxina";3;33;97;94,19;94,13;91,44;91,1;91,18;91,79;91,86;91,39;91,5;91,31;90,89;90,94
13;"Arrancapins";3;34;97;95,34;94,98;92,74;92,41;92,88;92,97;93,14;93,51;93,6;93,45;93,21;93,36
14;"Campanar";4;41;97;95,33;95,51;92,11;92,29;92,66;93,49;93,15;92,9;92,76;92,88;93,21;93,26
15;"les Tendetes";4;42;97;93,13;92,63;86,87;87,88;88;87,89;87,43;88,28;87,86;88,83;88,93;88,57
16;"el Calvari";4;43;97;92,92;93,16;87,06;86,97;85,97;83,93;82,7;84,44;84,86;84,83;85,14;83,43
17;"Sant Pau";4;44;97;95,83;96,36;93,6;93,88;94,08;93,59;93,29;93,53;94,02;93,4;94;93,6
18;"Marxalenes";5;51;97;88,87;88,96;86,15;86,86;86,2;86,99;88,53;89,28;88,61;85,75;86,36;86,92
19;"Morvedre";5;52;97;90,62;91,07;88,52;88,58;89,21;88,78;87,97;89,72;89,45;89,95;88,61;88,88
20;"Trinitat";5;53;97;95,44;95,81;91,83;91,51;91,48;91,52;90,94;90,6;89,46;89,13;89,9;89,34
21;"Tormos";5;54;97;92,88;94,01;87,68;88,62;90,55;90,45;91,02;90,75;90,83;90,15;89,32;89,54
22;"Sant Antoni";5;55;97;95,26;95,2;89,85;88,89;89,08;88,65;89,51;89,22;88,49;89,51;88,31;87,92
23;"Exposició";6;61;97;97,1;97,11;93,38;93,85;94,25;94,41;95,15;95,43;94,88;95,27;93,9;93,95
24;"Mestalla";6;62;97;97,13;97,52;93,44;93,3;91,5;93,06;93,74;93,88;94,49;94,01;94,09;94,31
25;"Jaume Roig";6;63;97;97,71;97,86;92,75;92,75;92,78;92,3;92,76;92,14;93,65;93,3;93,25;93,3
26;"Ciutat Universitària";6;64;97;93,96;94,16;88,47;89,08;90,05;89,7;89,52;89,86;90,02;89,77;90,22;90,63
