"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;80;2161;2156;2143;2147;2142
2;"la Xerea";1;12;80;2654;2653;2703;2707;2708
3;"el Carme";1;13;80;4250;4248;4244;4245;4188
4;"el Pilar";1;14;80;2821;2798;2821;2830;2843
5;"el Mercat";1;15;80;2832;2882;2890;2892;2927
6;"Sant Francesc";1;16;80;4508;4507;4504;4509;4509
7;"Russafa";2;21;80;14392;14380;14392;14393;14387
8;"el Pla del Remei";2;22;80;4238;4237;4240;4241;4239
9;"Gran Via";2;23;80;6566;6568;6565;6561;6562
10;"el Botànic";3;31;80;3991;3995;3992;3994;4000
11;"la Roqueta";3;32;80;3233;3234;3234;3234;3229
12;"la Petxina";3;33;80;7928;7940;7945;7945;7973
13;"Arrancapins";3;34;80;12447;12469;12469;12472;12496
14;"Campanar";4;41;80;5730;5729;5729;5728;5729
15;"les Tendetes";4;42;80;2723;2723;2724;2724;2727
16;"el Calvari";4;43;80;2669;2670;2673;2674;2671
17;"Sant Pau";4;44;80;7245;7245;7245;7272;7563
18;"Marxalenes";5;51;80;5369;5368;5368;5416;5440
19;"Morvedre";5;52;80;5277;5319;5317;5317;5321
20;"Trinitat";5;53;80;4536;4536;4536;4550;4552
21;"Tormos";5;54;80;4133;4133;4131;4132;4132
22;"Sant Antoni";5;55;80;4596;4591;4591;4592;4636
23;"Exposició";6;61;80;3376;3376;3365;3351;3350
24;"Mestalla";6;62;80;7834;7839;7857;7856;7892
25;"Jaume Roig";6;63;80;2994;2994;2994;2994;2994
26;"Ciutat Universitària";6;64;80;1464;1465;1465;1465;1467
27;"Nou Moles";7;71;80;13085;13087;13138;13147;13221
28;"Soternes";7;72;80;2482;2482;2482;2482;2484
29;"Tres Forques";7;73;80;4400;4400;4400;4400;4400
30;"la Fontsanta";7;74;80;1549;1549;1549;1549;1549
31;"la Llum";7;75;80;2277;2277;2277;2277;2277
32;"Patraix";8;81;80;12051;12051;12054;12076;12149
33;"Sant Isidre";8;82;80;4269;4269;4269;4405;4485
34;"Vara de Quart";8;83;80;4519;4519;4516;4516;4515
35;"Safranar";8;84;80;4000;4018;4071;4180;4257
36;"Favara";8;85;80;1715;1715;1715;1718;1722
37;"la Raiosa";9;91;80;7767;7768;7756;7757;7800
38;"l'Hort de Senabre";9;92;80;7616;7618;7615;7615;7616
39;"la Creu Coberta";9;93;80;2866;2866;2867;2864;2864
41;"Camí Real";9;95;80;1876;1876;1876;1876;1876
42;"Mont-Olivet";10;101;80;9717;9719;9723;9720;9730
43;"en Corts";10;102;80;5969;5971;5995;5991;6024
44;"Malilla";10;103;80;9870;9824;9829;10038;10386
45;"Fonteta de Sant Lluís";10;104;80;1416;1416;1416;1413;1462
46;"na Rovella";10;105;80;3266;3266;3266;3266;3266
47;"la Punta";10;106;80;1579;1579;1636;1637;1759
48;"Ciutat de les Arts i les Ciències";10;107;80;3682;3792;3791;3789;3966
49;"el Grau";11;111;80;4643;4650;4650;4600;4738
50;"el Cabanyal-el Canyamelar";11;112;80;11655;11660;11641;11639;11677
51;"la Malva-rosa";11;113;80;6784;6786;6787;6787;6849
52;"Beteró";11;114;80;3807;3805;3802;3802;3803
53;"Natzaret";11;115;80;2976;2975;2973;2968;2970
54;"Aiora";12;121;80;11791;11793;11797;11844;11845
55;"Albors";12;122;80;4558;4558;4579;4579;4583
56;"la Creu del Grau";12;123;80;7115;7112;7113;7110;7120
57;"Camí Fondo";12;124;80;2294;2294;2292;2284;2285
58;"Penya-roja";12;125;80;5899;5899;5932;6071;6095
59;"l'Illa Perduda";13;131;80;4193;4193;4194;4194;4195
60;"Ciutat Jardí";13;132;80;7090;7090;7090;7090;7090
61;"l'Amistat";13;133;80;4013;4015;4019;4019;4019
62;"la Bega Baixa";13;134;80;3247;3247;3247;3247;3248
63;"la Carrasca";13;135;80;1896;1896;1895;1896;1896
64;"Benimaclet";14;141;80;12872;12878;12879;12892;12903
65;"Camí de Vera";14;142;80;2487;2487;2487;2493;2493
66;"Orriols";15;151;80;7638;7637;7638;7640;7640
67;"Torrefiel";15;152;80;11629;11629;11628;11639;11635
68;"Sant Llorenç";15;153;80;4646;4681;4681;4682;4806
69;"Benicalap";16;161;80;18781;18779;18843;18968;19266
70;"Ciutat Fallera";16;162;80;2590;2591;2592;2593;2595
71;"Benifaraig";17;171;80;531;525;526;529;529
72;"Poble Nou";17;172;80;486;484;482;487;487
73;"Carpesa";17;173;80;582;582;579;582;583
74;"Cases de Bàrcena";17;174;80;238;236;235;237;237
75;"Mauella";17;175;80;76;72;73;70;71
76;"Massarrojos";17;176;80;1182;1180;1181;1184;1186
77;"Borbotó";17;177;80;404;400;400;404;404
78;"Benimàmet";18;181;80;6517;6517;6520;6520;6524
79;"Beniferri";18;182;80;508;508;508;508;508
80;"el Forn d'Alcedo";19;191;80;653;653;651;651;651
81;"el Castellar-l'Oliverar";19;192;80;3306;3308;3310;3313;3315
82;"Pinedo";19;193;80;1291;1297;1298;1300;1300
83;"el Saler";19;194;80;2074;2073;2072;2072;2072
84;"el Palmar";19;195;80;413;415;415;417;418
85;"el Perellonet";19;196;80;4538;4538;4537;4562;4563
86;"la Torre";19;197;80;2489;2490;2491;2491;2491
87;"Faitanar";19;198;80;899;898;898;918;918
