"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;57;45;36;29;34;27;31;27;25;9;14
2;"la Xerea";1;12;57;51;46;55;59;51;54;50;40;15;14
3;"el Carme";1;13;57;76;72;87;83;78;104;71;77;22;18
4;"el Pilar";1;14;57;61;47;58;59;67;70;61;55;14;9
5;"el Mercat";1;15;57;30;35;31;35;35;34;36;31;9;10
6;"Sant Francesc";1;16;57;54;63;79;61;68;62;42;43;23;22
7;"Russafa";2;21;57;231;240;261;219;244;250;191;172;88;63
8;"el Pla del Remei";2;22;57;57;72;84;73;82;69;77;50;23;11
9;"Gran Via";2;23;57;117;122;136;136;138;123;119;86;45;35
10;"el Botànic";3;31;57;76;69;73;69;65;65;75;60;17;15
11;"la Roqueta";3;32;57;61;44;41;44;46;48;52;41;10;6
12;"la Petxina";3;33;57;147;174;170;145;161;171;130;127;48;46
13;"Arrancapins";3;34;57;245;226;234;232;219;203;216;201;74;64
14;"Campanar";4;41;57;73;106;96;106;96;80;101;60;35;24
15;"les Tendetes";4;42;57;49;53;56;52;54;34;32;39;13;10
16;"el Calvari";4;43;57;67;70;58;66;64;55;50;45;16;17
17;"Sant Pau";4;44;57;65;47;56;69;69;69;77;62;30;18
18;"Marxalenes";5;51;57;104;92;125;87;112;101;115;83;31;36
19;"Morvedre";5;52;57;129;129;129;166;137;138;125;114;40;38
20;"Trinitat";5;53;57;89;97;97;104;93;88;91;63;24;18
21;"Tormos";5;54;57;58;91;78;76;78;81;63;57;29;17
22;"Sant Antoni";5;55;57;78;78;82;83;107;53;87;74;28;26
23;"Exposició";6;61;57;51;52;61;67;54;44;63;55;20;17
24;"Mestalla";6;62;57;79;122;104;109;125;123;115;99;46;25
25;"Jaume Roig";6;63;57;55;57;53;60;56;73;59;43;17;18
26;"Ciutat Universitària";6;64;57;26;20;21;23;24;31;19;20;6;10
