"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2009";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;73;2197;2138;2135;2141;2084;2067;2036;2009;2047;2328;2380;2417;2412;2400
2;"la Xerea";1;12;73;2201;2138;2441;2423;2386;2345;2274;2301;2335;2256;2320;2216;2220;2251
3;"el Carme";1;13;73;2398;2346;2341;2345;2354;2302;2281;2315;2305;2356;2347;2366;2410;2479
4;"el Pilar";1;14;73;1604;1582;1627;1587;1592;1560;1548;1542;1567;1585;1610;1622;1685;1685
5;"el Mercat";1;15;73;1409;1408;1441;1408;1415;1380;1434;1427;1444;1448;1455;1454;1464;1502
6;"Sant Francesc";1;16;73;4089;4062;4303;4185;4199;3993;4021;4005;3995;3979;3957;3942;3956;3993
7;"Russafa";2;21;73;10465;10270;10703;10365;10174;9919;9749;9607;9613;9690;9817;9805;9738;9730
8;"el Pla del Remei";2;22;73;4585;4487;4885;4768;4599;4565;4502;4495;4491;4515;4494;4401;4404;4444
9;"Gran Via";2;23;73;5888;5857;6093;5927;5865;5713;5602;5543;5499;5548;5526;5505;5471;5495
10;"el Botànic";3;31;73;2672;2747;2786;2761;2745;2650;2574;2562;2581;2555;2613;2599;2600;2586
11;"la Roqueta";3;32;73;2024;2006;2180;2154;2141;2094;2066;2042;2059;2028;2046;2067;2057;2075
12;"la Petxina";3;33;73;6815;6698;6864;6718;6600;6394;6309;6235;6345;6324;6318;6339;6415;6376
13;"Arrancapins";3;34;73;10891;10610;11147;10910;10680;10498;10287;10118;10092;10107;10113;10013;10013;9991
14;"Campanar";4;41;73;6466;6272;7259;7012;6958;6821;6554;6512;6590;6200;6253;6157;6079;6029
15;"les Tendetes";4;42;73;2448;2402;2504;2421;2369;2302;2285;2269;2282;2285;2303;2297;2299;2285
16;"el Calvari";4;43;73;1962;1894;2025;1970;1893;1846;1804;1810;1793;1793;1802;1853;1857;1838
17;"Sant Pau";4;44;73;6115;6200;4759;4856;5146;5255;5346;5590;5823;6597;6852;7003;7098;7065
18;"Marxalenes";5;51;73;4734;4624;4703;4608;4531;4421;4329;4321;4349;4443;4499;4504;4522;4552
19;"Morvedre";5;52;73;4267;4187;4307;4153;4101;3988;3934;3901;3896;3893;3989;3883;3917;3911
20;"Trinitat";5;53;73;3445;3389;3529;3486;3388;3277;3223;3209;3204;3173;3154;3082;3071;3102
21;"Tormos";5;54;73;3736;3658;3781;3676;3670;3606;3546;3515;3497;3512;3559;3586;3641;3650
22;"Sant Antoni";5;55;73;4428;4406;4527;4426;4335;4214;4173;4169;4179;4225;4258;4258;4301;4292
23;"Exposició";6;61;73;3667;3604;3824;3738;3701;3628;3552;3518;3501;3497;3443;3395;3329;3287
24;"Mestalla";6;62;73;7167;7132;7633;7472;7433;7328;7244;7161;7300;7288;7196;7138;7232;7459
25;"Jaume Roig";6;63;73;3628;3604;3841;3772;3699;3611;3540;3478;3442;3408;3371;3323;3303;3254
26;"Ciutat Universitària";6;64;73;1405;1404;1469;1428;1399;1368;1351;1337;1326;1340;1316;1282;1259;1270
27;"Nou Moles";7;71;73;11808;11369;11662;11303;11009;10697;10480;10452;10367;10466;10503;10450;10482;10522
28;"Soternes";7;72;73;2710;2602;2510;2499;2469;2355;2404;2442;2494;2622;2475;2602;2362;2214
29;"Tres Forques";7;73;73;3595;3496;3659;3535;3467;3314;3264;3199;3203;3256;3260;3295;3305;3288
30;"la Fontsanta";7;74;73;1470;1432;1405;1324;1346;1295;1272;1300;1323;1307;1331;1332;1367;1361
31;"la Llum";7;75;73;2436;2385;2363;2320;2303;2274;2180;2165;2182;2262;2243;2283;2300;2314
32;"Patraix";8;81;73;11436;11367;11443;11223;10928;10726;10546;10488;10509;10598;10649;10725;10775;10730
33;"Sant Isidre";8;82;73;5009;4869;4747;4581;4589;4501;4565;4419;4471;4593;4639;4669;4744;4767
34;"Vara de Quart";8;83;73;6472;6427;6576;6269;6420;6201;5829;5942;6001;6061;6028;6158;6124;5998
35;"Safranar";8;84;73;4404;4360;4169;4104;3956;3961;3986;4000;4087;4210;4186;4198;4224;4459
36;"Favara";8;85;73;1563;1537;1508;1504;1493;1462;1458;1465;1458;1508;1530;1555;1587;1608
37;"la Raiosa";9;91;73;6846;6661;6731;6484;6346;6209;6054;6028;6057;6000;6022;6216;6238;6300
38;"l'Hort de Senabre";9;92;73;7872;7712;7685;7527;7429;7229;7153;7144;7173;7301;7389;7371;7411;7353
39;"la Creu Coberta";9;93;73;3076;3034;3096;2990;2929;2853;2815;2810;2823;2852;2850;2846;2845;2833
41;"Camí Real";9;95;73;1902;1878;1392;1339;1616;1604;1583;1581;1634;1672;1697;1715;1740;1752
42;"Mont-Olivet";10;101;73;8493;8357;8565;8310;8133;7847;7737;7664;7650;7689;7683;7667;7658;7567
43;"en Corts";10;102;73;5118;5011;5038;4937;4846;4682;4560;4494;4529;4624;4634;4651;4679;4692
44;"Malilla";10;103;73;11553;11412;11339;11079;11194;10735;10406;10399;10477;10523;10617;10670;10649;10628
45;"Fonteta de Sant Lluís";10;104;73;1486;1460;1487;1465;1441;1388;1366;1371;1371;1368;1405;1426;1441;1562
46;"na Rovella";10;105;73;3764;3637;3954;3812;3710;3623;3539;3464;3475;3473;3501;3477;3511;3407
47;"la Punta";10;106;73;1251;1218;1205;1187;1207;1193;1191;1186;1257;1276;1345;1358;1398;1477
48;"Ciutat de les Arts i les Ciències";10;107;73;2557;2587;2389;2273;2423;2405;2455;2474;2577;2702;2874;2914;3034;3004
49;"el Grau";11;111;73;4410;4330;4315;4254;4127;4058;3984;3953;4009;4085;4096;4083;4127;4095
50;"el Cabanyal-el Canyamelar";11;112;73;8559;8366;8473;8290;8174;7919;7807;7647;7672;7645;7651;7622;7812;7832
51;"la Malva-rosa";11;113;73;6207;6087;6127;5964;5882;5709;5640;5648;5679;5736;5765;5752;5769;5695
52;"Beteró";11;114;73;3716;3645;3718;3608;3616;3542;3478;3458;3492;3383;3564;3514;3373;3347
53;"Natzaret";11;115;73;2776;2729;2816;2718;2661;2614;2558;2509;2517;2588;2580;2659;2673;2599
54;"Aiora";12;121;73;10856;10657;10598;10296;10156;9898;9657;9614;9709;9817;9895;9940;10012;9958
55;"Albors";12;122;73;3901;3759;3901;3749;3634;3546;3514;3506;3564;3569;3641;3680;3690;3695
56;"la Creu del Grau";12;123;73;6162;6069;6040;5903;5838;5679;5598;5572;5567;5681;5755;5733;5787;5816
57;"Camí Fondo";12;124;73;2146;1983;2020;1982;2055;2018;1954;2183;2097;2326;2175;2244;2279;2247
58;"Penya-roja";12;125;73;4299;4400;3586;3660;3966;4061;4194;4322;4489;4695;4806;4859;5014;5044
59;"l'Illa Perduda";13;131;73;4194;4109;4192;4061;4025;3912;3841;3809;3775;3797;3781;3771;3728;3691
60;"Ciutat Jardí";13;132;73;6388;6233;6648;6429;6282;6154;5994;5882;5913;5870;5854;5805;5743;5699
61;"l'Amistat";13;133;73;3191;3141;3369;3261;3192;3046;3008;2961;2978;2969;2945;2916;2944;2922
62;"la Bega Baixa";13;134;73;2971;2930;3065;2986;2943;2871;2812;2760;2736;2748;2707;2701;2715;2684
63;"la Carrasca";13;135;73;1808;1764;1853;1771;1764;1708;1680;1659;1659;1839;1687;1654;1679;1671
64;"Benimaclet";14;141;73;10690;10523;10938;10599;10449;10273;10085;10093;10125;10090;10223;10003;10351;10019
65;"Camí de Vera";14;142;73;2697;2687;2506;2411;2409;2343;2336;2370;2432;2509;2505;2544;2537;2511
66;"Orriols";15;151;73;6568;6447;6693;6510;6329;6121;5897;5968;6127;5989;6134;6139;6161;6258
67;"Torrefiel";15;152;73;11178;11002;11378;11086;10905;10691;10443;10432;10627;10574;10667;10767;10872;10843
68;"Sant Llorenç";15;153;73;3958;3999;3277;3295;3481;3611;3726;3709;3697;4111;4228;4351;4404;4390
69;"Benicalap";16;161;73;16644;16472;15719;15427;15566;15358;15214;15569;15970;16501;16848;17149;17434;17596
70;"Ciutat Fallera";16;162;73;2755;2632;2682;2608;2576;2480;2435;2422;2403;2478;2517;2568;2575;2609
71;"Benifaraig";17;171;73;541;549;530;532;533;541;536;557;567;572;588;593;594;591
72;"Poble Nou";17;172;73;529;521;520;511;501;492;494;480;482;486;493;496;493;502
73;"Carpesa";17;173;73;725;727;682;670;672;662;658;662;675;676;691;684;696;696
74;"Cases de Bàrcena";17;174;73;285;238;168;165;159;155;149;153;147;143;147;181;187;158
75;"Mauella";17;175;73;19;18;16;16;16;16;17;17;17;16;16;17;18;27
76;"Massarrojos";17;176;73;912;919;784;783;834;857;888;927;962;1004;1044;1068;1115;1138
77;"Borbotó";17;177;73;419;420;397;396;400;399;398;400;401;404;400;407;407;409
78;"Benimàmet";18;181;73;6278;6176;6044;5934;5893;5746;5701;5745;5825;5896;5995;6067;6204;6255
79;"Beniferri";18;182;73;505;509;435;430;453;450;449;478;511;553;576;593;589;569
80;"el Forn d'Alcedo";19;191;73;1085;942;887;863;881;875;876;958;889;956;921;940;896;887
81;"el Castellar-l'Oliverar";19;192;73;4015;3955;3928;3879;3875;3794;3768;3733;3736;3775;3767;3782;3781;3804
82;"Pinedo";19;193;73;1381;1378;1341;1328;1336;1316;1338;1353;1383;1429;1442;1429;1424;1471
83;"el Saler";19;194;73;977;971;811;798;799;783;806;820;806;841;863;863;892;918
84;"el Palmar";19;195;73;439;452;432;419;417;417;418;425;430;436;431;429;442;427
85;"el Perellonet";19;196;73;792;789;565;577;581;576;578;564;558;578;586;610;619;648
