"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2009";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;71;3740;3615;3576;3591;3501;3472;3429;3359;3399;3746;3808;3802;3839;3781
2;"la Xerea";1;12;71;3491;3377;3896;3864;3859;3829;3765;3846;3842;3786;3875;3781;3789;3834
3;"el Carme";1;13;71;3249;3188;3244;3258;3276;3206;3186;3239;3199;3301;3249;3261;3305;3385
4;"el Pilar";1;14;71;2134;2099;2176;2108;2130;2085;2046;2018;2051;2108;2161;2172;2259;2258
5;"el Mercat";1;15;71;1923;1922;1972;1939;1945;1894;1981;1967;1997;1992;1999;1999;2007;2048
6;"Sant Francesc";1;16;71;6635;6546;6876;6709;6651;6391;6381;6233;6401;6355;6417;6379;6390;6355
7;"Russafa";2;21;71;14066;13755;14354;13868;13631;13285;13050;12872;12881;13002;13159;13177;13124;13125
8;"el Pla del Remei";2;22;71;6481;6357;7006;6781;6548;6502;6401;6409;6471;6495;6471;6387;6431;6509
9;"Gran Via";2;23;71;7820;7796;8195;7964;7880;7693;7554;7501;7473;7543;7539;7530;7517;7551
10;"el Botànic";3;31;71;3599;3637;3787;3766;3744;3607;3506;3516;3540;3543;3604;3579;3578;3567
11;"la Roqueta";3;32;71;2655;2624;2881;2845;2820;2772;2733;2736;2770;2726;2761;2787;2777;2799
12;"la Petxina";3;33;71;8942;8775;9022;8873;8717;8395;8131;8064;8219;8202;8203;8278;8371;8352
13;"Arrancapins";3;34;71;14256;13876;14806;14408;14126;13924;13654;13414;13420;13426;13427;13333;13371;13388
14;"Campanar";4;41;71;8453;8176;9475;9140;9034;8827;8448;8374;8464;7957;8011;7883;7811;7758
15;"les Tendetes";4;42;71;3102;3055;3205;3103;3033;2975;2939;2902;2914;2921;2948;2949;2937;2944
16;"el Calvari";4;43;71;2580;2467;2601;2542;2477;2407;2369;2388;2377;2391;2407;2468;2454;2433
17;"Sant Pau";4;44;71;7694;7775;6035;6113;6476;6601;6740;7025;7281;8276;8570;8756;8879;8819
18;"Marxalenes";5;51;71;6131;5961;6095;5949;5842;5690;5581;5574;5615;5774;5828;5861;5900;5952
19;"Morvedre";5;52;71;5560;5464;5635;5415;5328;5176;5128;5091;5067;5060;5157;5059;5104;5103
20;"Trinitat";5;53;71;4509;4473;4724;4628;4512;4377;4311;4266;4246;4232;4222;4151;4148;4170
21;"Tormos";5;54;71;4962;4876;5039;4878;4849;4753;4697;4692;4657;4701;4754;4797;4843;4868
22;"Sant Antoni";5;55;71;5764;5716;5880;5731;5606;5431;5360;5366;5386;5464;5485;5501;5543;5538
23;"Exposició";6;61;71;4896;4787;5153;5040;4952;4855;4728;4656;4696;4681;4594;4566;4500;4478
24;"Mestalla";6;62;71;9472;9310;10087;9877;9792;9769;9609;9480;9649;9625;9520;9456;9547;9803
25;"Jaume Roig";6;63;71;4872;4835;5176;5105;5039;4923;4846;4770;4732;4695;4665;4617;4582;4536
26;"Ciutat Universitària";6;64;71;1955;1948;2062;1994;1942;1875;1771;1754;1723;1742;1728;1712;1706;1710
27;"Nou Moles";7;71;71;15142;14528;14977;14513;14133;13750;13468;13397;13398;13478;13583;13564;13647;13741
28;"Soternes";7;72;71;3321;3211;3117;3072;3035;2905;2942;2986;3039;3178;3024;3169;2924;2787
29;"Tres Forques";7;73;71;4589;4448;4697;4535;4452;4258;4220;4139;4169;4222;4257;4297;4303;4293
30;"la Fontsanta";7;74;71;1898;1854;1850;1735;1759;1711;1669;1682;1717;1669;1696;1684;1727;1733
31;"la Llum";7;75;71;3074;3007;2959;2896;2884;2830;2732;2718;2735;2827;2781;2827;2860;2878
32;"Patraix";8;81;71;14787;14699;14877;14572;14218;13960;13705;13623;13731;13895;13807;13855;14111;13972
33;"Sant Isidre";8;82;71;6586;6342;6200;5937;5963;5841;5909;5727;5780;5915;5960;6011;6112;6169
34;"Vara de Quart";8;83;71;8261;8234;8426;8105;8245;7969;7491;7601;7722;7843;7818;7977;7953;7794
35;"Safranar";8;84;71;5707;5631;5458;5364;5191;5178;5173;5163;5258;5375;5525;5527;5589;5854
36;"Favara";8;85;71;2059;2020;1977;1972;1959;1911;1894;1904;1903;1949;1987;2026;2070;2092
37;"la Raiosa";9;91;71;8800;8619;8846;8519;8337;8168;8030;8009;8071;7984;8039;8354;8363;8419
38;"l'Hort de Senabre";9;92;71;10306;10008;9941;9746;9626;9368;9276;9252;9257;9410;9506;9477;9554;9505
39;"la Creu Coberta";9;93;71;4192;4067;4168;4032;3956;3863;3796;3756;3735;3770;3798;3758;3774;3756
41;"Camí Real";9;95;71;2533;2492;1885;1825;2203;2178;2146;2155;2266;2350;2409;2438;2449;2458
42;"Mont-Olivet";10;101;71;11195;11058;11487;11092;10851;10482;10312;10206;10191;10248;10278;10223;10249;10142
43;"en Corts";10;102;71;6752;6623;6669;6521;6396;6176;6021;5935;5986;6093;6123;6161;6204;6245
44;"Malilla";10;103;71;15130;14838;14775;14404;14474;13890;13523;13509;13585;13622;13748;13793;13789;13726
45;"Fonteta de Sant Lluís";10;104;71;2025;1992;2031;2003;2029;1984;1946;1892;1881;1862;1978;2006;2032;2118
46;"na Rovella";10;105;71;5038;4875;5368;5171;5022;4869;4739;4636;4604;4592;4608;4602;4636;4501
47;"la Punta";10;106;71;2958;2888;2910;2854;2906;2835;2825;2782;2641;2633;2777;2805;2866;2970
48;"Ciutat de les Arts i les Ciències";10;107;71;3986;4027;3623;3428;3617;3544;3510;3509;3599;3783;3968;4043;4228;4212
49;"el Grau";11;111;71;7925;7593;7420;7282;6681;6494;6381;6378;6543;6782;6743;6738;6715;6776
50;"el Cabanyal-el Canyamelar";11;112;71;11931;11647;11940;11707;11444;11129;10978;10734;10803;10782;10764;10729;10947;11040
51;"la Malva-rosa";11;113;71;8301;8144;8418;8140;8023;7794;7639;7615;7632;7697;7693;7554;7532;7469
52;"Beteró";11;114;71;5002;4879;5002;4841;4819;4713;4591;4568;4557;4354;4559;4499;4323;4307
53;"Natzaret";11;115;71;3917;3822;3978;3834;3753;3674;3606;3537;3541;3602;3593;3688;3699;3615
54;"Aiora";12;121;71;14257;14016;14158;13741;13670;13332;13017;12958;13022;13215;13382;13508;13604;13501
55;"Albors";12;122;71;5109;4963;5238;5041;4901;4770;4733;4691;4777;4795;4874;4924;4959;4964
56;"la Creu del Grau";12;123;71;7981;7867;7941;7767;7647;7404;7293;7242;7222;7351;7446;7438;7501;7524
57;"Camí Fondo";12;124;71;2846;2673;2714;2689;2744;2701;2711;2982;3037;3318;3288;3387;3432;3498
58;"Penya-roja";12;125;71;5505;5617;4560;4623;5002;5109;5269;5439;5639;5888;6087;6294;6477;6447
59;"l'Illa Perduda";13;131;71;5315;5214;5350;5158;5130;4985;4902;4848;4792;4821;4808;4801;4742;4702
60;"Ciutat Jardí";13;132;71;7944;7752;8353;8065;7880;7703;7468;7317;7339;7297;7259;7202;7145;7108
61;"l'Amistat";13;133;71;4028;3958;4253;4091;4010;3847;3794;3765;3787;3779;3762;3692;3735;3701
62;"la Bega Baixa";13;134;71;3738;3684;3924;3803;3756;3664;3583;3530;3510;3535;3536;3514;3539;3514
63;"la Carrasca";13;135;71;2356;2296;2366;2268;2261;2204;2169;2148;2152;2368;2197;2162;2184;2155
64;"Benimaclet";14;141;71;13665;13440;14010;13564;13396;13124;12909;12929;13001;12941;13047;12837;13256;12967
65;"Camí de Vera";14;142;71;3404;3385;3205;3084;3063;2976;2948;2970;3048;3165;3156;3216;3211;3187
66;"Orriols";15;151;71;8605;8419;8881;8660;8440;8162;7892;7993;8187;7976;8117;8133;8219;8343
67;"Torrefiel";15;152;71;14712;14392;14949;14529;14270;13961;13642;13612;13823;13787;13901;14028;14167;14141
68;"Sant Llorenç";15;153;71;5131;5163;4224;4240;4464;4582;4729;4693;4698;5216;5367;5510;5551;5564
69;"Benicalap";16;161;71;21822;21506;20541;20112;20218;19937;19711;20205;20654;21323;21728;22117;22464;22739
70;"Ciutat Fallera";16;162;71;3656;3501;3609;3479;3442;3334;3282;3258;3233;3289;3349;3390;3387;3432
71;"Benifaraig";17;171;71;762;768;742;740;761;765;757;785;810;818;835;838;846;852
72;"Poble Nou";17;172;71;864;845;834;813;799;800;806;787;803;795;830;844;810;817
73;"Carpesa";17;173;71;1098;1095;1025;1008;1013;1023;998;1003;1005;1014;1028;1020;1037;1039
74;"Cases de Bàrcena";17;174;71;415;347;249;236;224;220;209;211;202;200;205;257;266;220
