"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;83;28,34;28,6;28,64;28,63;28,79
2;"la Xerea";1;12;83;20,2;19,86;19,45;19,43;19,54
3;"el Carme";1;13;83;39,19;39,13;39,01;39;39,18
4;"el Pilar";1;14;83;31,8;31,53;31,92;31,96;32,03
5;"el Mercat";1;15;83;34,78;35,68;36,07;36,16;36,21
6;"Sant Francesc";1;16;83;16,19;16,24;16,16;16,27;16,27
7;"Russafa";2;21;83;25,01;24,94;25,03;25,07;24,95
8;"el Pla del Remei";2;22;83;6,7;6,68;6,72;6,72;6,75
9;"Gran Via";2;23;83;7,4;7,4;7,39;7,36;7,38
10;"el Botànic";3;31;83;32,3;32,29;32,34;32,32;32,5
11;"la Roqueta";3;32;83;24,9;24,92;24,92;24,92;24,74
12;"la Petxina";3;33;83;16,8;16,91;16,93;16,95;16,79
13;"Arrancapins";3;34;83;14,69;14,7;14,77;14,75;14,72
14;"Campanar";4;41;83;10,03;10,04;10,02;10,06;10,05
15;"les Tendetes";4;42;83;37,83;37,83;37,85;37,85;37,88
16;"el Calvari";4;43;83;52,79;52,81;52,86;52,88;52,86
17;"Sant Pau";4;44;83;6,74;6,74;6,72;6,7;6,47
18;"Marxalenes";5;51;83;32,3;32,3;32,32;32,2;32,21
19;"Morvedre";5;52;83;22,17;22,11;22,08;22,12;22,1
20;"Trinitat";5;53;83;32,47;32,47;32,47;32,37;32,38
21;"Tormos";5;54;83;30,9;30,9;30,91;31,22;31,22
22;"Sant Antoni";5;55;83;14,86;14,83;14,83;14,83;14,75
23;"Exposició";6;61;83;12,06;12,06;12,18;11,91;11,91
24;"Mestalla";6;62;83;18,48;18,47;18,54;18,55;18,65
25;"Jaume Roig";6;63;83;5,54;5,54;5,54;5,54;5,58
26;"Ciutat Universitària";6;64;83;6,22;5,8;5,8;5,8;6,2
27;"Nou Moles";7;71;83;24,78;24,78;24,7;24,65;24,52
28;"Soternes";7;72;83;25,75;25,75;25,75;25,75;25,76
29;"Tres Forques";7;73;83;46,8;46,8;46,77;46,77;46,77
30;"la Fontsanta";7;74;83;58,94;58,94;58,94;58,94;58,94
31;"la Llum";7;75;83;11,95;11,95;11,95;11,95;11,95
32;"Patraix";8;81;83;19,1;19,1;19,1;19,07;19,04
33;"Sant Isidre";8;82;83;5,58;5,58;5,58;5,4;5,31
34;"Vara de Quart";8;83;83;6,13;6,13;6,13;6,13;6,14
35;"Safranar";8;84;83;5,78;5,9;5,85;5,69;5,59
36;"Favara";8;85;83;20,87;20,87;20,87;20,84;20,91
37;"la Raiosa";9;91;83;22,24;22,32;22,24;22,28;22,1
38;"l'Hort de Senabre";9;92;83;16,11;16,12;16,13;16,13;16,12
39;"la Creu Coberta";9;93;83;26,06;26,06;26,09;26,05;26,05
41;"Camí Real";9;95;83;15,57;15,57;15,57;15,57;15,57
42;"Mont-Olivet";10;101;83;22,31;22,33;22,34;22,33;22,3
43;"en Corts";10;102;83;28,65;28,64;28,54;28,49;28,42
44;"Malilla";10;103;83;9;9,02;9,01;8,84;8,56
45;"Fonteta de Sant Lluís";10;104;83;18,71;18,71;18,71;18,75;18,13
46;"na Rovella";10;105;83;9,37;9,37;9,37;9,37;9,37
47;"la Punta";10;106;83;19,19;19,19;18,22;18,2;17,34
48;"Ciutat de les Arts i les Ciències";10;107;83;15,64;15,51;15,4;15,41;14,73
49;"el Grau";11;111;83;23,99;24,13;24,15;23,54;23,41
50;"el Cabanyal-el Canyamelar";11;112;83;43,05;43,05;43,05;42,98;43,14
51;"la Malva-rosa";11;113;83;35,97;35,96;35,97;35,97;35,68
52;"Beteró";11;114;83;20,65;20,6;20,54;20,54;20,54
53;"Natzaret";11;115;83;36,46;36,5;36,46;36,46;36,5
54;"Aiora";12;121;83;28,05;28,06;28,08;28,01;28
55;"Albors";12;122;83;21,33;21,37;21,27;21,27;21,32
56;"la Creu del Grau";12;123;83;32,64;32,61;32,6;32,56;32,67
57;"Camí Fondo";12;124;83;31,12;31,12;31,15;30,91;30,94
58;"Penya-roja";12;125;83;6,02;6,02;5,98;5,85;5,82
59;"l'Illa Perduda";13;131;83;12,04;12,04;12,04;12,04;12,04
60;"Ciutat Jardí";13;132;83;9,13;9,13;9,13;9,13;9,13
61;"l'Amistat";13;133;83;30,35;30,34;30,33;30,36;30,36
62;"la Bega Baixa";13;134;83;6,99;6,99;6,99;6,99;6,99
63;"la Carrasca";13;135;83;9,92;9,92;9,92;9,92;9,92
64;"Benimaclet";14;141;83;24,67;24,66;24,66;24,61;24,64
65;"Camí de Vera";14;142;83;2,09;2,09;2,09;2,13;2,13
66;"Orriols";15;151;83;51,61;51,62;51,62;51,62;51,65
67;"Torrefiel";15;152;83;26,61;26,61;26,65;26,65;26,66
68;"Sant Llorenç";15;153;83;9,1;9,08;9,08;9,08;8,84
69;"Benicalap";16;161;83;23,18;23,24;23,18;23,07;22,72
70;"Ciutat Fallera";16;162;83;51,24;51,25;51,27;51,29;51,33
71;"Benifaraig";17;171;83;4,14;3,81;3,8;3,97;3,97
72;"Poble Nou";17;172;83;34,16;33,88;34,02;34,09;34,09
73;"Carpesa";17;173;83;7,9;8,59;8,64;8,59;8,58
74;"Cases de Bàrcena";17;174;83;26,47;26,69;26,81;26,58;26,58
75;"Mauella";17;175;83;5,26;4,17;4,11;4,29;4,23
76;"Massarrojos";17;176;83;3,41;3,24;3,24;3,4;3,31
77;"Borbotó";17;177;83;7,18;7;7;7,18;7,18
78;"Benimàmet";18;181;83;24,34;24,32;24,31;24,33;24,31
79;"Beniferri";18;182;83;1,97;1,97;1,97;1,97;1,97
80;"el Forn d'Alcedo";19;191;83;4,91;4,91;4,92;4,92;4,92
81;"el Castellar-l'Oliverar";19;192;83;10,16;10,19;10,21;10,23;10,23
82;"Pinedo";19;193;83;13,4;13,49;13,48;13,62;13,62
83;"el Saler";19;194;83;14,18;14,18;14,19;14,19;14,19
84;"el Palmar";19;195;83;13,8;13,73;13,25;13,19;13,16
85;"el Perellonet";19;196;83;23,31;23,42;23,8;23,67;23,67
86;"la Torre";19;197;83;30,74;30,72;30,71;30,71;30,71
87;"Faitanar";19;198;83;11,23;11,25;11,25;11;11
