"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;50;19,04;18,69;18,28;19,48;19,18;19,39;19,6;20,3;19,54;18,26;17,81;18,34;16,98
2;"la Xerea";1;12;50;19,2;19,09;18,97;19,19;19,36;19,13;19,26;19,26;20,05;20,83;19,63;19,39;18,97
3;"el Carme";1;13;50;16,47;16,86;16,93;17,19;17,52;17,73;17,26;17,63;16,83;17,56;17,78;17,44;17,32
4;"el Pilar";1;14;50;17,28;16,68;15,56;16;17,15;18,06;17,61;17,82;18,96;19,3;19,47;18,87;18,34
5;"el Mercat";1;15;50;15,35;15,24;14,77;14,83;15,28;15,1;16,73;17,78;17,95;17,67;17,76;17,19;16,36
6;"Sant Francesc";1;16;50;16,67;17,17;17,88;17,9;18,24;17,99;17,89;18,18;18,89;19,47;19,44;19,11;18,17
7;"Russafa";2;21;50;21,53;21,26;21,42;21,6;21,38;21,37;21,31;21,65;21,53;21,8;21,59;21,2;20,72
8;"el Pla del Remei";2;22;50;22,12;22,12;23,57;24,03;23,68;23,83;24,21;24,39;23,96;24,21;24,97;24,31;23,46
9;"Gran Via";2;23;50;24,69;25,28;25,2;24,76;24,4;24,22;24,24;24,35;25,2;25,1;24,92;24,57;24,27
10;"el Botànic";3;31;50;19,79;19,34;19,85;19,82;20,03;19,82;19,65;20,39;20,31;20,79;20,35;19,54;19,05
11;"la Roqueta";3;32;50;19,15;18,9;20,15;19,75;20,16;19,33;19,19;19,08;18,61;17,99;17,8;17,7;17,56
12;"la Petxina";3;33;50;24,71;24,79;24,73;25,15;24,65;24,3;24;24,15;23,78;23,66;23,45;23,04;22,89
13;"Arrancapins";3;34;50;23,02;22,95;23,06;23,2;22,93;22,18;22,01;22,37;22,73;22,49;22,19;21,94;21,32
14;"Campanar";4;41;50;24,38;23,45;23,53;23;22,62;22,55;22,04;22,1;22,04;22,26;22,14;22,04;21,96
15;"les Tendetes";4;42;50;22,27;21,01;20,19;19,92;19,8;19,34;19,18;19,82;19,11;19,72;19,81;19,28;18,81
16;"el Calvari";4;43;50;20,6;20,52;20,47;20,35;19,94;19,5;19,86;19,06;19,23;19,58;20,09;20,04;20,38
17;"Sant Pau";4;44;50;35,24;35,66;36,42;36,96;38,33;38,88;39,17;39,57;39,92;39,58;39,8;38,69;38,11
18;"Marxalenes";5;51;50;23,43;23,49;23,74;23,17;23;22,48;22,13;21,66;21,47;21,04;21,75;21,83;21,71
19;"Morvedre";5;52;50;24,84;24,4;24,16;24,4;23,4;23,12;23,41;23,52;23,06;23,26;22,86;22,4;21,53
20;"Trinitat";5;53;50;20,15;20,2;20,2;19,46;19,32;19,57;19,3;19,8;19,95;19,98;20,52;19,78;20,42
21;"Tormos";5;54;50;29;28,79;28,51;28,34;28,14;27,64;26,5;26,96;26,45;26,04;25,42;24,36;24,46
22;"Sant Antoni";5;55;50;27,39;27,1;27,05;26,84;26,24;25,33;24,91;24,53;24,9;24,37;24,16;23,24;22,73
23;"Exposició";6;61;50;26,94;26,85;26,29;26,76;25,92;25,01;24,18;23,8;24,4;24,09;23,87;23,67;24,07
24;"Mestalla";6;62;50;26,49;26,44;26,67;26,85;26,49;25,13;24,72;24,69;24,55;25,06;24,55;24,05;23,75
25;"Jaume Roig";6;63;50;26,38;27,08;26,98;27,47;27,67;26,9;26,73;27,16;27;26,95;26,49;26,77;26,43
26;"Ciutat Universitària";6;64;50;27,06;27,26;27,88;26,94;26,63;24,47;23,01;24,25;24,01;26,18;25,72;26,26;24,44
27;"Nou Moles";7;71;50;24,16;24,21;24,11;23,77;23,29;23,24;23,26;22,8;22,56;22,36;22,35;21,83;21,53
28;"Soternes";7;72;50;25,95;25,53;25,19;24,56;25,45;24,72;25,2;25,58;24,78;24,25;23,52;22,82;22,37
29;"Tres Forques";7;73;50;22,02;22,52;22,06;22,11;22,95;22,79;22,69;23,78;22,91;23,32;23,57;23,77;23,93
30;"la Fontsanta";7;74;50;29,51;29,67;29,49;29,35;28,37;28,66;28,55;29,63;29,5;28,75;28,17;27,97;28,2
31;"la Llum";7;75;50;30,61;30,12;29,01;29,42;28,62;27,51;26,86;26,59;24,92;24,21;23,7;22,94;23,04
32;"Patraix";8;81;50;25,54;25,74;25,63;25,23;25,16;25,27;24,88;24,74;24,32;24,1;23,65;22,94;22,14
33;"Sant Isidre";8;82;50;36,83;36,45;35,98;35,24;34,52;34,46;33,11;32,42;31,64;30,61;29,39;28,37;27,3
34;"Vara de Quart";8;83;50;24,93;24,01;23,96;23,51;23,25;23,16;22,96;22,53;21,75;21,42;20,35;19,6;19,31
35;"Safranar";8;84;50;33,26;33,56;33,14;32,17;31,73;32,09;32,02;32,17;31,23;30,29;30,07;29,92;29,18
36;"Favara";8;85;50;28,43;27,59;28,12;28,34;27,55;27,39;27,37;27,93;26,71;26,19;26,28;25,55;23,23
37;"la Raiosa";9;91;50;23,84;23,77;23,79;23,93;23,75;24,04;23,98;23,87;23,56;23,01;22,89;22,52;21,71
38;"l'Hort de Senabre";9;92;50;29,45;28,41;27,96;27,46;27,05;26,95;26,85;26,16;25,42;24,94;24,59;23,91;22,9
39;"la Creu Coberta";9;93;50;27,9;27,56;26,29;25,1;24,8;24,49;23,15;23,45;22,89;23,88;23,44;22,15;21,54
41;"Camí Real";9;95;50;31,84;31,08;31,96;31,9;32,82;33,1;33,42;33,83;33,61;33,69;33,23;33,29;32,56
42;"Mont-Olivet";10;101;50;21,92;22,38;22,48;22,8;22,91;23,05;23,65;23,64;23,48;22,89;22,51;21,82;21,2
43;"en Corts";10;102;50;26,29;25,89;25,95;26,4;26,03;26,11;25,81;24,97;24,47;24,56;24,08;23,45;23,1
44;"Malilla";10;103;50;31,14;31,24;30,25;29,97;29,77;29,1;29,13;29,21;28,4;27,99;27,54;27,02;26,33
45;"Fonteta de Sant Lluís";10;104;50;29,67;28,75;29,01;28,35;28,12;27,41;27,94;27,15;25,82;25,83;25,39;24,82;25,2
46;"na Rovella";10;105;50;27,32;26,67;26,2;26,39;27,2;26,79;26,36;25,63;24,92;25,13;24,81;23,93;24,2
47;"la Punta";10;106;50;25,68;23,56;23,11;21,83;22,77;23,46;24,39;25,68;26,35;25,53;26,51;27,35;27,62
48;"Ciutat de les Arts i les Ciències";10;107;50;34,83;34,78;34,91;35,83;36,26;35,62;35,7;35,43;34,56;34,03;33,91;32,37;31,77
49;"el Grau";11;111;50;28,35;28,05;28,16;28,86;29,5;29,67;29,36;28,75;28,07;28,17;27,04;26,36;25,48
50;"el Cabanyal-el Canyamelar";11;112;50;23,66;23,54;23,99;24,14;24;23,96;23,95;23,88;23,6;22,96;22,35;21,96;21,11
51;"la Malva-rosa";11;113;50;27,04;26,46;25,87;25,09;24,87;24,4;23,85;23,69;23,68;22,9;22,62;21,93;21,77
52;"Beteró";11;114;50;31,45;31,13;30,34;30,12;29,37;29,83;28,07;27,34;26,11;25,37;24,73;23,49;22,37
53;"Natzaret";11;115;50;28,65;28,63;28,19;28,15;29,04;27,93;27,42;27,99;27,6;27,04;27,3;26,77;27,55
54;"Aiora";12;121;50;28,52;28,97;28,87;28,96;28,53;28,24;27,69;27,25;26,73;25,96;25,05;24,21;23,85
55;"Albors";12;122;50;23,87;23,83;23,61;23,56;23,43;23,53;24,19;23,99;23,78;23,4;22,57;21,83;21,55
56;"la Creu del Grau";12;123;50;27,88;27,83;28,01;28,17;28,06;27,67;27,43;27,66;27,29;26,72;26,02;25,45;24,6
57;"Camí Fondo";12;124;50;26,8;26,52;26,81;26,08;25,72;25,53;25,3;25,57;24,46;24,34;23,39;23,28;23,28
58;"Penya-roja";12;125;50;39,85;39,96;40,77;41,19;41,17;41,94;41,63;41,9;41,59;41,41;40,92;39,67;37,79
59;"l'Illa Perduda";13;131;50;26,5;25,36;24,89;23,89;23,56;23,39;23,34;23,33;23,74;23,32;22,37;21,45;19,81
60;"Ciutat Jardí";13;132;50;20,48;19,72;19,1;18,83;18,19;17,56;17,28;17,34;17,35;17,22;17,03;16,69;16,21
61;"l'Amistat";13;133;50;21,75;21,94;21,6;20,52;19,7;20,02;19,72;20,62;19,46;19,82;19,66;18,84;18,21
62;"la Bega Baixa";13;134;50;25,38;24,39;23,32;23,48;23,38;22,97;22,71;23,22;22,35;21,53;20,55;19,86;19,56
63;"la Carrasca";13;135;50;27,42;26,39;26;26,09;26;25,71;25,07;22,83;21,52;20,8;19,82;18,98;17,2
64;"Benimaclet";14;141;50;23,6;22,87;22,34;21,51;21,53;21,38;21,32;21,5;21;20,42;20,4;19,88;19,57
65;"Camí de Vera";14;142;50;29,86;29,19;27,51;28,11;27,26;26,44;24,49;24;22,81;22,24;21,93;20,98;19,81
66;"Orriols";15;151;50;27,28;27,23;26,97;26,29;26,02;25,89;26,09;26,23;25,7;26,12;25,99;25,5;24,98
67;"Torrefiel";15;152;50;29,26;28,44;28,33;28,48;28,38;28,26;28,17;27,97;27,42;27,02;26,81;26,43;25,43
68;"Sant Llorenç";15;153;50;41,02;41,21;41,1;41,49;43,1;43,63;43,79;43,64;42,72;41,19;40,48;39,52;37,89
69;"Benicalap";16;161;50;29,97;29,55;29,72;30,11;29,83;29,83;29,87;30,08;30,29;30,07;29,65;28,88;28,2
70;"Ciutat Fallera";16;162;50;32,12;31,76;31,83;31,11;31,17;30,32;29,6;28,86;28,7;28,92;28,91;28,29;27
71;"Benifaraig";17;171;50;27,05;28,19;26,7;26,62;27,14;27,59;26,67;27,21;27,25;26,02;24,82;24,88;25,25
72;"Poble Nou";17;172;50;25,07;23,63;22,82;23,43;22,66;22,19;21,43;21,61;22,38;21,79;22,74;21,98;21,35
73;"Carpesa";17;173;50;27,87;27,01;26,4;26,16;25,37;24,89;25,96;25,11;25,05;23,64;24,26;23,84;23,12
74;"Cases de Bàrcena";17;174;50;19,88;19,76;16,77;18,29;19,5;21,29;17,11;18,47;17,2;17,61;18,9;19,88;20,83
