"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;53;1,59;1,88;1,42;1,19;1,13;1,14;1,63;1,41;1,74;1,61;1,52;1,5;1,61
2;"la Xerea";1;12;53;2,79;2,78;2,75;3,15;3,09;3,33;3,35;3,34;3,13;3,14;3,24;3,09;2,86
3;"el Carme";1;13;53;1,25;1,26;1,19;1,27;1,47;1,27;1,34;1,28;1,31;1,48;1,31;1,28;1,29
4;"el Pilar";1;14;53;2,1;1,79;1,24;1,16;0,86;0,94;1,2;1,16;1,76;1,27;1,44;1,23;1,38
5;"el Mercat";1;15;53;1,73;1,59;1,66;1,39;1,21;1,54;1,53;1,49;1,7;1,48;1,51;1,47;1,45
6;"Sant Francesc";1;16;53;2,52;2,51;2,27;2,07;2,35;2,31;2,27;2,49;2,56;2,31;2,19;2,22;1,99
7;"Russafa";2;21;53;1,77;1,86;1,92;1,98;1,84;1,79;1,81;1,83;1,77;1,78;1,69;1,75;1,66
8;"el Pla del Remei";2;22;53;3,83;3,9;4,22;4,09;4,1;4,06;4,12;4,11;3,85;3,97;3,92;3,93;3,7
9;"Gran Via";2;23;53;3,48;3,87;3,97;4;3,95;3,65;3,65;3,61;3,64;3,57;3,51;3,36;3,34
10;"el Botànic";3;31;53;2,01;1,94;1,9;1,88;1,75;2;2,2;2,18;2,03;1,82;2,11;1,72;1,74
11;"la Roqueta";3;32;53;1,83;2,11;1,64;1,3;1,15;1,13;1,36;1,4;1,63;1,62;1,49;1,33;1,6
12;"la Petxina";3;33;53;2,41;2,48;2,37;2,11;2,08;2,2;2,36;2,42;2,29;2,13;2,16;1,96;1,89
13;"Arrancapins";3;34;53;1,86;1,76;1,84;1,95;1,86;1,89;1,83;1,91;1,95;1,95;1,91;1,85;1,81
14;"Campanar";4;41;53;1,74;1,82;1,97;1,97;1,79;1,76;1,63;1,65;1,71;1,62;1,74;1,79;1,76
15;"les Tendetes";4;42;53;1,66;1,25;1,29;1,27;1,05;1,06;0,92;1,19;1,35;1,44;1,43;1,41;1,85
16;"el Calvari";4;43;53;1,33;1,17;1,68;1,64;1,49;1,54;1,68;1,51;1,35;1,48;1,14;1,18;1,4
17;"Sant Pau";4;44;53;3,01;3,4;3,74;3,53;4,12;4,09;4,03;4,2;4,05;4,18;3,94;3,66;3,5
18;"Marxalenes";5;51;53;1,49;1,23;1,41;1,33;1,19;1,33;1,37;1,67;1,53;1,79;1,94;1,88;1,98
19;"Morvedre";5;52;53;2,01;2,14;1,75;1,52;1,35;1,33;1,49;1,59;1,52;1,46;1,35;1,43;1,4
20;"Trinitat";5;53;53;1,61;1,55;1,59;1,48;1,64;1,61;1,57;1,59;1,71;1,73;1,6;1,61;1,67
21;"Tormos";5;54;53;2,21;2,19;2,35;2,27;2,37;2,62;2,39;2,47;2,37;2,09;2,36;2,15;1,95
22;"Sant Antoni";5;55;53;2,37;2,46;2,24;2,22;2,22;2,01;2,13;2,15;2,13;1,93;2,24;2,17;2,14
23;"Exposició";6;61;53;4,78;4,89;5,06;5,12;4,91;4,92;4,82;4,67;4,79;4,86;4,83;4,64;4,93
