"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;51;10,62;10,74;10,41;10,6;10,35;10,15;10,47;11;10,27;9,09;8,83;9,49;8,46
2;"la Xerea";1;12;51;10,09;9,43;9,52;9,38;9,1;8,35;8,55;9,48;9,93;10,83;9,5;9,55;9,88
3;"el Carme";1;13;51;10,12;10,15;9,96;10,72;10,7;10,75;10,39;10,71;9,86;10,33;10,19;10,03;10,05
4;"el Pilar";1;14;51;9,85;10,18;9,61;9,96;10,78;10,87;9,66;9,91;11,01;11,51;11,71;11,51;10,75
5;"el Mercat";1;15;51;8,66;8,94;8,53;8,23;8,54;7,44;8,68;9,83;10,42;9,75;9,41;9,09;9,11
6;"Sant Francesc";1;16;51;7,81;8,2;8,48;8,63;8,84;8,36;8;8,28;8,56;9,12;9,6;9,69;9,56
7;"Russafa";2;21;51;12,05;11,94;12,01;11,93;11,71;11,58;11,68;11,93;11,86;12,08;12,08;11,74;11,4
8;"el Pla del Remei";2;22;51;9,43;9,28;10,14;9,78;9,64;10,04;10,38;10,12;10,05;10,8;11,31;10,97;10,23
9;"Gran Via";2;23;51;11,27;11,68;11,38;11,28;10,84;10,75;10,76;10,63;11,09;11,02;11,35;11,57;11,67
10;"el Botànic";3;31;51;11,1;10,71;11,01;10,95;11,1;10,39;10,2;10,89;10,68;10,8;10,68;10,53;10,25
11;"la Roqueta";3;32;51;11,07;10,48;11,56;11,13;11,48;10,79;10,11;10,31;10,07;9,06;9,39;9,52;9,72
12;"la Petxina";3;33;51;12,95;13,06;13;13,59;13,06;12,91;12,48;12,88;12,49;12,25;12,48;12,19;12,07
13;"Arrancapins";3;34;51;12,32;12,22;12,51;12,54;12,38;11,83;11,84;11,95;12,27;12,14;12,01;11,87;11,26
14;"Campanar";4;41;51;14,87;13,93;13,71;13,47;13,34;13,03;12,34;11,99;11,83;12,02;11,9;12,05;12,26
15;"les Tendetes";4;42;51;14,11;13,06;12,57;12,86;12,82;12,36;12,36;12,35;11,52;11,89;12,35;11,99;11,19
16;"el Calvari";4;43;51;13,11;13,1;12,6;12,59;11,96;12,01;12,59;12,42;12,57;12,66;13,05;12,96;12,83
17;"Sant Pau";4;44;51;17,89;17,95;18,1;17,44;18,04;18,36;18,13;17,98;17,94;17,36;17,65;17,32;17,44
18;"Marxalenes";5;51;51;14,34;14,51;14,63;14,34;14,3;13,73;13,73;13,35;13,26;12,67;13,14;12,84;13,09
19;"Morvedre";5;52;51;14,45;13,69;14,27;14,69;13,85;13,51;13,53;13,68;13,21;13,41;13,96;13,07;12,9
20;"Trinitat";5;53;51;12,42;12,18;12,38;11,51;11,23;11,37;11,01;11,57;11,31;11,41;12,06;11,21;11,93
21;"Tormos";5;54;51;16,83;16,1;15,72;15,66;15,32;14,88;14,65;15,22;15,27;15,28;14,8;14,11;14,82
22;"Sant Antoni";5;55;51;14,98;14,69;15,04;14,68;14,46;13,64;13,47;13,44;13,15;13,01;13,11;12,44;12,82
23;"Exposició";6;61;51;12,83;12,74;12,39;12,28;11,53;10,96;10,51;10,3;10,83;10,6;10,23;9,78;9,74
24;"Mestalla";6;62;51;13,5;13,33;13,45;13,51;13,1;12,61;12,55;12,46;12,19;12,7;12,19;11,69;11,5
25;"Jaume Roig";6;63;51;9,99;10,68;10,09;10,26;11,44;10,96;11,16;11,24;10,89;10,62;10,24;10,64;10,33
26;"Ciutat Universitària";6;64;51;12,33;11,56;12,12;12,43;11,32;10,1;9,78;11,13;10,67;11,88;11,01;11,51;10,46
