"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2009";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;76;33,79;36,64;40,1;44,72;45,78;48,96;53,58;54,39;56,88;60,3;60,3;57,5;57,7;56,33
2;"la Xerea";1;12;76;31,63;32,9;35,13;37,96;41,08;43,06;46,56;51,85;56,52;58,11;56,17;56,86;56,57;54,41
3;"el Carme";1;13;76;34,42;35,4;38,47;42,07;44,43;46,24;50,28;54,18;56,98;60,77;60,44;59,9;60,13;59,85
4;"el Pilar";1;14;76;34,57;36,09;40,14;42,9;45,77;48,74;52,56;55,02;57,47;59,6;59,91;59,39;59,24;58,01
5;"el Mercat";1;15;76;35,1;37,83;38,82;41,03;44,71;45,65;47,82;51,69;55,07;57,91;56,81;56,55;56,43;56,22
6;"Sant Francesc";1;16;76;33,35;34,21;37,2;40,48;42,14;43,59;47,81;50,98;54,84;56,85;56,41;55,97;55,62;53,68
7;"Russafa";2;21;76;34,49;35,84;39,33;42,74;45,39;47,4;52,52;55,99;58,62;60,13;59,75;59,89;60,35;59,44
8;"el Pla del Remei";2;22;76;31,5;33,61;35,49;38,74;41,1;43,67;48,28;51,07;53,92;56,29;56,06;56,11;56,46;54,62
9;"Gran Via";2;23;76;31,78;33,37;36,5;39,47;41,61;43,51;48,22;51,29;54,51;56,91;55,89;55,54;56,33;54,95
10;"el Botànic";3;31;76;34,75;35,3;38,43;42,1;44,56;47,45;51,85;55,53;57,34;60,3;60,65;60,31;60,71;59,15
11;"la Roqueta";3;32;76;34,15;36,19;37,86;41,34;42,49;45,5;49,97;53,41;57,29;59,02;58,87;59,85;59,96;58,97
12;"la Petxina";3;33;76;31,48;33,48;37,04;39,95;42,69;44,62;50,14;53,93;56,95;59,49;59,73;59,67;58,7;58,1
13;"Arrancapins";3;34;76;31,4;33,49;36,13;39,24;41,33;44,13;48,59;52,43;55,43;57,69;57,98;57,76;58,48;57,5
14;"Campanar";4;41;76;28,62;29,99;31,87;35,16;37,97;40,57;46,64;50,86;55,29;57,87;57,9;58,4;58,81;58,46
15;"les Tendetes";4;42;76;31,59;34,17;36,5;38,83;42,21;44,66;49,52;53,92;57,18;60,89;61,01;61,15;61,45;60,46
16;"el Calvari";4;43;76;38,26;40,38;42,88;46,48;50,13;54,53;58,76;62,24;66,72;69,68;69,43;69,22;68,38;67,25
17;"Sant Pau";4;44;76;22,13;23,88;26,39;28,49;30,69;32,19;36,55;39,6;43,44;47,01;46,97;46,97;48,02;48,15
18;"Marxalenes";5;51;76;32,88;35,63;38,96;42,68;45,95;47,82;53,13;56,97;60,25;63,53;63,06;63,14;63,13;62,08
19;"Morvedre";5;52;76;32,91;34,91;37,49;40,94;44,63;47,28;52,01;55,12;57,98;60,24;60,31;60,17;60,75;59,55
20;"Trinitat";5;53;76;33,44;35,31;37,83;41,3;43,53;45,29;50,68;55,08;58,78;61,11;61,54;61,35;61,63;60,13
