"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2009";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;78;9,92;10,21;9,54;9,95;9,97;10,04;10,07;9,29;8,84;8,9;7,42;7,4;7,55;7,29
2;"la Xerea";1;12;78;14,86;14,69;13,74;13,45;13,48;13,27;12,83;12,75;12,35;12,8;12,15;12,53;11,96;11,79
3;"el Carme";1;13;78;4,57;4,23;4,86;4,98;5,16;5,48;5,07;4,85;4,61;4,9;4,84;4,89;4,71;4,75
4;"el Pilar";1;14;78;6,94;7,08;7,39;7,28;7,5;7,35;7,43;7,09;6,81;6,47;6,54;6,86;6,87;6,75
5;"el Mercat";1;15;78;7,81;7,92;7,94;8,34;8,47;8,45;8,89;8,42;7,76;7,67;7,74;7,63;7,45;7,13
6;"Sant Francesc";1;16;78;16,71;16,92;17,29;16,92;17,03;17,75;16,8;16,2;15,83;16,12;15,27;14,22;13,79;13,44
7;"Russafa";2;21;78;7,42;7,77;7,55;7,57;7,68;7,65;7,36;7,33;6,99;6,93;6,86;6,52;6,39;6,19
8;"el Pla del Remei";2;22;78;19,83;19,81;19,13;19,52;19,46;19,33;18,78;18,28;17,81;17,6;17,03;16,98;16,68;16,48
9;"Gran Via";2;23;78;12,37;12,74;12,93;13,05;12,69;12,3;12,58;12,41;12,38;11,79;11,12;10,8;10,2;10,05
10;"el Botànic";3;31;78;6,44;6,64;7,32;7,28;6,94;6,69;6,87;6,26;6,17;5,86;5,99;5,87;5,65;5,68
11;"la Roqueta";3;32;78;8,19;8,68;9,39;9,24;9,21;9,28;8,79;8,65;8,52;8,18;7,45;7,55;7,33;6,92
12;"la Petxina";3;33;78;7,49;7,73;7,64;7,62;7,51;7,53;7,5;7,52;7,45;7,53;6,76;6,28;6,01;5,92
13;"Arrancapins";3;34;78;8,59;8,81;8,82;8,54;8,64;8,45;8,26;8,1;7,6;7,27;6,93;6,68;6,71;6,26
14;"Campanar";4;41;78;4,91;5,05;5,59;5,54;5,4;5,36;5,2;5,16;5,23;4,96;4,62;4,47;4,45;4,23
15;"les Tendetes";4;42;78;5,05;5,04;5,29;5,09;5,03;5,05;4,87;4,93;4,86;5,25;4,92;4,47;4,48;4,36
16;"el Calvari";4;43;78;3,42;3,7;3,71;3,7;3,78;3,44;3,36;3,58;3,79;3,68;3,32;3,83;3,65;4,09
17;"Sant Pau";4;44;78;6,9;7,35;6,64;6,58;6,76;6,59;6,34;5,98;5,71;5,41;5,05;4,98;4,72;4,76
18;"Marxalenes";5;51;78;3,25;3,22;3,42;3,56;3,64;3,53;3,7;3,31;3,2;3,37;3,36;3,29;3,25;3,04
19;"Morvedre";5;52;78;3,69;3,82;4,36;4,12;4,45;4,32;4,42;4,49;4,54;4,19;3,93;3,81;3,87;3,93
20;"Trinitat";5;53;78;5,33;5,7;5,67;5,65;5,51;5,53;5,63;5,51;5,42;5,5;5,19;4,97;4,68;4,63
21;"Tormos";5;54;78;3,58;3,51;3,94;4;3,72;4,05;4,4;4,3;4,2;4,2;3,74;3,61;3,74;3,93
22;"Sant Antoni";5;55;78;4,35;4,36;4,44;4,49;4,65;4,61;4,54;4,54;4,3;4,18;4,26;4;3,79;3,82
23;"Exposició";6;61;78;15,24;15,39;15,14;14,58;14,67;14,68;14,48;14,43;14,11;13,58;13,6;13,33;12,83;12,38
