"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;8;83;73;71;83;74;77;79;74;60;57;56;54;49
2;"la Xerea";1;12;8;83;94;93;94;95;83;85;81;91;85;74;71;70
3;"el Carme";1;13;8;183;181;193;190;183;161;143;137;125;126;129;133;133
4;"el Pilar";1;14;8;106;112;108;106;121;139;141;137;144;131;117;108;101
5;"el Mercat";1;15;8;85;88;92;92;92;94;96;96;80;80;91;76;76
6;"Sant Francesc";1;16;8;125;113;121;120;116;118;126;113;127;117;116;113;122
7;"Russafa";2;21;8;770;753;709;683;622;606;575;592;560;582;571;548;501
8;"el Pla del Remei";2;22;8;178;193;194;189;189;158;162;158;173;159;172;173;162
9;"Gran Via";2;23;8;339;373;354;329;300;289;296;288;293;300;268;251;272
10;"el Botànic";3;31;8;186;175;185;171;168;155;146;162;139;150;139;122;132
11;"la Roqueta";3;32;8;134;128;120;104;95;86;99;112;111;100;83;91;89
12;"la Petxina";3;33;8;438;413;406;408;393;367;356;361;361;352;353;346;334
13;"Arrancapins";3;34;8;597;585;615;582;545;519;508;532;522;527;504;477;455
14;"Campanar";4;41;8;301;304;305;322;314;282;274;266;258;240;245;253;243
15;"les Tendetes";4;42;8;140;127;101;113;110;111;103;110;106;114;92;96;97
16;"el Calvari";4;43;8;143;150;132;114;109;108;112;108;94;108;99;98;98
17;"Sant Pau";4;44;8;690;711;694;680;676;632;637;611;589;523;508;440;454
18;"Marxalenes";5;51;8;279;264;287;259;221;203;196;192;200;205;213;233;233
19;"Morvedre";5;52;8;279;286;230;246;236;252;244;235;241;239;209;226;193
20;"Trinitat";5;53;8;206;220;196;192;176;182;183;198;192;191;183;174;172
21;"Tormos";5;54;8;281;263;257;255;237;220;174;198;205;200;189;162;162
22;"Sant Antoni";5;55;8;320;272;246;248;247;234;221;229;237;224;215;209;198
23;"Exposició";6;61;8;215;211;204;219;200;191;167;181;205;196;181;180;179
24;"Mestalla";6;62;8;522;490;485;455;430;348;358;384;410;409;390;370;354
25;"Jaume Roig";6;63;8;192;196;201;186;162;154;158;159;156;166;165;153;166
26;"Ciutat Universitària";6;64;8;90;93;98;83;75;62;56;59;61;68;76;81;74
27;"Nou Moles";7;71;8;695;675;594;596;557;565;547;513;529;526;542;546;508
28;"Soternes";7;72;8;178;150;145;141;132;127;115;122;100;105;96;89;80
29;"Tres Forques";7;73;8;270;262;210;186;185;199;204;224;195;204;217;206;213
30;"la Fontsanta";7;74;8;131;123;109;114;95;100;93;112;108;102;98;101;113
31;"la Llum";7;75;8;162;141;128;135;118;122;115;105;101;98;91;111;103
32;"Patraix";8;81;8;681;642;589;570;549;525;494;529;523;527;474;453;446
33;"Sant Isidre";8;82;8;336;332;290;276;239;256;253;229;211;207;194;186;198
34;"Vara de Quart";8;83;8;212;193;206;202;215;202;212;219;229;222;188;172;158
35;"Safranar";8;84;8;292;279;226;221;211;239;224;238;231;233;228;198;214
36;"Favara";8;85;8;108;115;106;105;92;84;81;88;87;75;76;77;60
37;"la Raiosa";9;91;8;479;446;420;407;391;362;350;352;340;315;314;303;283
38;"l'Hort de Senabre";9;92;8;476;458;452;413;377;371;398;385;353;318;306;311;285
39;"la Creu Coberta";9;93;8;160;147;139;121;128;131;120;130;126;148;127;115;102
41;"Camí Real";9;95;8;197;186;181;156;148;125;116;124;114;116;95;75;61
42;"Mont-Olivet";10;101;8;551;519;473;466;478;473;474;474;452;453;412;404;395
43;"en Corts";10;102;8;371;345;358;366;319;327;296;283;233;239;220;221;231
44;"Malilla";10;103;8;763;694;657;618;580;516;474;465;453;434;442;425;410
45;"Fonteta de Sant Lluís";10;104;8;98;86;82;62;61;63;66;60;64;67;58;58;56
46;"na Rovella";10;105;8;237;212;194;193;216;205;200;190;198;193;175;158;158
47;"la Punta";10;106;8;61;57;55;56;75;93;107;111;103;93;91;89;87
48;"Ciutat de les Arts i les Ciències";10;107;8;213;212;198;198;212;196;196;203;196;203;203;179;176
49;"el Grau";11;111;8;334;329;291;297;300;295;268;244;224;226;202;187;190
50;"el Cabanyal-el Canyamelar";11;112;8;647;627;620;610;597;579;551;524;485;436;419;416;391
51;"la Malva-rosa";11;113;8;423;425;385;337;301;290;271;278;276;261;225;223;232
52;"Beteró";11;114;8;248;243;213;197;182;190;178;184;161;175;163;149;123
53;"Natzaret";11;115;8;241;213;201;192;180;155;144;162;170;152;148;132;160
54;"Aiora";12;121;8;810;809;753;694;611;587;553;584;540;511;444;420;435
55;"Albors";12;122;8;182;201;184;201;177;180;202;189;186;175;173;177;171
56;"la Creu del Grau";12;123;8;470;444;442;433;409;391;365;369;341;318;298;273;285
57;"Camí Fondo";12;124;8;142;133;127;115;101;96;101;102;96;86;98;92;90
58;"Penya-roja";12;125;8;581;544;531;487;456;414;402;408;400;371;364;333;299
59;"l'Illa Perduda";13;131;8;240;225;230;236;210;193;179;180;194;177;169;129;121
60;"Ciutat Jardí";13;132;8;252;260;256;238;229;220;222;230;251;244;220;215;203
61;"l'Amistat";13;133;8;196;184;160;145;142;172;158;158;144;153;142;152;157
62;"la Bega Baixa";13;134;8;126;133;143;131;108;102;98;113;116;106;81;85;91
63;"la Carrasca";13;135;8;81;80;62;68;72;62;57;51;65;62;55;50;49
64;"Benimaclet";14;141;8;614;572;528;499;516;504;536;568;540;513;465;481;454
65;"Camí de Vera";14;142;8;98;112;106;118;106;126;113;104;98;114;121;123;93
66;"Orriols";15;151;8;540;518;503;483;422;401;422;430;431;439;457;441;412
67;"Torrefiel";15;152;8;868;795;756;742;738;727;730;692;648;638;605;590;564
68;"Sant Llorenç";15;153;8;564;522;466;449;452;443;404;366;313;284;281;233;233
69;"Benicalap";16;161;8;1251;1250;1272;1338;1274;1228;1232;1216;1181;1115;1065;1005;996
70;"Ciutat Fallera";16;162;8;186;201;195;170;140;139;134;150;151;145;128;121;126
71;"Benifaraig";17;171;8;30;32;26;23;19;19;22;29;30;24;20;16;17
72;"Poble Nou";17;172;8;27;28;22;17;16;14;17;16;17;16;18;22;20
73;"Carpesa";17;173;8;36;26;23;20;18;22;24;25;22;19;22;19;18
74;"Cases de Bàrcena";17;174;8;11;10;6;11;12;13;7;8;5;6;7;7;5
75;"Mauella";17;175;8;1;1;1;1;2;2;1;1;2;1;1;0;1
76;"Massarrojos";17;176;8;99;86;76;74;61;67;67;64;51;46;40;43;60
77;"Borbotó";17;177;8;20;18;14;14;17;14;20;17;18;18;22;19;17
78;"Benimàmet";18;181;8;481;480;456;404;359;340;334;330;315;324;337;320;311
79;"Beniferri";18;182;8;34;31;34;31;36;34;39;42;50;53;52;40;27
80;"el Forn d'Alcedo";19;191;8;46;41;30;22;22;16;14;16;26;24;31;30;33
81;"el Castellar-l'Oliverar";19;192;8;202;197;169;188;176;169;182;179;169;143;121;120;132
