"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;39;11,38;10,32;9,42;8,3;8,33;7,46;6,99;6,29;6,22
2;"la Xerea";1;12;39;12,56;11,57;10,82;10,14;10,05;9,61;8,42;8,13;7,2
3;"el Carme";1;13;39;16,82;16,02;15,21;14,51;13,42;12,54;12,12;11,3;10,86
4;"el Pilar";1;14;39;16,83;16,06;15,74;14,84;14,5;13,85;12,83;12,17;11,01
5;"el Mercat";1;15;39;12,06;11,15;10,73;9,54;8,81;8,21;7,62;7,02;6,49
6;"Sant Francesc";1;16;39;7,46;6,96;6,94;6,61;6,45;6,2;6,09;5,87;5,33
7;"Russafa";2;21;39;14,46;13,44;12,75;11,89;11,07;10,23;9,48;9;8,29
8;"el Pla del Remei";2;22;39;6,52;6,19;5,85;5,55;5,35;5,45;4,96;4,94;4,68
9;"Gran Via";2;23;39;7,55;7,2;6,79;5,95;5,58;5,49;5,01;5,01;4,82
10;"el Botànic";3;31;39;15,08;14,32;13,57;12,63;12,01;10,88;9,23;8,94;8,15
11;"la Roqueta";3;32;39;16,58;15,75;15,05;13,76;12,81;12,69;10,87;10,52;9,72
12;"la Petxina";3;33;39;12,5;11,61;11,05;10,6;10,2;9,76;8,82;8,34;7,7
13;"Arrancapins";3;34;39;11,95;11,5;11,19;10,38;9,95;9,64;8,48;8,02;7,23
14;"Campanar";4;41;39;16,52;15,7;15,28;14,76;14,07;13,59;12,68;12,08;11,47
15;"les Tendetes";4;42;39;23,56;22,26;21,45;19,91;18,85;18,07;17,69;16,68;15,13
16;"el Calvari";4;43;39;36,9;35,04;34,45;32,96;30,98;29;27,49;26,41;24,83
17;"Sant Pau";4;44;39;10,86;10,54;10,35;9,84;9,57;9,7;8,88;8,51;7,95
18;"Marxalenes";5;51;39;28,08;27,28;26,22;25,3;23,95;22,63;21,86;20,64;19,47
19;"Morvedre";5;52;39;22,19;21,4;20,25;19,13;17,84;17,1;16,34;15,08;14,34
20;"Trinitat";5;53;39;20,29;18,95;18,4;16,95;15,85;15,01;14,15;13,41;12,49
21;"Tormos";5;54;39;27,99;27,12;26,29;24,91;23,59;22,32;21,28;20,63;19,65
22;"Sant Antoni";5;55;39;19,7;19,14;18,57;17,81;16,79;15,91;15,14;14,54;13,8
23;"Exposició";6;61;39;7,45;6,9;6,56;6,02;5,6;5,61;5,21;4,76;4,37
24;"Mestalla";6;62;39;12,91;12,43;11,93;11,27;10,67;9,99;9,3;8,86;8,01
25;"Jaume Roig";6;63;39;6,69;6,5;6,15;5,83;5,77;5,63;5,09;5,03;4,81
26;"Ciutat Universitària";6;64;39;5,6;5,57;5,65;5,41;5,16;4,68;5,05;4,39;4,33
27;"Nou Moles";7;71;39;26,3;25,32;24,5;23,36;22,17;21,12;19,64;18,62;17,55
28;"Soternes";7;72;39;27,25;26,13;25,02;23,63;22,63;21,68;19,93;18,99;18,05
29;"Tres Forques";7;73;39;38,99;37,63;37,21;36,02;34,29;32,87;31,29;30,07;29,02
30;"la Fontsanta";7;74;39;45,21;43,08;43,32;42,88;41,54;39,25;38,07;37,14;35,52
31;"la Llum";7;75;39;24,65;23,53;23;21,7;21,08;20,36;19,13;18,09;17,8
32;"Patraix";8;81;39;22;21,01;20,41;19,28;18,25;17,49;16,59;16,14;15,02
33;"Sant Isidre";8;82;39;24,69;23,92;23,37;22,76;21,78;20,79;20,24;19,63;18,31
34;"Vara de Quart";8;83;39;22,53;21,56;20,82;19,85;19,38;18,87;18,35;17,44;16,87
35;"Safranar";8;84;39;17,6;17,05;16,93;15,93;15,29;14,8;14,23;13,79;12,69
36;"Favara";8;85;39;29,11;27,35;26,73;25,83;24,59;22,51;21,6;20,55;19,46
37;"la Raiosa";9;91;39;25,58;24,21;23,41;22,56;21,54;20,44;19,53;18,67;17,81
38;"l'Hort de Senabre";9;92;39;32;30,75;30,02;29,25;28,11;26,85;25,61;24,75;23,61
39;"la Creu Coberta";9;93;39;27,63;26,54;26,06;25,48;24,27;22,8;21,46;21,12;20,58
41;"Camí Real";9;95;39;25,45;24,3;23,83;23,05;22,71;21,44;20,61;20,37;19,48
42;"Mont-Olivet";10;101;39;21,34;20,14;19,4;18,78;18,04;17;16,13;15,27;14,57
43;"en Corts";10;102;39;25,22;24,1;23,57;23,03;21,51;20,58;19,71;18,64;17,14
44;"Malilla";10;103;39;20,99;20,39;19,79;19,25;18,69;17,74;17,23;16,79;15,48
45;"Fonteta de Sant Lluís";10;104;39;39,17;38,03;36,96;35,24;33,82;31,94;30,51;30,04;28,27
46;"na Rovella";10;105;39;44,67;43,98;42,71;41,88;40,52;39,18;37,72;36,82;35,75
47;"la Punta";10;106;39;42;40,42;38,23;36,72;35,07;33,16;30,87;29,03;27,25
48;"Ciutat de les Arts i les Ciències";10;107;39;7,39;6,93;6,98;6,83;6,81;7,36;6,99;6,69;5,75
49;"el Grau";11;111;39;27,05;26,1;25,5;24,73;23,82;22,56;21,64;20,51;19,03
50;"el Cabanyal-el Canyamelar";11;112;39;35,38;34,77;33,6;32,25;30,55;28,47;27,07;25,99;23,7
51;"la Malva-rosa";11;113;39;35,22;34,45;33,2;32,1;30,79;29,4;28,36;27,24;26,34
52;"Beteró";11;114;39;26,73;25,96;25,83;25,06;23,79;22,88;22,02;20,78;19,69
53;"Natzaret";11;115;39;47,69;46,63;45,89;44,03;42,5;40,71;38,71;36,82;35,04
54;"Aiora";12;121;39;29,85;28,84;28,13;26,82;25,54;24,09;23,05;21,89;20,64
55;"Albors";12;122;39;22,69;21,45;20,35;19,33;18,18;17,12;16,3;15,37;14,12
56;"la Creu del Grau";12;123;39;29,69;28,63;27,89;26,67;25,22;23,76;22,84;21,66;20,6
57;"Camí Fondo";12;124;39;21,99;21,82;21,21;20,74;19,84;19,03;18,19;17,3;15,95
58;"Penya-roja";12;125;39;6,17;5,87;5,76;5,71;5,58;5,61;5,31;5,3;4,98
59;"l'Illa Perduda";13;131;39;29,88;28,55;28,23;27,33;26,09;25,24;24,17;23,51;22,3
60;"Ciutat Jardí";13;132;39;16,64;16,06;15,69;15,11;14,47;13,91;13,76;13,26;12,64
61;"l'Amistat";13;133;39;26,55;25,58;24,9;23,56;22,35;21,22;20,26;19,5;18,52
62;"la Bega Baixa";13;134;39;11,45;10,81;10,62;10,14;9,75;9,06;8,74;8,35;8,06
63;"la Carrasca";13;135;39;9,95;9,77;9,25;8,77;8,4;7,93;7,91;7,47;7,24
64;"Benimaclet";14;141;39;24,4;23,36;22,37;21,34;20,11;19,2;18,2;17,34;16,46
65;"Camí de Vera";14;142;39;20,12;19,72;19,26;18,19;17,33;16,62;16,14;15,19;14,73
66;"Orriols";15;151;39;38,19;36,7;35,97;34,3;32,45;30,86;29,12;28,36;27,4
67;"Torrefiel";15;152;39;33,61;32,53;31,72;30,57;29,45;28,53;27,33;26,17;25,07
68;"Sant Llorenç";15;153;39;10,69;10,14;10,13;9,47;9,17;9,09;8,77;8,45;7,85
69;"Benicalap";16;161;39;31,6;30,45;29,34;28,21;27,19;26,05;24,78;23,71;22,44
70;"Ciutat Fallera";16;162;39;41,75;40,89;39,63;38,25;36,63;35,42;33,74;32,67;31,64
71;"Benifaraig";17;171;39;29,14;27,9;26,92;25,98;24,58;24,35;23;20,99;19,71
72;"Poble Nou";17;172;39;42,3;42,39;40,81;38,1;35,74;33,81;33,42;32,26;30,75
73;"Carpesa";17;173;39;37,78;36,81;35,16;34,13;33,11;32,56;31,64;30,33;28,82
74;"Cases de Bàrcena";17;174;39;40,45;39,87;38,49;35,92;35,2;32,46;30,94;28,16;26,81
75;"Mauella";17;175;39;41,3;39,13;38,64;37,21;34,88;35;30,43;27,45;30
76;"Massarrojos";17;176;39;16,78;15,89;15,9;15,59;14,99;14,3;12,98;11,7;11,4
77;"Borbotó";17;177;39;42,38;41,57;38,99;37,54;36,73;36,12;34,12;32,29;29,68
78;"Benimàmet";18;181;39;33,52;32,59;31,64;30,51;29,52;28,07;27,01;26,21;24,87
79;"Beniferri";18;182;39;18,32;17,53;16,95;15,9;15,02;15,68;15,38;15,38;14,78
80;"el Forn d'Alcedo";19;191;39;40,23;38,67;37,98;36,36;34,6;33,75;31,86;29,96;28,35
81;"el Castellar-l'Oliverar";19;192;39;39,3;38,57;37,34;35,75;34,49;33,5;32,15;31,14;29,61
82;"Pinedo";19;193;39;29,06;27,87;27,86;26,93;24,98;24,6;23,58;22,21;20,71
83;"el Saler";19;194;39;13,76;14,32;14,1;12,83;11,74;10,91;9,82;9,37;9,09
84;"el Palmar";19;195;39;42,71;42,37;40,09;39,11;37,15;35,51;34,7;32,98;32
85;"el Perellonet";19;196;39;18,01;16,91;16,72;16,24;15,55;14,91;14,26;13,54;12,97
86;"la Torre";19;197;39;39,93;38,21;37,94;36,56;34,93;33,6;32,11;30,93;30,63
87;"Faitanar";19;198;39;19,12;17,1;16,43;15,26;14,15;12,97;12,05;11,32;11,09
