"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021"
1;"la Seu";1;11;62;178;173;220;245;296;230;267;137;57
2;"la Xerea";1;12;62;174;173;198;214;223;250;309;122;59
3;"el Carme";1;13;62;288;372;350;436;354;459;531;285;115
4;"el Pilar";1;14;62;275;305;325;289;357;408;418;190;104
5;"el Mercat";1;15;62;207;238;286;244;249;298;308;158;105
6;"Sant Francesc";1;16;62;196;267;298;321;405;397;426;164;114
7;"Russafa";2;21;62;975;1018;1141;1136;1167;1288;1348;679;268
8;"el Pla del Remei";2;22;62;225;245;322;300;257;278;324;134;72
9;"Gran Via";2;23;62;346;347;387;487;443;479;508;226;102
10;"el Botànic";3;31;62;364;305;374;417;429;394;434;189;70
11;"la Roqueta";3;32;62;285;292;336;311;313;360;374;174;76
12;"la Petxina";3;33;62;505;594;599;616;561;666;716;290;159
13;"Arrancapins";3;34;62;727;851;856;1008;986;1121;1158;533;216
14;"Campanar";4;41;62;427;422;530;501;461;460;486;241;102
15;"les Tendetes";4;42;62;240;242;263;295;362;348;373;157;80
16;"el Calvari";4;43;62;287;271;276;311;352;383;430;140;81
17;"Sant Pau";4;44;62;696;769;722;846;735;835;926;369;158
18;"Marxalenes";5;51;62;330;401;414;510;562;606;655;302;87
19;"Morvedre";5;52;62;390;437;544;458;514;540;623;221;101
20;"Trinitat";5;53;62;331;360;385;413;447;436;487;225;97
21;"Tormos";5;54;62;302;318;388;400;467;456;492;178;90
22;"Sant Antoni";5;55;62;345;370;390;388;488;420;437;185;83
23;"Exposició";6;61;62;230;279;267;266;290;241;310;135;45
24;"Mestalla";6;62;62;608;577;636;720;732;799;836;313;121
25;"Jaume Roig";6;63;62;179;170;211;261;240;246;243;97;50
26;"Ciutat Universitària";6;64;62;77;85;113;137;141;155;151;74;25
27;"Nou Moles";7;71;62;1096;1221;1178;1225;1422;1456;1528;687;293
28;"Soternes";7;72;62;272;329;312;268;297;308;349;157;62
29;"Tres Forques";7;73;62;546;530;522;623;637;698;784;345;125
30;"la Fontsanta";7;74;62;226;257;234;251;256;254;295;121;56
31;"la Llum";7;75;62;177;221;223;258;210;269;303;136;52
32;"Patraix";8;81;62;816;874;896;1045;1130;1166;1206;483;222
33;"Sant Isidre";8;82;62;278;291;287;305;328;327;318;121;119
34;"Vara de Quart";8;83;62;336;364;324;399;324;348;360;191;61
35;"Safranar";8;84;62;233;228;275;241;233;307;290;91;41
36;"Favara";8;85;62;160;154;155;167;203;174;204;96;23
37;"la Raiosa";9;91;62;696;745;874;899;928;1021;1075;481;157
38;"l'Hort de Senabre";9;92;62;629;665;624;661;802;710;805;386;118
39;"la Creu Coberta";9;93;62;218;218;222;232;257;266;236;99;47
41;"Camí Real";9;95;62;126;126;142;122;151;184;187;71;27
42;"Mont-Olivet";10;101;62;721;827;896;919;953;964;1028;430;183
43;"en Corts";10;102;62;533;486;604;560;631;768;748;301;122
44;"Malilla";10;103;62;618;669;670;738;713;770;735;346;145
45;"Fonteta de Sant Lluís";10;104;62;73;86;99;129;110;138;174;68;16
46;"na Rovella";10;105;62;367;331;339;320;378;378;445;173;60
47;"la Punta";10;106;62;122;174;155;108;125;100;135;79;20
48;"Ciutat de les Arts i les Ciències";10;107;62;280;345;357;437;385;420;538;196;114
49;"el Grau";11;111;62;364;392;426;377;446;467;549;239;105
50;"el Cabanyal-el Canyamelar";11;112;62;871;888;859;767;895;922;1013;449;212
51;"la Malva-rosa";11;113;62;487;519;473;448;611;602;614;264;143
52;"Beteró";11;114;62;279;284;299;239;336;306;307;154;56
53;"Natzaret";11;115;62;198;232;240;250;269;248;338;153;44
54;"Aiora";12;121;62;942;916;1023;1043;1125;1190;1167;574;233
55;"Albors";12;122;62;331;333;361;415;413;423;435;183;94
56;"la Creu del Grau";12;123;62;583;652;641;573;670;673;809;323;137
57;"Camí Fondo";12;124;62;139;193;222;267;272;240;282;90;52
58;"Penya-roja";12;125;62;583;582;731;673;711;606;862;370;170
59;"l'Illa Perduda";13;131;62;217;262;234;293;368;354;366;130;67
60;"Ciutat Jardí";13;132;62;411;550;567;610;665;613;684;240;121
61;"l'Amistat";13;133;62;358;372;403;380;442;469;529;195;80
62;"la Bega Baixa";13;134;62;176;181;243;229;242;204;253;97;41
63;"la Carrasca";13;135;62;141;156;175;182;185;247;135;66;25
64;"Benimaclet";14;141;62;1009;1091;1160;1154;1208;1236;1340;545;234
65;"Camí de Vera";14;142;62;127;181;156;181;187;207;196;70;46
66;"Orriols";15;151;62;743;815;944;879;1164;1333;1422;598;231
67;"Torrefiel";15;152;62;938;1045;1106;1216;1289;1295;1372;652;173
68;"Sant Llorenç";15;153;62;293;277;298;261;305;294;318;164;64
69;"Benicalap";16;161;62;1416;1607;1653;1774;1832;2065;2053;889;420
70;"Ciutat Fallera";16;162;62;209;243;269;283;359;274;337;151;52
71;"Benifaraig";17;171;62;9;18;16;25;29;18;12;13;9
72;"Poble Nou";17;172;62;27;46;32;34;53;61;42;19;9
73;"Carpesa";17;173;62;31;29;43;27;26;27;24;13;14
74;"Cases de Bàrcena";17;174;62;24;16;11;16;24;22;29;17;10
75;"Mauella";17;175;62;2;1;0;2;3;3;6;2;1
76;"Massarrojos";17;176;62;126;122;132;122;154;164;130;88;53
77;"Borbotó";17;177;62;21;9;27;15;15;26;23;27;2
78;"Benimàmet";18;181;62;496;539;565;512;616;753;730;307;139
79;"Beniferri";18;182;62;44;52;52;56;68;87;46;9;13
80;"el Forn d'Alcedo";19;191;62;26;40;38;35;47;54;58;33;6
81;"el Castellar-l'Oliverar";19;192;62;160;158;172;156;162;157;157;77;38
82;"Pinedo";19;193;62;80;89;77;71;95;54;81;33;15
83;"el Saler";19;194;62;57;51;69;93;103;82;113;51;26
84;"el Palmar";19;195;62;7;7;23;7;18;12;22;7;3
85;"el Perellonet";19;196;62;55;58;76;49;49;68;71;58;11
86;"la Torre";19;197;62;240;262;196;237;266;266;353;161;54
87;"Faitanar";19;198;62;54;65;102;84;98;99;134;53;32
