"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;1;2878;2831;2857;2892;2857;2842;2922;2978;3097;3013;3005;3049;3102
2;"la Xerea";1;12;1;3866;3843;3881;3891;3866;3857;3879;3885;3889;3908;3966;3959;3956
3;"el Carme";1;13;1;6220;6258;6498;6499;6431;6469;6404;6384;6370;6343;6507;6590;6703
4;"el Pilar";1;14;1;4162;4217;4297;4407;4444;4547;4628;4588;4719;4624;4663;4632;4749
5;"el Mercat";1;15;1;3427;3438;3492;3442;3417;3465;3555;3530;3584;3558;3604;3657;3776
6;"Sant Francesc";1;16;1;5391;5267;5343;5242;5206;5292;5381;5445;5600;5624;5673;5638;5697
7;"Russafa";2;21;1;25089;24522;24616;24359;24006;23855;23921;23864;23834;23742;23785;23826;23735
8;"el Pla del Remei";2;22;1;6845;6757;6807;6788;6820;6813;6861;7005;7022;6998;7118;7084;7021
9;"Gran Via";2;23;1;11980;11838;11767;11693;11585;11512;11624;11746;11922;11878;11923;11943;11916
10;"el Botànic";3;31;1;6727;6698;6735;6674;6524;6524;6566;6631;6670;6620;6619;6623;6601
11;"la Roqueta";3;32;1;4564;4447;4441;4387;4380;4406;4451;4413;4455;4449;4489;4553;4545
12;"la Petxina";3;33;1;15434;15192;15157;15129;14989;15040;15042;15030;15074;15040;15082;14990;14899
13;"Arrancapins";3;34;1;23311;23073;23044;22811;22409;22238;22228;22401;22563;22508;22687;22562;22491
14;"Campanar";4;41;1;12100;11871;11808;11805;11707;11595;11662;11601;11604;11593;11573;11547;11505
15;"les Tendetes";4;42;1;5687;5488;5398;5285;5220;5207;5193;5205;5263;5253;5279;5271;5299
16;"el Calvari";4;43;1;5288;5116;5082;4992;4867;4796;4804;4741;4787;4864;4985;4974;5026
17;"Sant Pau";4;44;1;13324;13967;14437;14725;15095;15486;15903;16227;16510;16628;16899;16882;17334
18;"Marxalenes";5;51;1;11312;11013;10996;10776;10538;10497;10520;10552;10649;10629;10845;10880;10817
19;"Morvedre";5;52;1;10721;10619;10507;10492;10299;10275;10388;10256;10305;10222;10198;10210;10147
20;"Trinitat";5;53;1;8211;8073;7944;7885;7803;7802;7842;7876;7934;7807;7856;7854;7833
21;"Tormos";5;54;1;9004;8731;8768;8600;8510;8450;8354;8489;8667;8628;8732;8574;8511
22;"Sant Antoni";5;55;1;10076;9901;9953;9864;9723;9694;9714;9718;9828;9806;9860;9756;9705
23;"Exposició";6;61;1;6763;6691;6622;6634;6580;6659;6676;6702;6785;6730;6722;6733;6741
24;"Mestalla";6;62;1;14982;14782;14834;14878;14694;14470;14456;14550;14745;14646;14763;14709;14600
25;"Jaume Roig";6;63;1;6690;6666;6648;6621;6513;6400;6402;6460;6485;6469;6449;6430;6359
26;"Ciutat Universitària";6;64;1;2725;2748;2739;2725;2641;2595;2582;2650;2691;2693;2710;2795;2744
27;"Nou Moles";7;71;1;27155;26623;26390;26099;25929;25889;25991;25901;26210;26051;26300;26280;25959
28;"Soternes";7;72;1;5170;5053;4984;4955;4919;4881;4985;5024;4952;4921;4963;4895;4846
29;"Tres Forques";7;73;1;9387;9249;9089;8861;8748;8726;8687;8816;8883;9011;9302;9369;9323
30;"la Fontsanta";7;74;1;3702;3637;3686;3621;3531;3541;3512;3518;3544;3511;3562;3567;3554
31;"la Llum";7;75;1;5193;5141;5082;5099;5059;5068;5046;5052;5050;5056;5123;5075;5004
32;"Patraix";8;81;1;25636;25207;25147;24847;24646;24513;24581;24555;24770;24590;24700;24489;24300
33;"Sant Isidre";8;82;1;10019;9934;9902;9916;9825;9867;9906;9891;9939;9968;9954;9852;10198
34;"Vara de Quart";8;83;1;10636;10501;10396;10336;10320;10357;10390;10426;10413;10409;10402;10344;10123
35;"Safranar";8;84;1;8859;8842;8779;8926;9000;9070;9106;9143;9184;9179;9288;9413;9553
36;"Favara";8;85;1;3479;3515;3584;3604;3561;3549;3590;3615;3666;3637;3709;3735;3624
37;"la Raiosa";9;91;1;15755;15412;15402;15224;15127;15152;15370;15417;15507;15493;15708;15491;15300
38;"l'Hort de Senabre";9;92;1;17606;17381;17297;17221;17147;17084;17121;17024;17217;17062;17100;17055;16859
39;"la Creu Coberta";9;93;1;6378;6313;6276;6178;6154;6135;6104;6117;6156;6158;6113;6049;5987
41;"Camí Real";9;95;1;3805;3748;3789;3714;3686;3649;3695;3705;3772;3841;3871;3850;3831
42;"Mont-Olivet";10;101;1;20290;19788;19726;19574;19370;19385;19568;19555;19604;19448;19487;19215;19204
43;"en Corts";10;102;1;12391;12293;12298;12228;12122;12085;12119;12001;12050;12106;12104;12067;12028
44;"Malilla";10;103;1;22689;22321;22233;22071;21971;21865;21965;22026;22081;21943;21945;22100;22287
45;"Fonteta de Sant Lluís";10;104;1;3129;3039;3043;2924;2827;2821;2807;2901;2943;2950;3032;2995;3040
46;"na Rovella";10;105;1;8675;8380;8250;8130;8093;7952;7957;7890;7875;7815;7804;7652;7540
47;"la Punta";10;106;1;2089;2173;2282;2306;2447;2557;2622;2610;2644;2603;2691;2756;2769
48;"Ciutat de les Arts i les Ciències";10;107;1;5775;5815;5829;5899;6086;6402;6626;6786;6919;7050;7455;7523;7687
49;"el Grau";11;111;1;9761;9653;9573;9529;9493;9509;9502;9336;9486;9408;9365;9427;9495
50;"el Cabanyal-el Canyamelar";11;112;1;20932;20866;20951;20863;20580;20544;20493;20170;20140;19497;19359;19327;19201
51;"la Malva-rosa";11;113;1;14259;14008;13932;13711;13564;13496;13430;13137;13168;12936;12915;12908;12824
52;"Beteró";11;114;1;8323;8239;8198;8105;8101;8101;8131;8047;8057;8011;7969;7969;7878
53;"Natzaret";11;115;1;6881;6726;6526;6331;6155;6060;6034;5953;6072;5991;6117;6129;6088
54;"Aiora";12;121;1;25904;25763;25709;25471;25097;25021;25079;25092;25184;24980;24960;24894;24553
55;"Albors";12;122;1;9076;8928;8814;8760;8643;8618;8671;8651;8744;8776;8778;8730;8712
56;"la Creu del Grau";12;123;1;15276;15043;14911;14983;14824;14846;14907;14765;14936;14694;14805;14755;14633
57;"Camí Fondo";12;124;1;4673;4602;4604;4523;4480;4469;4478;4574;4600;4587;4616;4582;4531
58;"Penya-roja";12;125;1;10558;10680;10850;11009;11201;11582;11984;12238;12463;12414;12731;13020;13123
59;"l'Illa Perduda";13;131;1;9234;9025;8990;8874;8841;8778;8759;8716;8813;8692;8700;8581;8474
60;"Ciutat Jardí";13;132;1;13086;12699;12568;12315;12050;12024;11949;11958;11999;11810;11887;11828;11684
61;"l'Amistat";13;133;1;7762;7580;7571;7399;7272;7249;7252;7174;7146;7095;7124;7114;7014
62;"la Bega Baixa";13;134;1;6014;5884;5869;5807;5727;5695;5709;5689;5675;5572;5512;5423;5396
