"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;7;20,54;20,84;20,86;20,78;20,48;20,16;19,54;19,17;19,34;20,18;20,03;19,94;19,5
2;"la Xerea";1;12;7;23;22,69;22,7;23,28;23,72;23,7;23,64;24,07;24,2;24,49;24,23;24,02;24,22
3;"el Carme";1;13;7;20,87;20,47;19,84;19,91;20,23;20,25;20,33;20,47;20,17;19,75;19,66;18,54;18,72
4;"el Pilar";1;14;7;19,53;19,45;19,27;18,9;18,7;18,58;18,54;18,35;17,95;18,04;17,71;17,03;17,08
5;"el Mercat";1;15;7;19,38;19,14;18,76;18,8;19,14;19,02;18,68;18,44;18,3;17,71;17,7;17,69;17,69
6;"Sant Francesc";1;16;7;25,3;25,84;25,58;26,21;27,03;26,59;26,52;26,21;26,02;25,91;25,65;25,97;25,47
7;"Russafa";2;21;7;20,99;21,15;20,85;21,05;21,32;21,54;21,37;21,28;21,18;21,02;21,17;21,04;21
8;"el Pla del Remei";2;22;7;24,75;25,13;25,19;25,13;25,73;26,05;25,71;25,4;25,59;25,69;25,58;25,86;26,34
9;"Gran Via";2;23;7;23,24;23,52;23,63;23,96;24,57;24,86;24,82;24,88;24,65;24,8;25,04;25,04;24,87
10;"el Botànic";3;31;7;21,44;21,6;20,95;21,31;21,29;21,23;20,79;20,72;20,93;20,92;20,7;20,44;20,22
11;"la Roqueta";3;32;7;21,82;22,13;21,8;22,04;21,89;21,77;21,95;21,87;21,57;21,8;21,81;21,52;21,34
12;"la Petxina";3;33;7;22,52;22,76;22,65;22,88;22,96;23,08;22,98;23,11;23,09;22,85;22,87;23,06;23,33
13;"Arrancapins";3;34;7;22,7;22,93;23,03;23,4;23,86;24,2;24,33;24,16;24,27;24,69;24,75;24,95;25,05
14;"Campanar";4;41;7;16,87;17,88;18,61;19,69;20,99;22,27;22,96;24;25,11;25,84;26,6;27,5;28,48
15;"les Tendetes";4;42;7;19,2;20,54;21,3;22,04;22,74;23,45;24,15;24,4;24,4;25,3;25,8;26,12;26,34
16;"el Calvari";4;43;7;25,09;25,57;25,6;25,98;26,36;26,06;25,31;25,04;24,48;23,68;23,15;22,6;22,32
17;"Sant Pau";4;44;7;8,76;9,36;9,78;10,39;11,04;11,7;12,27;12,66;13,21;14,01;14,62;15,22;15,4
18;"Marxalenes";5;51;7;21,4;22,28;22,86;23,31;24,43;25,28;25,62;26;26,13;25,83;25,63;25,72;26,24
19;"Morvedre";5;52;7;23,29;23,17;23,65;23,88;24,34;24,8;24,59;24,67;24,38;24,31;24,42;24,13;24,21
20;"Trinitat";5;53;7;23,98;24,67;25,11;25,54;26;25,99;25,8;25,52;25,13;25,54;25,14;25,3;24,98
21;"Tormos";5;54;7;17,53;17,91;18,23;18,37;18,85;18,91;19,31;18,85;18,67;18,37;18,33;18,56;19,03
22;"Sant Antoni";5;55;7;17,3;17,94;18,28;18,87;19,59;19,85;20;20,7;20,58;21,36;21,63;22,31;22,73
23;"Exposició";6;61;7;20,83;21,51;22,5;23;24,09;24,6;25,13;25,41;25,53;26,06;26,26;25,95;25,96
24;"Mestalla";6;62;7;17,67;18,27;18,78;19,19;19,9;20,21;20,65;21,02;21,14;21,47;21,54;21,95;22,03
25;"Jaume Roig";6;63;7;21,48;21,87;22,46;22,84;23,4;24,12;24,68;24,81;24,95;25,01;24,93;25,37;25,73
26;"Ciutat Universitària";6;64;7;18,57;19,29;20,26;21,5;22,57;24,08;25,02;24,98;24,97;25,06;25,46;24,04;24,67
27;"Nou Moles";7;71;7;21,81;22,25;22,7;22,94;23,3;23,49;23,52;23,54;23;22,81;22,58;22,36;22,4
28;"Soternes";7;72;7;20,08;21,12;21,87;22,32;22,75;23,01;22,77;22,69;23,1;22,94;22,65;22,66;22,47
29;"Tres Forques";7;73;7;24,62;24,82;24,94;25,18;25,33;24,96;24,48;23,95;23,4;22,86;21,97;21,4;21,19
30;"la Fontsanta";7;74;7;17,04;17,16;17,36;17,81;18,58;18,53;19,16;18,79;19,05;19,03;18,75;18,73;18,04
31;"la Llum";7;75;7;15,17;15,56;16,49;16,87;17,79;18,35;18,83;19;20,04;20,83;21,53;21,87;23
32;"Patraix";8;81;7;19,81;20,45;20,71;21,14;21,68;21,93;22,05;22,3;22,25;22,51;22,51;22,71;22,93
33;"Sant Isidre";8;82;7;9,02;9,57;10,1;10,9;12,05;12,58;13,48;14,29;15,02;15,92;16,8;17,29;17,67
34;"Vara de Quart";8;83;7;15,34;16,42;17,17;17,9;18,87;20,23;21,52;22,41;23,45;24,37;25,61;26,48;27,65
35;"Safranar";8;84;7;12,36;12,83;13,35;14,02;14,49;14,88;15,39;16,27;17,16;17,86;18,36;18,83;19,2
36;"Favara";8;85;7;15,18;14,74;14,84;14,87;15,56;15,89;16,35;16,6;16,78;17,13;17,69;17,64;17,99
37;"la Raiosa";9;91;7;19,56;20,07;20,26;20,73;21,24;21,25;21,13;21,19;20,93;20,92;20,75;20,93;20,99
38;"l'Hort de Senabre";9;92;7;15,63;16,31;16,75;17,14;17,92;18,46;18,83;19,55;20,17;20,62;21,23;21,63;22,18
39;"la Creu Coberta";9;93;7;14,33;14,4;14,85;15,65;16,54;17,28;17,99;18,51;19,04;19,13;19,63;21,03;21,93
41;"Camí Real";9;95;7;8,83;9,31;9,66;10,66;11,2;11,67;12,29;12,5;13,07;13,23;13,41;14;14,12
42;"Mont-Olivet";10;101;7;22,58;23,31;23,57;23,53;23,98;23,84;23,77;23,77;23,7;23,72;23,48;23,65;23,7
43;"en Corts";10;102;7;19,51;19,96;20,21;20,44;20,64;20,78;20,59;20,65;20,69;20,57;20,45;20,41;20,29
44;"Malilla";10;103;7;13,76;14,58;15,4;16,14;17,19;18,21;18,86;19,67;20,43;20,99;21,39;21,87;22,04
45;"Fonteta de Sant Lluís";10;104;7;16,52;17,6;17,84;19,05;20,34;20,38;20,45;20,48;20,86;21,32;21,04;21,2;20,79
46;"na Rovella";10;105;7;19,02;20,08;20,69;21,29;21,6;22,26;22,24;22,36;22,37;22,14;22,04;22,5;22,16
47;"la Punta";10;106;7;23,74;23,42;21,56;21,42;19,98;18,97;18,27;17,93;18,31;18,4;18,28;17,89;18,74
48;"Ciutat de les Arts i les Ciències";10;107;7;7,83;8,37;8,65;8,88;9,37;9,31;9,7;10,04;10,71;11,77;12,3;12,65;13,28
49;"el Grau";11;111;7;13,79;14,1;14,29;14,63;15;15,24;15,7;16,31;16,29;16,75;17,29;17,47;17,75
50;"el Cabanyal-el Canyamelar";11;112;7;21,49;21,39;20,94;20,86;21,22;21,14;20,83;21,18;21,24;21,52;21,51;21,22;20,96
51;"la Malva-rosa";11;113;7;16,47;17,13;17,5;17,91;18,61;19,41;19,98;20,74;20,96;21,58;22,23;22,99;23,54
52;"Beteró";11;114;7;13,82;14,27;14,86;15,09;15,79;16,32;16,6;17,65;18,18;18,75;19,35;19,91;20,72
53;"Natzaret";11;115;7;17,09;17,34;17,82;18,31;19,01;19,65;19,71;19,86;19,57;19,51;19,13;19,01;19,23
54;"Aiora";12;121;7;16,76;16,9;17,15;17,51;17,91;18,09;18,24;18,38;18,57;19,01;19,39;19,68;20,15
55;"Albors";12;122;7;19,44;20,17;20,72;20,94;21,67;22,06;21,53;21,85;21,94;22,29;22,21;22,41;22,7
56;"la Creu del Grau";12;123;7;15,72;16,22;16,67;16,93;17,56;18,01;17,88;18,39;18,58;18,97;19,24;19,41;19,59
57;"Camí Fondo";12;124;7;16,22;17,01;17,57;18,26;18,46;18,95;19,18;19,46;19,43;19,97;20,52;20,21;20,44
58;"Penya-roja";12;125;7;6,61;7,16;7,83;8,46;8,9;9,53;10,16;10,55;11,05;11,53;11,81;12,3;12,69
59;"l'Illa Perduda";13;131;7;17,96;18,88;19,11;19,93;20,9;21,49;21,99;22,64;22,82;23,25;23,4;24,09;24,69
60;"Ciutat Jardí";13;132;7;15,94;17,22;18,31;19,78;21,17;22,33;23,27;24,08;25,15;26,38;27,22;27,92;28,54
61;"l'Amistat";13;133;7;19,51;19,85;20,37;21,3;22,17;22,47;22,88;23,11;23,3;23,47;23,69;23,78;24,22
62;"la Bega Baixa";13;134;7;18,11;18,85;19,76;20,85;21,53;22,51;22,79;23,1;23,63;23,99;24,62;25,26;25,24
63;"la Carrasca";13;135;7;12,56;13,26;14,02;14,91;15,59;16,17;17,04;17,88;19,08;19,85;21,43;21,98;23,38
64;"Benimaclet";14;141;7;17,92;18,44;19,08;19,56;20,1;20,61;20,81;21,26;21,65;22,21;22,64;22,82;23,3
65;"Camí de Vera";14;142;7;10,39;11,06;11,72;12,82;13,89;15,12;16,2;17,42;18,38;19,6;20,76;21,63;23,1
66;"Orriols";15;151;7;17,76;18,28;18,59;19,22;20,11;20,21;20,11;20,12;19,59;19,22;18,71;18,65;18,47
67;"Torrefiel";15;152;7;15,81;16,56;16,98;17,51;18,24;18,61;18,82;19,04;19,22;19,69;19,64;19,71;20,01
68;"Sant Llorenç";15;153;7;6,87;7,22;7,69;8,08;8,41;8,83;9,31;9,71;10,21;10,76;11,48;12,16;12,77
69;"Benicalap";16;161;7;14,78;15,14;15,36;15,87;16,45;16,78;17,09;17,34;17,71;17,8;17,85;18,21;18,34
70;"Ciutat Fallera";16;162;7;14,01;14,89;15,49;16,21;17,13;17,99;18,56;18,96;18,89;19,05;19,14;19,62;19,63
71;"Benifaraig";17;171;7;20,9;20,1;20,04;19,86;20,02;19,54;19,32;20,12;20,36;20,81;21,33;20,95;21,15
72;"Poble Nou";17;172;7;20,63;21,13;23,25;22,95;23,34;25,24;24,88;23,74;23,3;23,03;23,51;23,67;24,34
73;"Carpesa";17;173;7;18,72;18,69;19,31;20,08;20,68;21,32;22,52;23,44;24,48;25,3;26,52;26,82;27,46
74;"Cases de Bàrcena";17;174;7;20,21;21,6;23,14;25,07;25;24,45;25,58;25,63;24,93;24,06;24,01;22,69;22,04
75;"Mauella";17;175;7;39,06;38,33;37,93;35,71;34,62;32,69;34,04;36,17;33,33;33,33;30;25,86;24,56
76;"Massarrojos";17;176;7;15,17;15,01;14,87;15,17;15,06;14,89;14,89;15,21;15,67;16,22;16,45;16,1;15,89
77;"Borbotó";17;177;7;20,91;21,85;23,68;23,73;23,96;25,68;24,44;24,13;24,96;24,62;24,38;23,27;22,34
78;"Benimàmet";18;181;7;14,95;15,41;15,67;16,34;16,83;17,31;17,63;18,37;18,44;18,41;18,78;19,01;19,34
79;"Beniferri";18;182;7;7,4;7,49;8,18;8,82;9,96;10,65;10,53;11,82;12,27;12,67;13,34;14,32;15,8
80;"el Forn d'Alcedo";19;191;7;18,56;18,9;19,44;20,33;20,71;21,47;22,55;22,29;21,78;22,37;22,04;22,14;22,25
81;"el Castellar-l'Oliverar";19;192;7;18,84;18,75;18,97;19,39;20,08;20,39;20,71;21,02;21,26;21,51;22,01;22,45;22,89
82;"Pinedo";19;193;7;18,85;18,1;18,43;18,99;19,73;20,44;20,87;21,75;22,15;22,74;23,19;22,96;23,49
83;"el Saler";19;194;7;10,05;11,55;11,73;12,46;14,07;15,04;15,79;17,04;18,35;18,85;18,32;18,39;19,05
84;"el Palmar";19;195;7;27,77;28,63;29,14;28,97;29,75;31,2;30,56;31,09;29,92;30,46;29,07;29,13;29,1
85;"el Perellonet";19;196;7;12,03;11,78;12,69;13,2;14,39;14,85;15,03;15,64;15,88;16,55;17,64;18,12;19,02
86;"la Torre";19;197;7;16,12;16,48;16,61;16,96;17,42;18,36;19,71;20,04;20,68;20,44;20,56;21,03;20,99
