"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;81;126,32;126,13;125,78;125,63;124,59
2;"la Xerea";1;12;81;147,7;148,15;149,12;149,2;149,16
3;"el Carme";1;13;81;96,78;96,81;96,94;96,92;96,75
4;"el Pilar";1;14;81;107,09;107,35;106,96;106,48;106,41
5;"el Mercat";1;15;81;111,9;111,04;110,57;110,28;110,07
6;"Sant Francesc";1;16;81;149,79;149,44;149,56;149,3;149,3
7;"Russafa";2;21;81;107,42;107,48;107,43;107,5;107,62
8;"el Pla del Remei";2;22;81;176,19;176,05;175,9;175,72;175,58
9;"Gran Via";2;23;81;138,65;138,63;138,65;138,79;138,74
10;"el Botànic";3;31;81;106,15;106,05;105,98;105,99;105,99
11;"la Roqueta";3;32;81;110,31;110,28;110,36;110,35;110,42
12;"la Petxina";3;33;81;115,72;115,62;115,6;115,61;115,92
13;"Arrancapins";3;34;81;120,73;120,82;120,76;120,78;120,86
14;"Campanar";4;41;81;117,38;117,38;117,36;117,41;117,43
15;"les Tendetes";4;42;81;100,81;100,81;100,74;100,74;100,7
16;"el Calvari";4;43;81;83,97;83,96;83,94;83,93;83,93
17;"Sant Pau";4;44;81;122,25;122,25;122,28;122,39;122,62
18;"Marxalenes";5;51;81;96,96;96,9;96,85;97,47;97,63
19;"Morvedre";5;52;81;102,64;102,68;102,72;102,69;102,69
20;"Trinitat";5;53;81;95,94;95,94;95,94;96,04;96,06
21;"Tormos";5;54;81;93,61;93,6;93,55;93,5;93,49
22;"Sant Antoni";5;55;81;110,54;110,54;110,54;110,54;110,87
23;"Exposició";6;61;81;145,9;145,9;145,91;146,12;146,01
24;"Mestalla";6;62;81;113,29;113,27;113,23;113,22;113,11
25;"Jaume Roig";6;63;81;169,24;169,24;168,64;168,64;168,59
26;"Ciutat Universitària";6;64;81;125,07;124,99;124,99;124,99;124,89
27;"Nou Moles";7;71;81;100,2;100,2;100,29;100,42;100,55
28;"Soternes";7;72;81;97,36;97,36;97,36;97,36;97,35
29;"Tres Forques";7;73;81;84,89;84,89;84,9;84,9;84,9
30;"la Fontsanta";7;74;81;83,29;83,29;83,29;83,29;83,29
31;"la Llum";7;75;81;106,62;106,62;106,62;106,62;106,62
32;"Patraix";8;81;81;107,24;107,26;107,22;107,25;107,53
33;"Sant Isidre";8;82;81;112,53;112,43;112,43;112,71;112,84
34;"Vara de Quart";8;83;81;108,81;108,81;108,71;108,71;108,64
35;"Safranar";8;84;81;113,27;113,21;114,04;114,66;115,04
