"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;93;31141;31827;31658;31778;31511
2;"la Xerea";1;12;93;69550;69923;67908;67863;67671
3;"el Carme";1;13;93;31534;32927;32366;32366;32582
4;"el Pilar";1;14;93;49142;49231;49325;49325;49325
5;"el Mercat";1;15;93;29095;29609;29609;30209;30240
6;"Sant Francesc";1;16;93;159148;164487;164395;164395;164395
7;"Russafa";2;21;93;188280;205630;205630;205486;201662
8;"el Pla del Remei";2;22;93;166970;167908;167872;168605;168605
9;"Gran Via";2;23;93;124680;124477;124477;125280;125401
10;"el Botànic";3;31;93;55854;51663;51661;56022;52010
11;"la Roqueta";3;32;93;63642;64570;64570;63434;63434
12;"la Petxina";3;33;93;111591;112212;112094;112094;113995
13;"Arrancapins";3;34;93;250056;254441;254831;249265;251832
14;"Campanar";4;41;93;217641;225170;225043;243568;243601
15;"les Tendetes";4;42;93;40517;36311;36316;31749;32983
16;"el Calvari";4;43;93;15737;15737;15737;15737;15737
17;"Sant Pau";4;44;93;264524;277257;277257;277874;284087
18;"Marxalenes";5;51;93;53774;54606;55250;55939;56823
19;"Morvedre";5;52;93;58069;59308;59369;59369;59369
20;"Trinitat";5;53;93;61045;61045;61045;61203;61161
21;"Tormos";5;54;93;47324;47759;47623;47623;47623
22;"Sant Antoni";5;55;93;73484;73539;73539;73539;73800
23;"Exposició";6;61;93;95576;96035;98659;98659;98493
24;"Mestalla";6;62;93;197460;197788;197863;197863;198264
25;"Jaume Roig";6;63;93;71137;71137;71137;71137;71137
26;"Ciutat Universitària";6;64;93;34452;33878;33878;33878;33878
27;"Nou Moles";7;71;93;181061;183064;183868;184058;185234
28;"Soternes";7;72;93;20793;20793;20595;20595;20595
29;"Tres Forques";7;73;93;32909;32909;32909;32909;32909
30;"la Fontsanta";7;74;93;20242;20242;20242;20242;20392
31;"la Llum";7;75;93;32722;32959;32959;32959;32959
32;"Patraix";8;81;93;173270;173322;173317;175468;177378
33;"Sant Isidre";8;82;93;65059;64214;64359;65975;66868
34;"Vara de Quart";8;83;93;77109;71386;71731;71731;71586
35;"Safranar";8;84;93;59724;59861;61060;63052;63875
36;"Favara";8;85;93;22508;22508;22508;22508;22370
37;"la Raiosa";9;91;93;104364;105066;105366;105366;108439
38;"l'Hort de Senabre";9;92;93;80492;79863;79827;79827;79266
39;"la Creu Coberta";9;93;93;52970;53145;53145;53145;53145
41;"Camí Real";9;95;93;33993;34022;34022;34022;34022
42;"Mont-Olivet";10;101;93;88809;89958;90000;90000;90106
43;"en Corts";10;102;93;53903;53996;54022;55520;55733
44;"Malilla";10;103;93;156149;156423;156705;183860;190008
45;"Fonteta de Sant Lluís";10;104;93;8735;10956;10956;10956;11980
46;"na Rovella";10;105;93;13992;15306;15306;15306;15306
47;"la Punta";10;106;93;38526;31843;32488;32488;36924
48;"Ciutat de les Arts i les Ciències";10;107;93;163609;155206;155206;156555;158019
49;"el Grau";11;111;93;58456;56522;56522;58070;59545
50;"el Cabanyal-el Canyamelar";11;112;93;55145;56136;56040;56086;56237
51;"la Malva-rosa";11;113;93;40764;42368;42368;42368;43025
52;"Beteró";11;114;93;38178;38178;38178;38178;38178
53;"Natzaret";11;115;93;6999;7003;6989;6989;6989
54;"Aiora";12;121;93;123653;123713;123713;123984;123984
55;"Albors";12;122;93;82136;82842;83218;83769;83769
56;"la Creu del Grau";12;123;93;91631;91969;91472;91472;91472
57;"Camí Fondo";12;124;93;23776;23797;23797;23797;23797
58;"Penya-roja";12;125;93;343474;343147;345099;346553;347074
59;"l'Illa Perduda";13;131;93;47535;39810;39810;39810;39810
60;"Ciutat Jardí";13;132;93;83497;82002;82002;82002;82002
61;"l'Amistat";13;133;93;33846;32546;32546;32546;32546
62;"la Bega Baixa";13;134;93;61187;61187;61187;61187;61187
63;"la Carrasca";13;135;93;106491;121618;118900;118900;118459
64;"Benimaclet";14;141;93;158718;161734;161473;161700;161747
65;"Camí de Vera";14;142;93;46175;46175;46175;46175;46175
66;"Orriols";15;151;93;43811;43856;43856;43856;43856
67;"Torrefiel";15;152;93;108860;108720;107959;108068;108118
68;"Sant Llorenç";15;153;93;179271;165356;165356;165356;166759
69;"Benicalap";16;161;93;274219;272999;276641;278558;283364
70;"Ciutat Fallera";16;162;93;14076;14103;14103;14103;14103
71;"Benifaraig";17;171;93;6042;6042;6042;6042;6317
72;"Poble Nou";17;172;93;3529;3475;3447;3447;3485
73;"Carpesa";17;173;93;4177;4177;4177;4263;4341
74;"Cases de Bàrcena";17;174;93;1491;1336;1491;1491;1491
75;"Mauella";17;175;93;193;193;193;193;193
76;"Massarrojos";17;176;93;50219;50290;50173;50173;50173
77;"Borbotó";17;177;93;2563;2500;2563;2563;2941
78;"Benimàmet";18;181;93;179932;181709;181078;181078;182000
79;"Beniferri";18;182;93;40118;40118;40118;40118;40118
80;"el Forn d'Alcedo";19;191;93;11065;11437;11437;11437;11542
81;"el Castellar-l'Oliverar";19;192;93;23922;24096;24198;24252;24388
82;"Pinedo";19;193;93;8142;8071;8230;8292;8292
83;"el Saler";19;194;93;39769;39697;39697;39697;39697
84;"el Palmar";19;195;93;1129;1129;1147;1163;1163
85;"el Perellonet";19;196;93;62121;62212;62212;63064;63064
86;"la Torre";19;197;93;14196;14244;14484;14484;14709
87;"Faitanar";19;198;93;9471;9471;9475;9475;9475
