"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;92;2283;2412;2255;2142;2150
2;"la Xerea";1;12;92;3636;3682;3750;3989;3989
3;"el Carme";1;13;92;17220;17220;19663;20078;22378
4;"el Pilar";1;14;92;13363;14103;13273;13155;13155
5;"el Mercat";1;15;92;4545;4545;4449;5206;4372
6;"Sant Francesc";1;16;92;744;744;744;744;744
7;"Russafa";2;21;92;52455;88329;90064;93638;95010
8;"el Pla del Remei";2;22;92;504;504;504;504;504
9;"Gran Via";2;23;92;136;136;0;0;0
10;"el Botànic";3;31;92;21284;20835;20835;19754;20835
11;"la Roqueta";3;32;92;103;103;103;103;103
12;"la Petxina";3;33;92;5814;5442;5541;5178;3610
13;"Arrancapins";3;34;92;20904;17687;15144;29846;29967
14;"Campanar";4;41;92;20507;20507;20801;20412;20187
15;"les Tendetes";4;42;92;9543;9553;9553;9553;9220
16;"el Calvari";4;43;92;0;0;0;0;306
17;"Sant Pau";4;44;92;258344;265789;265246;263619;253773
18;"Marxalenes";5;51;92;16465;19897;18167;14376;13780
19;"Morvedre";5;52;92;18296;16089;17992;18140;16995
20;"Trinitat";5;53;92;15151;14939;14939;14617;14615
21;"Tormos";5;54;92;7844;7844;8626;8626;7906
22;"Sant Antoni";5;55;92;6808;8896;7415;7415;8204
23;"Exposició";6;61;92;428;428;428;812;2601
24;"Mestalla";6;62;92;12441;12441;12239;12239;11843
25;"Jaume Roig";6;63;92;259;259;259;259;259
26;"Ciutat Universitària";6;64;92;3218;3218;3218;3218;3218
27;"Nou Moles";7;71;92;54495;54435;55255;53744;52198
28;"Soternes";7;72;92;17838;17838;19164;17860;17860
29;"Tres Forques";7;73;92;57880;57880;57880;57880;57880
30;"la Fontsanta";7;74;92;2531;2531;2531;2531;2531
31;"la Llum";7;75;92;9099;9099;7494;7494;7494
32;"Patraix";8;81;92;25614;26075;26210;26212;22117
33;"Sant Isidre";8;82;92;141027;132371;132371;128068;113880
34;"Vara de Quart";8;83;92;67130;89685;97562;97562;96276
35;"Safranar";8;84;92;304992;303192;302215;289187;278244
36;"Favara";8;85;92;73576;71899;72008;72008;72008
37;"la Raiosa";9;91;92;15539;15539;15342;15560;15187
38;"l'Hort de Senabre";9;92;92;26517;26517;28148;28148;28148
39;"la Creu Coberta";9;93;92;36720;36799;96519;97450;97611
41;"Camí Real";9;95;92;216702;197272;197272;151041;150376
42;"Mont-Olivet";10;101;92;5913;5913;6110;6286;6286
43;"en Corts";10;102;92;15688;16306;16082;15554;15195
44;"Malilla";10;103;92;799195;586900;579872;731115;724329
45;"Fonteta de Sant Lluís";10;104;92;51941;51941;52109;52681;48711
46;"na Rovella";10;105;92;19396;19396;19396;44233;44233
47;"la Punta";10;106;92;521622;519534;517220;514285;493151
48;"Ciutat de les Arts i les Ciències";10;107;92;113178;98703;88903;89753;84284
49;"el Grau";11;111;92;206320;205156;301085;240108;236139
50;"el Cabanyal-el Canyamelar";11;112;92;81052;82860;85558;85711;82137
51;"la Malva-rosa";11;113;92;64081;64023;64029;59255;56643
52;"Beteró";11;114;92;10758;10899;11041;11041;11041
53;"Natzaret";11;115;92;80488;196420;196857;197851;197895
54;"Aiora";12;121;92;14254;14254;14254;17137;18237
55;"Albors";12;122;92;3731;3731;2973;2973;3433
56;"la Creu del Grau";12;123;92;54489;54658;54693;55043;54075
57;"Camí Fondo";12;124;92;20591;20591;20717;20717;20499
58;"Penya-roja";12;125;92;117229;117227;114738;111516;111516
59;"l'Illa Perduda";13;131;92;0;0;0;0;0
60;"Ciutat Jardí";13;132;92;14937;14937;15530;15602;15602
61;"l'Amistat";13;133;92;199;199;199;199;199
62;"la Bega Baixa";13;134;92;1121;1121;1121;1121;1121
63;"la Carrasca";13;135;92;121989;120727;120727;120727;120925
64;"Benimaclet";14;141;92;4365;4365;4365;4394;4648
65;"Camí de Vera";14;142;92;177161;172699;172719;172719;172723
66;"Orriols";15;151;92;15792;15792;15821;16177;17272
67;"Torrefiel";15;152;92;65661;65656;65836;65443;65832
68;"Sant Llorenç";15;153;92;94054;92471;92469;92113;89633
69;"Benicalap";16;161;92;282995;268471;263419;257383;246471
70;"Ciutat Fallera";16;162;92;25869;25209;25209;25209;25209
71;"Benifaraig";17;171;92;16340;15885;11616;15507;15496
72;"Poble Nou";17;172;92;56323;56666;56666;56666;55578
73;"Carpesa";17;173;92;28816;28816;28816;28672;28672
74;"Cases de Bàrcena";17;174;92;18587;18587;18587;18587;18587
75;"Mauella";17;175;92;402;402;466;466;402
76;"Massarrojos";17;176;92;136758;136758;136947;137652;136526
77;"Borbotó";17;177;92;23114;23114;23114;23114;23114
78;"Benimàmet";18;181;92;184659;184748;185487;186978;187576
79;"Beniferri";18;182;92;54602;44245;40516;50791;50791
80;"el Forn d'Alcedo";19;191;92;102585;102585;102643;102725;104414
81;"el Castellar-l'Oliverar";19;192;92;110272;110215;110474;110334;109780
82;"Pinedo";19;193;92;30264;30348;30392;30309;30354
83;"el Saler";19;194;92;2834;2834;2834;2834;2834
84;"el Palmar";19;195;92;11250;11392;11392;11389;11389
85;"el Perellonet";19;196;92;90068;90997;90143;83758;83758
86;"la Torre";19;197;92;32133;32132;32132;32063;32052
87;"Faitanar";19;198;92;242453;238966;238966;233258;233132
