"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021"
1;"la Seu";1;11;66;43,49;43,17;46,5;33,56;37,86;54,99;45,53;26,1;14,76
2;"la Xerea";1;12;66;32,49;35,22;37,23;31,68;36,53;32,58;43,18;19,43;5,3
3;"el Carme";1;13;66;41,76;35,19;40,39;37,07;33,56;35,87;44,05;29,78;13,51
4;"el Pilar";1;14;66;42,71;48,05;40,76;44,49;38,04;45,6;55,78;34,64;11,44
5;"el Mercat";1;15;66;35,87;46,79;43,3;38,96;31,77;45,09;36,58;33,05;10,12
6;"Sant Francesc";1;16;66;30,05;26,86;28,3;32,33;30,96;33,5;40,54;25,64;10,64
7;"Russafa";2;21;66;33,87;30,92;31,06;30,47;32,83;30,81;33,54;22,89;9,61
8;"el Pla del Remei";2;22;66;27,04;26,55;30,57;19,33;24,67;25,25;23,38;22,95;11,01
9;"Gran Via";2;23;66;25;23,29;18,15;24,9;21,13;25,21;28,65;17,43;6,03
10;"el Botànic";3;31;66;44,55;34,64;39,42;37,28;40,6;38,83;40,18;23,11;13,29
11;"la Roqueta";3;32;66;43,8;44,39;38,16;43,1;40,82;44,25;42,07;24,55;12,74
12;"la Petxina";3;33;66;27,49;27,51;30,05;30,26;26,11;29,95;33,26;21,15;9,67
13;"Arrancapins";3;34;66;27,51;28,98;30,36;26,84;28,07;30,93;32,17;19,58;7,93
14;"Campanar";4;41;66;31,39;31,33;29,84;30,35;29,73;32,42;31,34;21,19;7,53
15;"les Tendetes";4;42;66;35,41;31,84;37,5;29,04;42,41;37,09;41,59;23,32;7,97
16;"el Calvari";4;43;66;47,27;48,85;50,62;45,89;52,69;47,04;47,31;23,5;11,06
17;"Sant Pau";4;44;66;31,79;34,6;33,45;35,11;34,88;36,51;36,69;23,15;8,17
18;"Marxalenes";5;51;66;32,28;28,33;30,45;29,61;32,45;37,97;31,85;21,91;11,12
19;"Morvedre";5;52;66;34,82;28,87;24,29;34,39;32,1;32,25;33,89;22,54;7,64
20;"Trinitat";5;53;66;34,68;32,68;28,89;30,67;31,12;45,49;41,37;24,44;10,7
21;"Tormos";5;54;66;33,66;32,19;41,06;29,33;33,69;29,95;32,83;29,24;8,98
22;"Sant Antoni";5;55;66;31,04;31,52;32,36;30,36;27,93;33,92;30,92;20,29;10,25
23;"Exposició";6;61;66;23,61;22,81;24,6;24,67;30,25;30,04;30,92;16,95;7,87
24;"Mestalla";6;62;66;29,49;32,57;30,84;31,23;30,11;37,56;32,44;21,99;9,72
25;"Jaume Roig";6;63;66;22,23;26,95;23,43;25,35;25,03;28,25;28,95;19,1;5,75
26;"Ciutat Universitària";6;64;66;23,85;25,97;28,97;24,08;24,71;28,97;27,02;17,44;8,23
27;"Nou Moles";7;71;66;34,37;38,21;34,58;33,3;34,43;42,48;39,58;26,06;13,05
28;"Soternes";7;72;66;50,44;57,96;42,17;44,76;58,54;53,88;46,74;35,1;14,1
29;"Tres Forques";7;73;66;46,57;48,53;50,19;36,91;49,72;46,72;44,45;28,71;10,67
30;"la Fontsanta";7;74;66;58,17;57,13;70,61;48,36;49,56;51,03;52,88;29,46;13,46
31;"la Llum";7;75;66;35,83;42,46;40,34;39,02;45,54;45,91;37,33;28,44;11,82
32;"Patraix";8;81;66;28,37;30,88;28,88;27,68;30,21;36,26;32,14;20,45;9,84
33;"Sant Isidre";8;82;66;34,65;29,56;27,51;25,26;26,42;30,14;31,72;18,48;7
34;"Vara de Quart";8;83;66;27,4;29,11;26,9;24,79;29,94;29,3;31,23;18,99;7,54
35;"Safranar";8;84;66;23,99;23,8;25,31;21,59;22,15;23,74;24,69;15,93;5,42
36;"Favara";8;85;66;30,98;36,57;27,73;32,76;36,81;42,45;33,76;20,96;12,58
37;"la Raiosa";9;91;66;37,3;37,58;37,42;34,37;38,09;36,52;37,63;28,72;12,14
38;"l'Hort de Senabre";9;92;66;31,72;31,43;29,7;28,7;28,85;34,07;32,32;20,26;7,97
39;"la Creu Coberta";9;93;66;28,38;36,78;28,43;24,88;29,33;33,78;29,83;23,68;8,93
41;"Camí Real";9;95;66;31,62;38,17;31,59;34,59;28,35;35,2;39,16;29,27;8,83
42;"Mont-Olivet";10;101;66;32,76;32,77;31,99;28,78;33,1;30,22;32,26;21,76;9,11
43;"en Corts";10;102;66;35,98;32,88;33,47;32,84;33,6;35,44;38,66;25,98;9,61
44;"Malilla";10;103;66;26,29;28,24;26,42;25,55;27,61;27,76;28,34;16,3;7,92
45;"Fonteta de Sant Lluís";10;104;66;27,47;31,16;31,27;20,32;24,98;40,05;34,77;25,88;10,68
46;"na Rovella";10;105;66;37,72;36,4;37,97;32,06;37,04;37,48;42,77;27,04;9,93
47;"la Punta";10;106;66;28,61;34,37;32,44;30,2;26,65;35,07;26,82;17,62;4,72
48;"Ciutat de les Arts i les Ciències";10;107;66;27,7;32,99;26,4;31,17;33,71;32,07;34,33;20,56;8,37
49;"el Grau";11;111;66;35,75;34,31;31,67;30,36;33,68;31,97;38,25;19,37;9,44
50;"el Cabanyal-el Canyamelar";11;112;66;29,39;31,85;28,07;28,77;30,46;33,05;34,02;23,57;8,02
51;"la Malva-rosa";11;113;66;29,11;31,49;30,31;33,88;31,86;34,25;32,03;23,16;9,14
52;"Beteró";11;114;66;27,64;30,74;27,35;23,12;32,79;31,86;28,29;14,81;7,15
53;"Natzaret";11;115;66;28,83;38,8;37,54;28,86;32,1;31,17;31,05;31,52;10,12
54;"Aiora";12;121;66;30,77;29,17;30,34;27,03;29;31,06;29,28;19,78;8,76
55;"Albors";12;122;66;32,06;31,75;31,47;30,37;28,05;32,88;37,83;21,13;8,59
56;"la Creu del Grau";12;123;66;34,49;33,43;32,33;28,17;29,49;33,41;30,51;21,24;7,66
57;"Camí Fondo";12;124;66;37,1;33,3;32,64;28,72;34,23;34,61;35,86;21,09;8,51
58;"Penya-roja";12;125;66;34,49;29,93;35,73;28,24;30,53;33,93;32,13;18,56;9,14
59;"l'Illa Perduda";13;131;66;22,81;25,09;23,84;20,26;20,08;27,88;26,56;15,62;8,16
60;"Ciutat Jardí";13;132;66;33,65;32,4;32,12;35,39;32,14;34,52;32,24;21,93;8,96
61;"l'Amistat";13;133;66;37,76;38,01;35,45;33,27;34,92;36,37;43,04;27,67;7,73
62;"la Bega Baixa";13;134;66;28,09;27,67;32,44;26,14;24,64;27,39;32,48;16,64;8,85
63;"la Carrasca";13;135;66;27,88;26,68;29,77;32,73;28,68;27,69;36,41;18,03;8,71
64;"Benimaclet";14;141;66;32,14;33,63;30,54;32,12;33,29;35,83;40,33;23,37;9,05
65;"Camí de Vera";14;142;66;25,19;22;30,88;25,91;22,48;25,97;28,79;18,71;5,77
66;"Orriols";15;151;66;44,49;46,76;44,32;38,55;43,75;48,23;45,43;28,66;10,39
67;"Torrefiel";15;152;66;33,3;36,62;30,32;36,54;32,08;34,34;33,77;20,96;9,91
68;"Sant Llorenç";15;153;66;26,72;24,54;24,81;23,74;19,93;24,55;23,16;18,15;10,04
69;"Benicalap";16;161;66;33,32;34,23;33,21;31,18;31,46;34,49;29,93;22,19;9,18
70;"Ciutat Fallera";16;162;66;35,93;34,58;34,27;40,32;35,76;39,88;39,06;21,72;13,05
71;"Benifaraig";17;171;66;23,75;13,99;17,94;15,86;17,77;17,77;34,95;22,26;9,11
72;"Poble Nou";17;172;66;27,7;49,38;27;30,32;35,73;43,84;38,78;29,83;5,53
73;"Carpesa";17;173;66;33,16;22,84;29,34;15,54;26,48;24,3;26,16;18,6;1,69
74;"Cases de Bàrcena";17;174;66;52,56;33,15;53,67;20,03;80;28,99;54,36;25,32;25,21
75;"Mauella";17;175;66;92,59;0;121,21;0;42,11;43,01;21,05;18,52;17,24
76;"Massarrojos";17;176;66;35,19;30;37,28;37,84;41,49;42,45;40,94;35,37;6,18
77;"Borbotó";17;177;66;20,73;23,96;19,7;30,53;27,89;22,41;23,66;10,95;4,06
78;"Benimàmet";18;181;66;36,76;40,81;41,49;36,15;42,04;34,83;38,83;29,09;10,78
79;"Beniferri";18;182;66;55,29;30,27;35,91;35,15;36,06;31,4;35,12;26,9;10,11
80;"el Forn d'Alcedo";19;191;66;33,27;35,48;38,38;30,55;33,7;21,87;42,25;29,3;10,32
81;"el Castellar-l'Oliverar";19;192;66;26,47;20,95;19,93;20,43;21,25;19,09;19,55;14,82;4,84
82;"Pinedo";19;193;66;30,69;32,18;18,5;26,07;20,83;18,77;17,92;8,19;7,43
83;"el Saler";19;194;66;30,42;41,33;32,82;34,29;37,06;28,28;31,23;28,32;11,88
84;"el Palmar";19;195;66;13,25;7,98;10,53;24,87;9,14;14,41;15,77;7,81;0
85;"el Perellonet";19;196;66;46,08;42,27;36,74;50,05;37,97;36,92;40,95;33,4;10,9
86;"la Torre";19;197;66;57,66;56,56;50,34;37,01;44,94;44,58;46,36;33,81;14,76
87;"Faitanar";19;198;66;41,93;45,18;42,41;60,78;66,93;60,61;61,05;34,79;9,79
