"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;60;17,21;15,34;9,91;9,06;6,95;11,25;7,59;10,76;1,26;4,92
2;"la Xerea";1;12;60;12,72;13,76;15,23;17,17;12,2;16,41;15,26;9,96;3,8;3,36
3;"el Carme";1;13;60;10,64;13,65;15,85;13,55;14,24;15,26;14,24;11,34;3,87;2,65
4;"el Pilar";1;14;60;13,95;10,22;14,96;9,51;18,83;15,91;15,12;8,54;2,85;2,78
5;"el Mercat";1;15;60;10,33;11,5;12,47;12,95;11,75;11,12;9,97;7,68;2,18;3,68
6;"Sant Francesc";1;16;60;11,24;12,64;15,86;12,82;13,87;11,76;9,43;9,42;2,61;3,56
7;"Russafa";2;21;60;11,22;9,78;11,58;10,69;10,87;11,06;8,01;7,15;4;2,6
8;"el Pla del Remei";2;22;60;7,45;12,24;11,99;10,83;11,55;9,47;10,18;6,74;2,6;2,1
9;"Gran Via";2;23;60;12,28;11,96;12,59;13,08;11,21;10,84;11,77;7,89;3,25;3,26
10;"el Botànic";3;31;60;13,2;11,27;12,44;11,14;9,25;9,51;12,16;9,86;2,61;1,74
11;"la Roqueta";3;32;60;14,97;9,75;11,42;8,97;11,53;12,32;12,68;9,19;3,32;0,84
12;"la Petxina";3;33;60;10,79;11,16;11,5;9,45;11,16;13,13;7,55;8,07;3,56;2,96
13;"Arrancapins";3;34;60;10,88;9,96;10,16;10,78;9,09;9,73;8,66;9,13;3,16;2,93
14;"Campanar";4;41;60;6,86;8,37;7,08;7,52;7,36;7,85;8,34;4,98;2,42;2,26
15;"les Tendetes";4;42;60;8,88;9,67;12,61;8,66;9,27;5,32;4,96;7,43;2,48;1,77
16;"el Calvari";4;43;60;12,9;16,39;10,06;12,44;11,19;12,25;10,03;7,2;3,03;3,33
17;"Sant Pau";4;44;60;3,8;3,32;3,11;3,88;4,76;4,12;4,42;3,23;1,27;1,34
18;"Marxalenes";5;51;60;8,32;9,79;10,28;7,65;10,21;8,97;10,07;6,58;2,7;2,88
19;"Morvedre";5;52;60;13,94;13,39;12,24;16,88;14,94;14,46;13,23;10,28;3,78;3,46
20;"Trinitat";5;53;60;11,68;12,7;12,44;14,92;12,05;9,79;11,47;8,17;4,21;1,41
21;"Tormos";5;54;60;8,1;10,88;9,66;8,74;7,01;8,04;7,1;7,37;2,49;2,94
22;"Sant Antoni";5;55;60;8,11;7,83;8,24;7,25;9,71;4,83;7,13;6,56;2,32;2,91
23;"Exposició";6;61;60;8,97;8,42;7,51;9,1;8,48;6,53;9,26;8,71;3,26;2,44
24;"Mestalla";6;62;60;4,94;7,29;7,09;7,71;8,27;9,05;8,03;6,35;3,18;1,53
25;"Jaume Roig";6;63;60;8,13;8,56;6,6;9,45;6,85;9,94;9,94;5,14;2,29;2,6
26;"Ciutat Universitària";6;64;60;10,23;8,4;7,76;11,18;7,53;10,09;6,72;7,97;1,96;3,37
27;"Nou Moles";7;71;60;8,72;9,48;9,55;9,55;12,42;11,07;8,6;7,48;2,56;2,89
28;"Soternes";7;72;60;7,35;11,29;10,78;8,31;7,56;7,64;9,24;7,75;2,34;2,74
29;"Tres Forques";7;73;60;12,91;15,46;14,06;17,11;16,72;11,74;11,24;9,98;4,15;3,33
30;"la Fontsanta";7;74;60;15,9;9,68;5,72;9,78;6,29;11,95;6,2;8,36;3,89;3,34
31;"la Llum";7;75;60;4,54;6,83;7,24;6,88;4,18;3,03;6,76;5,62;2,25;3,04
32;"Patraix";8;81;60;8,39;8,61;9,39;8,15;9,77;9,44;7,85;7,65;3,12;3,06
33;"Sant Isidre";8;82;60;4,19;5,38;4,76;4,55;6,9;4,5;6,04;4,9;2,36;2,1
34;"Vara de Quart";8;83;60;6,59;5,83;8,51;8,83;8,45;6,49;5,61;6,91;2,37;1,49
35;"Safranar";8;84;60;6,87;5,55;6,15;3,99;7,74;6,29;6,05;4,94;2,45;0,81
36;"Favara";8;85;60;10;10,05;5,57;7,72;4,37;8,17;3,24;6,37;2,11;1,61
37;"la Raiosa";9;91;60;8,61;9,53;8,08;10,16;8,14;8,37;7,67;7,03;2,73;1,88
38;"l'Hort de Senabre";9;92;60;6,08;7,61;7,84;5,18;5,84;6,96;8,56;8,22;2,74;2,31
39;"la Creu Coberta";9;93;60;5,4;8,89;6,69;7,62;8,55;7,57;8,83;4,45;1,27;4,17
41;"Camí Real";9;95;60;7,16;7,78;3,33;2,21;5,45;3,18;3,64;3,63;2,59;1,03
42;"Mont-Olivet";10;101;60;8,31;11,28;9,8;10,43;10;11,16;9,34;8,05;2,84;3,42
43;"en Corts";10;102;60;8,32;9,83;9,85;9,41;9,89;8,52;11,06;6,42;3,05;1,28
44;"Malilla";10;103;60;5,07;6,84;5,7;5,59;6,97;6,98;8,48;5,04;1,47;1,37
45;"Fonteta de Sant Lluís";10;104;60;10,33;9,07;15,47;6,98;7,46;11,47;9,38;4;4,69;1,31
46;"na Rovella";10;105;60;10,05;8,17;6,44;10,67;6,71;9,72;8,5;6,55;5,6;4,14
47;"la Punta";10;106;60;9,17;7,93;5,36;11,37;8,3;12,01;6,68;7,94;2,86;2,14
48;"Ciutat de les Arts i les Ciències";10;107;60;4,57;5,99;2,72;4,39;4,01;3,09;4,32;4,97;4,43;1,54
49;"el Grau";11;111;60;7,06;6,85;5,8;5,61;6,63;7,82;7;7,21;2,05;2,04
50;"el Cabanyal-el Canyamelar";11;112;60;10,17;10,16;13,13;11,66;11,56;11,04;10,64;10,38;3,66;5,16
51;"la Malva-rosa";11;113;60;9,2;7,82;9,02;10,01;8,45;11,35;6,63;7,22;3,31;2,27
52;"Beteró";11;114;60;6,64;5,68;8,99;8,32;9,07;6,22;7,2;5,77;1,68;2,42
53;"Natzaret";11;115;60;9,4;13,17;8,63;9,67;8,25;8,83;10,06;6,41;2,55;4,18
54;"Aiora";12;121;60;8,16;8,21;7,04;7,87;9,78;9,65;6,42;6,56;3,16;3,04
55;"Albors";12;122;60;8,2;8,49;13,08;8,04;9,28;11,11;9,14;8,96;2,14;1,07
56;"la Creu del Grau";12;123;60;5,43;5,69;9,47;7,36;6,14;7,71;8,64;6,91;3,66;1,58
57;"Camí Fondo";12;124;60;6,79;6,4;10,72;6,79;13,41;11,78;7,56;8,79;4,19;2,11
58;"Penya-roja";12;125;60;3,42;2,63;3,71;2,95;2,56;2,53;3,44;2,28;0,9;0,6
59;"l'Illa Perduda";13;131;60;9,25;10,84;8,73;9,86;9,37;9,79;6,34;6,38;2,22;2,01
60;"Ciutat Jardí";13;132;60;7,65;9,16;11,27;6,82;6,14;7,27;5,86;4,9;4,12;2,25
61;"l'Amistat";13;133;60;9,26;8,25;8,55;9,94;10,79;8,65;7,3;5,67;2,16;3,53
62;"la Bega Baixa";13;134;60;14,12;6,97;5,3;9,28;5,64;6,34;8,09;5,47;3,46;1,4
63;"la Carrasca";13;135;60;5,51;2,74;8,15;8,67;4,85;2,67;5,93;4,92;2,73;0,57
64;"Benimaclet";14;141;60;7,52;8,57;8,24;8,05;8,21;8,73;7,36;6,33;3,04;2,12
65;"Camí de Vera";14;142;60;5,69;2,84;6,03;7,45;3,53;6,34;3,88;6,03;2,49;1,81
66;"Orriols";15;151;60;7,54;9,41;7,02;6,24;9,73;9,06;7,23;4,71;2,25;2,76
67;"Torrefiel";15;152;60;6,82;8,27;6,4;6,13;7,64;7,01;6,85;6,52;3,44;2,89
68;"Sant Llorenç";15;153;60;3,44;3,36;3,84;3,27;3,06;2,86;3,02;1,77;1,77;0,71
69;"Benicalap";16;161;60;5,93;6,1;6,27;7,37;7,1;6,91;7,33;5,23;3,09;2,55
70;"Ciutat Fallera";16;162;60;6,97;5,38;7,14;6,83;7,47;9,42;6,01;5,28;3,3;1,66
71;"Benifaraig";17;171;60;9,49;11,4;5,66;15,15;11,42;11,37;13,37;9,66;5,8;3,88
72;"Poble Nou";17;172;60;9,11;16,28;16,36;18,54;11,35;2,21;2,18;8,65;2,15;2,13
73;"Carpesa";17;173;60;6,26;14,14;10,98;10,95;6,27;6,3;4,75;6,4;1,61;1,6
74;"Cases de Bàrcena";17;174;60;11,2;22,73;11,83;5,92;29,15;24,02;5,88;5,65;0;0
75;"Mauella";17;175;60;40,82;0;0;0;46,51;47,62;0;0;38,46;0
76;"Massarrojos";17;176;60;11,94;12,51;13,12;6,5;14,62;18,62;10,52;14,48;4,8;1,56
77;"Borbotó";17;177;60;16,24;22,38;11,27;16,67;8,36;2,79;2,78;13,74;16,35;0
78;"Benimàmet";18;181;60;7,02;7,98;6,05;6,35;7,7;6,41;6,28;5,23;1,89;2,17
79;"Beniferri";18;182;60;7,55;1,88;5,48;1,79;0;1,66;3,24;1,64;0;0
80;"el Forn d'Alcedo";19;191;60;9,52;14,49;4,91;16,39;6,5;11,24;12,67;7,84;4,69;0
81;"el Castellar-l'Oliverar";19;192;60;7,38;8,59;10,03;8,88;11,5;9,83;7,8;5,17;2,86;2,01
82;"Pinedo";19;193;60;9,75;11,3;9,74;6,78;11,39;6,08;11,34;9,78;4,51;2,95
83;"el Saler";19;194;60;1,22;1,23;3,72;2,49;4,88;5,85;4,52;4,36;2,14;1,08
84;"el Palmar";19;195;60;10,34;7,74;15,27;0;7,57;4,99;15;14,85;2,46;2,49
85;"el Perellonet";19;196;60;5,51;2,81;8,52;5,73;13,14;1,48;4,41;4,26;2,79;1,38
86;"la Torre";19;197;60;12,36;12,2;7,27;7,65;9,22;7,03;6,47;8,01;2,01;1,21
87;"Faitanar";19;198;60;2,74;10,08;4,56;8,28;7,55;3,38;1,48;4,03;0;1,25
