"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;88;58658,8;60283,72;62125,39;62194,48;62082,79
2;"la Xerea";1;12;88;76717,92;79364,3;83510,14;83525,5;83526,68
3;"el Carme";1;13;88;34864,06;35942,15;37100,5;37092,51;37144,38
4;"el Pilar";1;14;88;41470,62;43001,26;44239,13;44071,21;44107,27
5;"el Mercat";1;15;88;51669,41;52997,09;54465,84;54377,33;54476,06
6;"Sant Francesc";1;16;88;94675,12;97214,78;100204,9;100033,1;100075,48
7;"Russafa";2;21;88;45427,83;46836,6;48218,11;48322,67;48428,9
8;"el Pla del Remei";2;22;88;133199,52;137137,09;141180,76;141291,92;141191,65
9;"Gran Via";2;23;88;77245,89;79548,58;82008,57;82142,94;82097,24
10;"el Botànic";3;31;88;45051,65;46350,16;47702,17;47669,99;47710,26
11;"la Roqueta";3;32;88;51699,7;53235,06;54901,19;54899,57;54957,74
12;"la Petxina";3;33;88;52712,61;54266,29;55896,82;55899,88;56141,54
13;"Arrancapins";3;34;88;60494,21;62386,59;64258,2;64269,36;64303,45
14;"Campanar";4;41;88;51722,78;53281,52;54898,2;54927,2;54944,26
15;"les Tendetes";4;42;88;38652,42;39811,99;40995,1;40994,64;40971,46
16;"el Calvari";4;43;88;24373,4;25102,34;25849,87;25845,81;25867,9
17;"Sant Pau";4;44;88;67698,29;69729,74;71822,35;71936,8;71697,13
18;"Marxalenes";5;51;88;32389,5;33353,9;34342,63;34665,47;34737,34
19;"Morvedre";5;52;88;34095,13;35248,93;36388,68;36387,85;36398,91
20;"Trinitat";5;53;88;36863,24;37969,14;39108,32;39199,25;39214,8
21;"Tormos";5;54;88;31313,91;32253,32;33199,51;33196,28;33189,47
22;"Sant Antoni";5;55;88;39909,02;41080,22;42312,62;42318,13;42558,64
23;"Exposició";6;61;88;99944,13;102942,45;106169,26;106491,51;106404,74
24;"Mestalla";6;62;88;65372,24;67320,06;69298,86;69307,93;69278,57
25;"Jaume Roig";6;63;88;104922,73;108070,41;111304,67;111304,72;111212,24
26;"Ciutat Universitària";6;64;88;65222,28;67133,08;69123,35;69123,35;69081,71
27;"Nou Moles";7;71;88;35130,07;36185,71;37329,88;37369,21;37480,77
28;"Soternes";7;72;88;30108,95;31012,22;31942,58;31942,58;31936
29;"Tres Forques";7;73;88;24697,35;25438,26;26203,32;26203,32;26203,32
30;"la Fontsanta";7;74;88;22615,82;23294,29;23993,11;23993,11;23993,12
31;"la Llum";7;75;88;39978,15;41177,49;42412,81;42412,81;42412,81
32;"Patraix";8;81;88;42811,47;44098,14;45410,16;45459,84;45606,58
33;"Sant Isidre";8;82;88;42794,18;44077,57;45397,12;45800,07;46048,02
34;"Vara de Quart";8;83;88;40769,43;41992,48;43262,16;43262,16;43267,44
35;"Safranar";8;84;88;46025,83;47314,15;49191,54;49566,95;49850,54
36;"Favara";8;85;88;38476,55;39630,85;40832,17;40818,17;40849,83
37;"la Raiosa";9;91;88;39653,6;40836,69;42098,02;42093,31;42190,28
38;"l'Hort de Senabre";9;92;88;35252,43;36302,29;37391,14;37391,14;37383,79
39;"la Creu Coberta";9;93;88;33380,4;34381,81;35396,89;35425,12;35412,87
41;"Camí Real";9;95;88;36146,53;37217,84;38334,37;38334,37;38317,06
42;"Mont-Olivet";10;101;88;35966,46;37027,01;38132,35;38144,86;38159,35
43;"en Corts";10;102;88;34212,88;35239,8;36428,13;36448,28;36509,59
44;"Malilla";10;103;88;40119,73;41220,33;42495,64;42841,55;43032,45
45;"Fonteta de Sant Lluís";10;104;88;28822,04;29686,69;30577,29;30587,28;32745,3
46;"na Rovella";10;105;88;32045,25;33006,61;33996,8;33996,8;33996,81
47;"la Punta";10;106;88;46702,72;48000,16;50892,55;50859,97;52331,81
48;"Ciutat de les Arts i les Ciències";10;107;88;59934,27;62217,45;64073,16;64066,94;65009,48
49;"el Grau";11;111;88;36110,63;37186,23;38301,79;38506,96;39037,29
50;"el Cabanyal-el Canyamelar";11;112;88;25564,94;26361,18;27230,08;27286,89;27300,56
51;"la Malva-rosa";11;113;88;29850,04;30745,95;31686,57;31687,53;32009,12
52;"Beteró";11;114;88;38221,49;39385,55;40580,41;40580,41;40578,98
53;"Natzaret";11;115;88;25044,89;25789,01;26586,91;26603,73;26605,47
54;"Aiora";12;121;88;33962,21;34976,9;36017,88;36120,03;36135,21
55;"Albors";12;122;88;39078,29;40247,14;41514,17;41516,8;41501,51
56;"la Creu del Grau";12;123;88;33389,59;34402,3;35429,95;35442,68;35431,3
57;"Camí Fondo";12;124;88;39821,14;41015,77;42281,8;42397,15;42406,91
58;"Penya-roja";12;125;88;90641,57;93360,56;96314,54;97002,12;97107,59
59;"l'Illa Perduda";13;131;88;35225,52;36284,94;37365,09;37365,09;37362,88
60;"Ciutat Jardí";13;132;88;46084,71;47467,63;48891,66;48891,85;48891,85
61;"l'Amistat";13;133;88;37535,13;38661,44;39809,74;39805,74;39805,74
62;"la Bega Baixa";13;134;88;56147,64;57832,15;59567,03;59567,03;59572,01
63;"la Carrasca";13;135;88;55200,39;56857,96;58580,93;58644,94;58664,28
64;"Benimaclet";14;141;88;41072,19;42317,32;43587,12;43668,26;43673,55
65;"Camí de Vera";14;142;88;48419,99;49872,58;51384,69;51322,26;51322,26
66;"Orriols";15;151;88;26015,61;26799,59;27600,26;27595,32;27593,42
67;"Torrefiel";15;152;88;31011,82;31938,07;32880,64;32885,34;32883,09
68;"Sant Llorenç";15;153;88;62944,03;64808,85;66754,56;66745,56;66802,46
69;"Benicalap";16;161;88;39160,77;40336,39;41609,69;41874,92;42358,43
70;"Ciutat Fallera";16;162;88;27118,72;27928,82;28760,59;28756,15;28683,06
71;"Benifaraig";17;171;88;46046,94;47705,41;49172,04;49066,26;49097,93
72;"Poble Nou";17;172;88;34890,69;35657,75;36742,51;36669,04;36942,32
73;"Carpesa";17;173;88;40851,12;41916,22;43066;43355,87;43503,15
74;"Cases de Bàrcena";17;174;88;26707,36;27300,29;27544,49;27393,83;27393,83
75;"Mauella";17;175;88;24926,75;25786,7;26739,25;26499,68;27061,77
76;"Massarrojos";17;176;88;70895,69;73117,33;75361,72;75391,05;75592,53
77;"Borbotó";17;177;88;40852,28;42249,74;43522,93;43345,82;43358,65
78;"Benimàmet";18;181;88;33290,14;34330,59;35362,43;35361,31;35369,19
79;"Beniferri";18;182;88;63696,07;65606,94;67576,5;67576,5;67586,68
80;"el Forn d'Alcedo";19;191;88;28236;29083,09;30020,78;30024,43;29859,62
81;"el Castellar-l'Oliverar";19;192;88;37852,64;38931,66;40097,44;40088,18;40110,34
82;"Pinedo";19;193;88;38076,86;39006,01;40289,11;40227,03;40270,93
83;"el Saler";19;194;88;47135,21;48563;49878,51;49878,51;49869,04
84;"el Palmar";19;195;88;41880,5;42969,66;44304,13;44372,41;44414,14
85;"el Perellonet";19;196;88;44635,41;45945,15;47359,77;47747,84;47769,13
86;"la Torre";19;197;88;27294,04;28084,1;28930,72;28930,72;28929,52
87;"Faitanar";19;198;88;47962,36;49361,54;50769,34;50191,79;50191,79
