"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;36;81,93;82,8;83,2;82,78;81,9;80,72;79,64;79,85;77,49;78,23;76,81;73,99;73,11
2;"la Xerea";1;12;36;85,77;86,13;86,09;85,74;85,67;85,33;84,53;84,56;84,49;84,16;83,51;81,97;81,04
3;"el Carme";1;13;36;83,09;83,35;83,43;83,03;83,39;82,42;80,5;80,36;79,51;79,08;77,13;74,42;72,79
4;"el Pilar";1;14;36;79,58;81,41;80,68;79,99;79,79;79,63;78,41;78,38;77,24;77,31;75,19;72,95;71,55
5;"el Mercat";1;15;36;81,35;81,44;81,27;81,75;81,59;81,24;80,42;80,4;78,85;77,74;76,39;73,8;71,27
6;"Sant Francesc";1;16;36;87,83;89,18;88,55;89,55;89,92;88,49;86,9;85,73;84,23;83,59;82,32;81,41;79,8
7;"Russafa";2;21;36;80,12;81,19;81,23;81,95;82,69;82,76;82,35;82,67;82;82,18;81,53;80,4;79,78
8;"el Pla del Remei";2;22;36;93,6;94,1;93,9;94,2;94,05;93,67;93,41;93,06;92,11;92,01;91,04;90,2;89,55
9;"Gran Via";2;23;36;90,64;91,32;91,24;91,23;91,32;91,28;90,97;90,97;90,32;90,23;89,26;88,44;88
10;"el Botànic";3;31;36;82,38;82,53;81,83;81,69;82,73;82,66;82,26;82,19;81,57;82,55;81,36;79,65;78,11
11;"la Roqueta";3;32;36;77,5;78,21;77,82;77,62;77,33;76,37;75,8;75,93;75,38;75,16;73,54;71,56;70,28
12;"la Petxina";3;33;36;86,37;86,93;86,52;86,4;86,43;85,97;85,6;85,78;85,72;85,88;85,19;84,67;84,13
13;"Arrancapins";3;34;36;86,62;86,76;86,54;86,71;86,96;86,86;86,55;86,15;85,8;85,81;85,05;84,7;84,29
14;"Campanar";4;41;36;87,15;87,25;87,32;87,53;87,87;87,68;87,4;87,89;87,31;86,9;85,94;85,37;84,71
15;"les Tendetes";4;42;36;75,93;77,13;76,81;77,05;77,36;77,03;76,99;76,89;74,96;74,57;73,61;72,15;70,69
16;"el Calvari";4;43;36;72,86;73,24;73,02;73,16;74,11;74,23;73,21;71,88;70,71;68,38;64,85;63,81;62,16
17;"Sant Pau";4;44;36;87,49;87,48;86,99;87,21;87,13;86,83;86,56;86,08;85,51;84,94;84,14;83,69;82,58
18;"Marxalenes";5;51;36;78,69;79,62;79,12;80,2;81,05;80,47;79,59;79,05;77,85;77,03;75,8;74,77;74,44
19;"Morvedre";5;52;36;80,49;81,03;80,89;80,64;81,17;81,23;80,91;80,77;79,9;79,67;79,05;78,19;77,89
20;"Trinitat";5;53;36;80,57;81,82;81,53;81,93;81,99;81,38;80,57;80,21;79,54;79,48;78,86;77,08;76,05
21;"Tormos";5;54;36;78,64;80,45;79,97;80,74;80,94;80,63;80,42;79,73;77,75;77,1;75,86;75,25;74,49
22;"Sant Antoni";5;55;36;85,69;86,54;86;86,98;86,93;86,31;86,03;85,8;84,63;84,69;84,19;83,64;83,18
23;"Exposició";6;61;36;92,34;92,98;92,52;92,6;92,63;91,98;91,13;91,05;90,33;91;90,23;89,1;88,83
24;"Mestalla";6;62;36;84,75;85,54;85,28;85,15;85,83;85,3;84,92;84,91;83,96;84,12;83,8;83,04;82,7
25;"Jaume Roig";6;63;36;90,73;90,8;90,67;90,62;90,39;90,38;90,32;90,11;89,9;89,92;89,75;89,38;89,73
26;"Ciutat Universitària";6;64;36;90,53;89,96;89,27;89,14;90,5;89,52;88,92;87,89;87,44;87,86;87,6;86,01;85,93
27;"Nou Moles";7;71;36;78,5;78,85;78,67;79,24;79,44;79,3;78,74;78,38;76,88;76,08;74,97;73,83;73,2
28;"Soternes";7;72;36;79,23;79,72;80,58;81,37;81,83;81,85;80,92;80,87;80,31;79,88;78,16;77,14;76,99
29;"Tres Forques";7;73;36;75,47;75,19;74,9;75,71;75,4;74,6;73,25;72,4;70,65;68,66;66,43;64,75;63,33
30;"la Fontsanta";7;74;36;75,85;76,33;75,07;75,45;76,18;75,77;76,08;76,24;75,08;74,68;72,4;70,73;69,27
31;"la Llum";7;75;36;86,89;87,34;87,41;87,53;87,69;87,49;87,14;87,07;86,65;85,84;84,52;83,63;83,75
32;"Patraix";8;81;36;84,16;84,93;84,5;84,82;84,8;84,81;84,32;84,51;83,25;83,04;82,07;81,4;80,79
33;"Sant Isidre";8;82;36;89,75;90,05;90,26;90,53;90,84;90,58;90,55;90,58;89,66;89,4;88,48;88,25;87,65
34;"Vara de Quart";8;83;36;89,59;89,68;89,52;90,03;89,72;89,41;88,71;88,23;87,95;87,69;86,87;85,81;85,49
35;"Safranar";8;84;36;91,25;91,21;91,25;91,05;91,38;91,2;91,01;91,09;90,84;90,39;89,86;89,64;89,4
36;"Favara";8;85;36;80,8;79,35;79,1;79,61;80,4;80,59;80,39;79,81;79,49;79,27;78,38;76,81;77,35
37;"la Raiosa";9;91;36;77,94;78,5;77,57;78,15;78,72;78,66;77,7;76,84;75,55;74,68;73,24;72,65;72,18
38;"l'Hort de Senabre";9;92;36;84,64;84,56;84,09;84,19;84,11;84,01;83,55;83,35;82,34;81,83;80,83;79,82;79,2
39;"la Creu Coberta";9;93;36;83,91;84,16;83,97;84,74;85,16;84,4;84,22;83,98;82,65;81,65;80,8;79,7;78,84
41;"Camí Real";9;95;36;84,07;84,82;84,64;85,86;86,65;86,74;87,06;86,96;86,4;84,82;83,29;82,39;81,81
