"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;34;61,4;62,31;62,76;62,55;62,34;61,37;60,71;61,01;58,77;59,51;58,37;56,71;56,54
2;"la Xerea";1;12;34;65,08;65,55;65,65;65,74;66,09;66,37;66,07;66,31;66,37;66,53;66,29;64,81;64,11
3;"el Carme";1;13;34;63,91;64,48;64,9;64,78;65,08;64,54;63,54;63,28;62,78;62,71;61,4;59,53;58,15
4;"el Pilar";1;14;34;58,63;60,23;59,69;59,2;59,29;59,2;58,69;58,98;58,32;58;57,04;55,83;54,58
5;"el Mercat";1;15;34;62,15;63;62,89;63,36;63,65;63,67;63,68;63,68;62,64;61,97;61,65;59,56;57,76
6;"Sant Francesc";1;16;34;70,32;71,56;71,38;72,24;72,86;71,66;70,43;69,64;68,48;68,42;67,25;66,83;65,6
7;"Russafa";2;21;34;62,64;63,58;63,72;64,28;65,09;65,25;65,05;65,33;65,07;65,39;65,16;64,29;63,94
8;"el Pla del Remei";2;22;34;74,97;75,57;75,29;75,63;75,67;75,63;75,76;75,55;75,11;75,35;74,63;74,01;73,72
9;"Gran Via";2;23;34;72,06;73,04;72,98;73,33;73,45;73,71;73,6;73,49;73,26;73,47;72,97;72,34;72,26
10;"el Botànic";3;31;34;64,14;64,33;64,17;64,52;65,19;65,17;65,25;65,48;64,8;65,73;65,07;63,82;62,91
11;"la Roqueta";3;32;34;61,04;61,66;61,99;62,07;62,21;61,05;60,68;60,46;60,22;59,97;58,7;57,17;55,45
12;"la Petxina";3;33;34;67,69;68,5;68,35;68,44;68,58;68,35;68,31;68,58;68,93;69,16;68,72;68,54;68,49
13;"Arrancapins";3;34;34;68,44;68,77;68,95;69,18;69,53;69,52;69,42;69,27;69,13;69,22;68,56;68,48;68,22
14;"Campanar";4;41;34;63,84;64,01;64,56;64,63;65,17;65,16;65,09;65,51;65,44;64,99;64,54;64,33;64
15;"les Tendetes";4;42;34;53,77;54,99;55,02;55,33;55,65;55,75;56,04;56,35;55,01;54,69;54,03;53,16;52,09
16;"el Calvari";4;43;34;46,6;46,95;47,66;48;48,88;49,25;48,36;47,96;47,84;46,65;44,35;43,91;43,29
17;"Sant Pau";4;44;34;62,12;62,43;62,49;63,29;63,17;62,89;63,01;63,02;63,03;62,79;62,15;62,14;61,33
18;"Marxalenes";5;51;34;55,72;56,67;56,58;57,67;58,37;58,05;57,63;57,51;56,73;56,48;55,81;55,19;55,39
19;"Morvedre";5;52;34;60,96;61,39;61,38;61,55;61,71;61,78;61,47;61,6;61,28;61,03;60,52;60,24;60,01
20;"Trinitat";5;53;34;55,49;56,71;56,97;57,91;58,25;58,1;57,79;57,87;57,69;57,68;57,68;56,43;55,64
21;"Tormos";5;54;34;55,61;57,04;57,25;58,13;58,66;58,62;58,7;58,48;57,27;56,68;56,04;55,98;55,69
