"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;21;167,12;185,51;180;167,14;203,17;162,2;146,59;153,12;148,51;148;158,88;148,18;127,78
2;"la Xerea";1;12;21;149,57;155,46;163,93;161,21;139,37;133,08;127,07;115,03;126,76;140,15;140,13;137,82;130,72
3;"el Carme";1;13;21;170,71;158,67;176,64;169,13;183,33;182,27;173,47;176,6;195,77;172,5;158,79;167,03;151,72
4;"el Pilar";1;14;21;130,77;138,84;141,46;179,41;193,41;173,4;146,73;146,96;149,17;138,46;145,6;155,28;130,57
5;"el Mercat";1;15;21;158,24;171,91;161,7;171,11;185,37;157,47;173,26;146,39;132,46;142,37;120;127,97;119,38
6;"Sant Francesc";1;16;21;172,84;200,69;196,64;185,71;174,7;171,1;160,8;148,15;121,5;118,66;111,5;106,81;115,55
7;"Russafa";2;21;21;135,83;136,07;136,31;134,78;142,92;136,36;134,91;135,83;136,56;141,18;146,31;149,3;143,26
8;"el Pla del Remei";2;22;21;161,7;165,35;144,49;153,88;131;122,03;121,07;107,85;116,51;126,39;132,73;137,15;132,3
9;"Gran Via";2;23;21;146,65;141,79;139,04;131,31;140,79;137,71;143,24;134,42;113,33;111,55;103,77;103,07;106,51
10;"el Botànic";3;31;21;154,7;158,89;161,71;138,25;164,71;129,65;128,71;127,96;126,34;127,44;126,61;136,05;132,93
11;"la Roqueta";3;32;21;140,88;121,57;163,2;174,38;160,8;158,12;132,54;116,55;124,83;139,58;146,9;150,99;139,05
12;"la Petxina";3;33;21;114,61;112,61;113,43;115,58;122,18;117,42;124,17;125,14;125,85;130,4;134,4;134,57;137,18
13;"Arrancapins";3;34;21;142,7;145,02;142,38;135,19;139,38;142,3;144,97;148,76;153,92;149,88;140,89;139,39;134,98
14;"Campanar";4;41;21;151,81;159,43;169,41;180,71;186,71;186,68;205,87;213,39;200,53;208,4;214,13;202,94;177,83
15;"les Tendetes";4;42;21;139,64;141,4;156,78;169,49;171,91;192,64;188,54;198,7;202,72;185,53;188,82;186,09;171,52
16;"el Calvari";4;43;21;126,9;129,19;115,06;120,57;126,83;124;130,83;135,21;139,31;138;171,85;173,24;162,89
17;"Sant Pau";4;44;21;125,87;135,31;135,06;139,19;137,44;125,76;119,22;118,46;102,07;94,78;85,06;78,19;81,23
18;"Marxalenes";5;51;21;140,48;143,2;149,1;149,6;152,14;137,83;129,69;137,6;145,38;155,59;153,16;145,48;137,36
19;"Morvedre";5;52;21;108,01;114,44;110,64;117,66;126,97;128,94;137,1;133,33;126,06;129,11;147,43;149,72;164,47
20;"Trinitat";5;53;21;167,57;172,98;165,06;147,06;156,83;141,7;155,32;165,78;145,24;166,35;178,43;167,76;169,27
21;"Tormos";5;54;21;92,8;86,76;90,76;90,73;89,5;85,59;79,55;83,15;91,71;103,38;115,87;137,42;126,55
22;"Sant Antoni";5;55;21;120,1;122,76;122,08;121,84;124,31;131,02;141,57;150,59;147,61;157,1;150,41;149,45;147,25
23;"Exposició";6;61;21;161,69;150,57;135,38;139,26;123,08;118,48;120,61;115,18;113,01;115,08;114,46;117,58;128,8
24;"Mestalla";6;62;21;119,02;115,82;113,12;114,87;115,59;119,86;123,32;139,32;140;138,11;141,18;137,5;135,83
