"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;17;19,29;18,98;19,46;20,3;18,63;19,2;21,02;20,49;20,03;18,75;18,94;18,26;19,01
2;"la Xerea";1;12;17;19,46;18,81;20,43;20,2;20,83;19,8;18,97;20;20,09;20,79;20,81;19,77;18,58
3;"el Carme";1;13;17;18,34;18,42;17,07;17,93;19,52;20,69;20,28;21,19;21,87;21,23;21,19;19,07;18,88
4;"el Pilar";1;14;17;16,24;16,22;17,15;18,01;19,13;19,17;20,05;20,31;19,36;19,06;18,64;17,36;17,88
5;"el Mercat";1;15;17;20,18;19,15;19,69;18,86;19,11;19,58;17,77;18,89;19,05;18,89;17,71;15,92;14,52
6;"Sant Francesc";1;16;17;20,6;20,65;20,56;20,16;19,9;19,76;18,99;19,27;18,33;18,81;18,69;19,26;18,88
7;"Russafa";2;21;17;15,89;16,35;17,63;18,06;18,41;19,37;20,05;20,71;20,66;20,36;19,88;19,87;19,5
8;"el Pla del Remei";2;22;17;16,29;16,49;17,49;18,29;18,12;19,04;19,33;18,72;18,2;17,96;17,52;17,9;18,66
9;"Gran Via";2;23;17;17,67;18,1;18,59;19,34;19,33;20,23;19,83;20,12;20,07;20,37;20,7;21,04;20,99
10;"el Botànic";3;31;17;17,27;18,8;18,85;18,35;18,65;18,84;18,75;18,41;18,55;19,13;18,76;18,91;18,5
11;"la Roqueta";3;32;17;17,77;18,29;19,11;19,03;19,5;21,38;22,11;21,76;21,54;21,75;20,94;21,53;21,44
12;"la Petxina";3;33;17;16,08;16,57;17,33;17,76;18,37;18,47;18,95;19,52;20,14;20,2;20,76;21,53;21,52
13;"Arrancapins";3;34;17;16,07;15,88;16,66;16,86;17,07;17,47;18,14;18,74;19,09;19,18;19,22;18,67;18,41
14;"Campanar";4;41;17;13,33;13,34;13,83;13,25;12,9;12,47;12,14;11,93;11,29;10,85;10,33;10,14;10,77
15;"les Tendetes";4;42;17;13,37;14,2;14,7;14,85;14,41;13,92;13,64;13,54;12,85;12,26;12,41;12,64;13,25
