Indicador;Tema;SubTema;Ind_Esp;Ind_Val
1;Población;Estructura de la población;Población residente;Poblaci√≥ resident
2;Población;Estructura de la población;Densidad de población;Densitat de poblaci√≥
3;Población;Estructura de la población;Variación anual de la población;Variaci√≥ anual de la poblaci√≥
4;Población;Estructura de la población;Relación de masculinidad de la población;Relaci√≥ de masculinitat de la poblaci√≥
5;Población;Estructura de la población;Proporción de población menor de 16 años;Proporci√≥ de poblaci√≥ menor de 16 anys
6;Población;Estructura de la población;Proporción de población de 16 a 64 años;Proporci√≥ de poblaci√≥ de 16 a 64 anys
7;Población;Estructura de la población;Proporción de población mayor de 64 años;Proporci√≥ de poblaci√≥ major de 64 anys
8;Población;Estructura de la población;Población de 0 a 2 años;Poblaci√≥ de 0 a 2 anys
9;Población;Estructura de la población;Población de 3 a 5 años;Poblaci√≥ de 3 a 5 anys
10;Población;Estructura de la población;Población de 6 a 11 años;Poblaci√≥ de 6 a 11 anys
11;Población;Estructura de la población;Población de 12 a 15 años;Poblaci√≥ de 12 a 15 anys
12;Población;Estructura de la población;Proporción de población menor de 18 años;Proporci√≥ de poblaci√≥ menor de 18 anys
13;Población;Estructura de la población;Edad media;Edat mitjana
14;Población;Estructura de la población;Edad media de los hombres;Edat mitjana dels homes
15;Población;Estructura de la población;Edad media de las mujeres;Edat mitjana de les dones
16;Población;Estructura de la población;Índice de envejecimiento;√çndex d'envelliment
17;Población;Estructura de la población;Índice de sobre envejecimiento;√çndex de sobrenvelliment
18;Población;Estructura de la población;Índice demográfico de dependencia global;√çndex demogr√†fic de depend√®ncia global
19;Población;Estructura de la población;Raó de progresividad demográfica;Ra√≥ de progressivitat demogr√†fica
20;Población;Estructura de la población;Índice de estructura de la población en edad activa;√çndex d'estructura de la poblaci√≥ en edat activa
21;Población;Estructura de la población;Índice de reemplazo de la población en edad activa;√çndex de reempla√ßament de la poblaci√≥ en edat activa
22;Población;Estructura de la población;Porcentaje de población de nacionalidad extranjera;Percentatge de poblaci√≥ de nacionalitat estrangera
23;Población;Estructura de la población;Distribución porcentual de la población de nacionalidad extranjera;Distribuci√≥ percentual de la poblaci√≥ de nacionalitat estrangera
24;Población;Estructura de la población;Relación de masculinidad de la población de nacionalidad extranjera;Relaci√≥ de masculinitat de la poblaci√≥ de nacionalitat estrangera
25;Población;Estructura de la población;Edad media de la población extranjera;Edat mitjana de la poblaci√≥ estrangera
26;Población;Estructura de la población;Distribución porcentual de población de nacionalidad extranjera de la Unión Europea;Distribuci√≥ percentual de poblaci√≥ de nacionalitat estrangera de la Uni√≥ Europea
27;Población;Estructura de la población;Distribución porcentual de población de nacionalidad extranjera Europea no UE;Distribuci√≥ percentual de poblaci√≥ de nacionalitat estrangera Europea no UE
28;Población;Estructura de la población;Distribución porcentual de población de nacionalidad extranjera de África;Distribuci√≥ percentual de poblaci√≥ de nacionalitat estrangera d'√Äfrica
29;Población;Estructura de la población;Distribución porcentual de población de nacionalidad extranjera de América del Norte;Distribuci√≥ percentual de poblaci√≥ de nacionalitat estrangera d'Am√®rica del Nord
30;Población;Estructura de la población;Distribución porcentual de población de nacionalidad extranjera de América Central;Distribuci√≥ percentual de poblaci√≥ de nacionalitat estrangera d'Am√®rica Central
31;Población;Estructura de la población;Distribución porcentual de población de nacionalidad extranjera de América del Sur;Distribuci√≥ percentual de poblaci√≥ de nacionalitat estrangera d'Am√®rica del Sud
32;Población;Estructura de la población;Distribución porcentual de población de nacionalidad extranjera de Asia Oceanía o apátrida;Distribuci√≥ percentual de poblaci√≥ de nacionalitat estrangera d'√Äsia, Oceania o ap√†trida
33;Población;Estructura de la población;Índice de autoctonía;√çndex d'autoctonia
34;Población;Estructura de la población;Índice de autoctonía provincial;√çndex d'autoctonia provincial
35;Población;Estructura de la población;Índice de autoctonía Comunidad Valenciana;√çndex d'autoctonia Comunitat Valenciana
36;Población;Estructura de la población;Índice de autoctonía estatal;√çndex d'autoctonia estatal
37;Población;Estructura de la población;Índice de aloctonía estatal;√çndex d'aloctonia estatal
38;Población;Estructura de la población;Índice de autoctonía UE;√çndex d'autoctonia UE
39;Población;Estructura de la población;Población de 18 años o más con nivel de estudios inferior a Bachillerato;Poblaci√≥ de 18 anys o m√©s amb nivell d'estudis inferior a Batxillerat
40;Población;Estructura de la población;Población de 18 o más años con nivel de estudios de Bachillerato o superior;Poblaci√≥ de 18 anys o m√©s amb nivell d'estudis de Batxillerat o superior
41;Población;Convivencia;Número medio de personas por unidad familiar;Nombre mitj√† de persones per full familiar
42;Población;Convivencia;Porcentaje de unidades familiares unipersonales;Percentatge de fulls familiars unipersonals
43;Población;Convivencia;Porcentaje de unidades familiares de 2 personas;Percentatge de fulls familiars de 2 persones
44;Población;Convivencia;Porcentaje de unidades familiares de 3 personas;Percentatge de fulls familiars de 3 persones
45;Población;Convivencia;Porcentaje de unidades familiares de 4 personas;Percentatge de fulls familiars de 4 persones
46;Población;Convivencia;Porcentaje de unidades familiares de 5 o más personas;Percentatge de fulls familiars de 5 o m√©s persones
47;Población;Convivencia;Porcentaje de unidades familiares de sólo personas mayores de 64 años;Percentatge de fulls familiars de nom√©s persones majors de 64 anys
48;Población;Convivencia;Porcentaje de unidades familiares de sólo personas mayores de 79 años;Percentatge de fulls familiars de nom√©s persones majors de 79 anys
49;Población;Convivencia;Mayores de 64 años en unidades familiares unipersonales;Majors de 64 anys en fulls familiars unipersonals
50;Población;Convivencia;Porcentaje de unidades familiares con menores de 18 años;Percentatge de fulls familiars amb menors de 18 anys
51;Población;Convivencia;Porcentaje de unidades familiares con un menor de 18 años;Percentatge de fulls familiars amb un menor de 18 anys
