"Any";"Indicador";"Districte";"Barri";"DT";"BA";"DTBA";"Valor"
2019;"Índex de Gini.";"1. Ciutat Vella";"1.1. la Seu";1;1;11;37,2832137733142
2019;"Índex de Gini.";"1. Ciutat Vella";"1.2. la Xerea";1;2;12;42,2047844374343
2019;"Índex de Gini.";"1. Ciutat Vella";"1.3. el Carme";1;3;13;33,0255623393316
2019;"Índex de Gini.";"1. Ciutat Vella";"1.4. el Pilar";1;4;14;35,3265917602996
2019;"Índex de Gini.";"1. Ciutat Vella";"1.5. el Mercat";1;5;15;37,9543027548992
2019;"Índex de Gini.";"1. Ciutat Vella";"1.6. Sant Francesc";1;6;16;39,551848560256
2019;"Índex de Gini.";"2. l'Eixample";"2.1. Russafa";2;1;21;33,2611268798983
2019;"Índex de Gini.";"2. l'Eixample";"2.2. el Pla del Remei";2;2;22;42,209037692747
2019;"Índex de Gini.";"2. l'Eixample";"2.3. Gran Via";2;3;23;34,6015092748735
2019;"Índex de Gini.";"3. Extramurs";"3.1. el Botànic";3;1;31;33,5281687872443
2019;"Índex de Gini.";"3. Extramurs";"3.2. la Roqueta";3;2;32;38,8398553999096
2019;"Índex de Gini.";"3. Extramurs";"3.3. la Petxina";3;3;33;32,2015986029017
2019;"Índex de Gini.";"3. Extramurs";"3.4. Arrancapins";3;4;34;33,3705056055302
2019;"Índex de Gini.";"4. Campanar";"4.1. Campanar";4;1;41;29,5733724186209
2019;"Índex de Gini.";"4. Campanar";"4.2. les Tendetes";4;2;42;35,2185065551967
2019;"Índex de Gini.";"4. Campanar";"4.3. el Calvari";4;3;43;33,3287080366226
2019;"Índex de Gini.";"4. Campanar";"4.4. Sant Pau";4;4;44;30,5579275605661
2019;"Índex de Gini.";"5. la Saïdia";"5.1. Marxalenes";5;1;51;32,069213670464
2019;"Índex de Gini.";"5. la Saïdia";"5.2. Morvedre";5;2;52;32,2324780134506
2019;"Índex de Gini.";"5. la Saïdia";"5.3. Trinitat";5;3;53;32,5058725477625
2019;"Índex de Gini.";"5. la Saïdia";"5.4. Tormos";5;4;54;31,7642517125276
2019;"Índex de Gini.";"5. la Saïdia";"5.5. Sant Antoni";5;5;55;30,5956127553147
2019;"Índex de Gini.";"6. el Pla del Real";"6.1. Exposició";6;1;61;34,9199939867709
2019;"Índex de Gini.";"6. el Pla del Real";"6.2. Mestalla";6;2;62;34,423532616097
2019;"Índex de Gini.";"6. el Pla del Real";"6.3. Jaume Roig";6;3;63;33,4438401253919
2019;"Índex de Gini.";"6. el Pla del Real";"6.4. Ciutat Universitària";6;4;64;30,1880088823094
