;;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value
Ind_Esp;;% Viviendas con valor catastral mayor de 48.000 euros;% Viviendas con valor catastral menor de 18.000 euros;Número de viviendas;Porcentaje de viviendas con menos de 10 años;Porcentaje de viviendas con menos de 5 años;Porcentaje de viviendas con más de 50 años;Porcentaje de viviendas de menos de 60 metros cuadrados;Porcentaje de viviendas de menos de 80 metros cuadrados;Porcentaje de viviendas de más de 120 metros cuadrados;Superficie construida media de las viviendas;Superficie de aparcamiento por turismo;Superficie de aparcamiento por vivienda;Superficie total de aparcamientos;Superficie total de solares;Valor catastral medio por metro cuadrado;Valor catastral medio por vivienda
DTBA;Year;;;;;;;;;;;;;;;;
11;2018;50,33;6,07;2161;8,96;1,45;58,26;11,86;28,34;44,68;126,32;13,38;14,41;31141;2283;462,36;58658,8
11;2019;51,69;5,76;2156;7,77;1,22;58,75;11,94;28,6;44,76;126,13;13,37;14,76;31827;2412;476,13;60283,72
11;2020;53,32;5,28;2143;5,93;0,85;59,82;11,96;28,64;44,7;125,78;13,1;14,77;31658;2255;491,85;62125,39
11;2021;53,41;5,27;2147;5,74;0,75;61,73;11,94;28,63;44,57;125,63;13,17;14,8;31778;2142;492,44;62194,48
11;2022;53,3;5,37;2142;4,57;0,9;61,4;12,02;28,79;44,34;124,59;;14,71;31511;2150;493,35;62082,79
12;2018;57,78;8,33;2654;1,6;0,65;66,49;9,36;20,2;55,57;147,7;30,83;26,21;69550;3636;484,71;76717,92
12;2019;59,09;7,34;2653;1,14;0,99;68,76;9,17;19,86;55,75;148,15;30,14;26,36;69923;3682;501,19;79364,3
12;2020;60,6;6,5;2703;3,02;2,99;68,15;8,96;19,45;56,57;149,12;30,64;25,12;67908;3750;523,29;83510,14
12;2021;60,61;6,48;2707;3,16;2,53;73,9;8,94;19,43;56,44;149,2;30,57;25,07;67863;3989;523,21;83525,5
12;2022;60,59;6,48;2708;3,13;2,49;75,4;8,97;19,54;56,35;149,16;;24,99;67671;3989;523,23;83526,68
13;2018;22,39;22,48;4250;5,31;0,48;52,98;15,21;39,19;22,17;96,78;13,38;7,42;31534;17220;350,14;34864,06
13;2019;24,74;21,6;4248;4,22;0,39;57,33;15,18;39,13;22,09;96,81;14,03;7,75;32927;17220;360,75;35942,15
13;2020;26,54;20,41;4244;3,5;0,41;60,82;15,05;39,01;22,07;96,94;13,68;7,63;32366;19663;372,18;37100,5
13;2021;26,51;20,41;4245;2,03;0,22;62,76;15,05;39;22,05;96,92;13,43;7,62;32366;20078;372,17;37092,51
13;2022;26,78;20,81;4188;0,98;0,2;64,49;15,31;39,18;22,21;96,75;;7,78;32582;22378;372,93;37144,38
14;2018;31,87;26,22;2821;11,88;0,58;48,04;11,31;31,8;33,45;107,09;31;17,42;49142;13363;361,26;41470,62
14;2019;33,31;24,39;2798;8,08;0,22;47,66;11,16;31,53;33,6;107,35;30,58;17,6;49231;14103;374,23;43001,26
14;2020;34,8;22,86;2821;6,11;1,26;47,45;11,54;31,92;33,18;106,96;30,41;17,48;49325;13273;386,61;44239,13
14;2021;34,68;22,79;2830;3,48;1,25;47,55;11,61;31,96;33,03;106,48;29,27;17,43;49325;13155;386,91;44071,21
