DTBA;nombre;geometry;DT;Year;ValueDate;037 Índice de aloctonía estatal;042 Porcentaje de unidades familiares unipersonales;201 Comercio Restaurantes Hostelería y Reparaciones;311 Número de Pisos Turísticos;401 Renta neta media por persona;474 Índice de Gini;503 Alquiler medio mensual €/m2;barrio;cluster;namecluster;c_KM_3;n_KM_3;c_KM_4;n_KM_4;c_SC_3;n_SC_3;c_SC_4;n_SC_4;c_KM_sin_037_3;n_KM_sin_037_3;c_KM_sin_042_3;n_KM_sin_042_3;c_KM_sin_201_3;n_KM_sin_201_3;c_KM_sin_311_3;n_KM_sin_311_3;c_KM_sin_401_3;n_KM_sin_401_3;c_KM_sin_474_3;n_KM_sin_474_3;c_KM_sin_503_3;n_KM_sin_503_3
115;NATZARET;POLYGON ((-0.3345912841374012 39.45477984627252, -0.3332596082105722 39.45486642071779, -0.3324121213380516 39.454883015591335, -0.3308913567339164 39.45406435626712, -0.3316102442527516 39.4532880934933, -0.3270990963276303 39.448229690605075, -0.3273499676544383 39.446285073033344, -0.3332212866097762 39.44012287859828, -0.3356755528243878 39.4349497097333, -0.3365305199142564 39.434978303628945, -0.3366308564015821 39.43602108122877, -0.3365901589602382 39.436916495543166, -0.3361671032400384 39.44050569105779, -0.336141365995629 39.44068527674086, -0.3361326006336461 39.44074362389179, -0.3361130509191935 39.44076119339113, -0.3359750658190622 39.44239758296176, -0.3358429259180168 39.44395754035988, -0.335741727789234 39.444878619795745, -0.3357362064912671 39.44492804147428, -0.3355476598642788 39.44655880204759, -0.3354664412184924 39.447412764090636, -0.3352826451661676 39.448404019085324, -0.3356094141689782 39.448443032175, -0.3354265760653058 39.44944782236034, -0.334905748898359 39.452629468973015, -0.3348932817404425 39.45383184351337, -0.3345912841374012 39.45477984627252));11;2018;2018-01-01;18.35;29.66;121.0;9.0;8628.32893624218;35.920395738204;4.01421122562851;115 NATZARET;1;Cluster 1;1;Cluster 1;1;Cluster 1;1;Cluster 1;2;Cluster 2;1;Cluster 1;1;Cluster 1;1;Cluster 1;1;Cluster 1;0;Cluster 0;1;Cluster 1;1;Cluster 1
115;NATZARET;POLYGON ((-0.3345912841374012 39.45477984627252, -0.3332596082105722 39.45486642071779, -0.3324121213380516 39.454883015591335, -0.3308913567339164 39.45406435626712, -0.3316102442527516 39.4532880934933, -0.3270990963276303 39.448229690605075, -0.3273499676544383 39.446285073033344, -0.3332212866097762 39.44012287859828, -0.3356755528243878 39.4349497097333, -0.3365305199142564 39.434978303628945, -0.3366308564015821 39.43602108122877, -0.3365901589602382 39.436916495543166, -0.3361671032400384 39.44050569105779, -0.336141365995629 39.44068527674086, -0.3361326006336461 39.44074362389179, -0.3361130509191935 39.44076119339113, -0.3359750658190622 39.44239758296176, -0.3358429259180168 39.44395754035988, -0.335741727789234 39.444878619795745, -0.3357362064912671 39.44492804147428, -0.3355476598642788 39.44655880204759, -0.3354664412184924 39.447412764090636, -0.3352826451661676 39.448404019085324, -0.3356094141689782 39.448443032175, -0.3354265760653058 39.44944782236034, -0.334905748898359 39.452629468973015, -0.3348932817404425 39.45383184351337, -0.3345912841374012 39.45477984627252));11;2019;2019-01-01;18.21;30.57;123.0;8.0;9070.38186077644;33.7032463186078;4.3456507810271;115 NATZARET;1;Cluster 1;1;Cluster 1;2;Cluster 2;1;Cluster 1;2;Cluster 2;1;Cluster 1;1;Cluster 1;1;Cluster 1;1;Cluster 1;0;Cluster 0;1;Cluster 1;1;Cluster 1
115;NATZARET;POLYGON ((-0.3345912841374012 39.45477984627252, -0.3332596082105722 39.45486642071779, -0.3324121213380516 39.454883015591335, -0.3308913567339164 39.45406435626712, -0.3316102442527516 39.4532880934933, -0.3270990963276303 39.448229690605075, -0.3273499676544383 39.446285073033344, -0.3332212866097762 39.44012287859828, -0.3356755528243878 39.4349497097333, -0.3365305199142564 39.434978303628945, -0.3366308564015821 39.43602108122877, -0.3365901589602382 39.436916495543166, -0.3361671032400384 39.44050569105779, -0.336141365995629 39.44068527674086, -0.3361326006336461 39.44074362389179, -0.3361130509191935 39.44076119339113, -0.3359750658190622 39.44239758296176, -0.3358429259180168 39.44395754035988, -0.335741727789234 39.444878619795745, -0.3357362064912671 39.44492804147428, -0.3355476598642788 39.44655880204759, -0.3354664412184924 39.447412764090636, -0.3352826451661676 39.448404019085324, -0.3356094141689782 39.448443032175, -0.3354265760653058 39.44944782236034, -0.334905748898359 39.452629468973015, -0.3348932817404425 39.45383184351337, -0.3345912841374012 39.45477984627252));11;2020;2020-01-01;20.32;30.59;127.0;8.0;9344.39246678998;33.304607365058;4.62513424959773;115 NATZARET;1;Cluster 1;1;Cluster 1;1;Cluster 1;1;Cluster 1;2;Cluster 2;1;Cluster 1;1;Cluster 1;1;Cluster 1;1;Cluster 1;0;Cluster 0;1;Cluster 1;1;Cluster 1
115;NATZARET;POLYGON ((-0.3345912841374012 39.45477984627252, -0.3332596082105722 39.45486642071779, -0.3324121213380516 39.454883015591335, -0.3308913567339164 39.45406435626712, -0.3316102442527516 39.4532880934933, -0.3270990963276303 39.448229690605075, -0.3273499676544383 39.446285073033344, -0.3332212866097762 39.44012287859828, -0.3356755528243878 39.4349497097333, -0.3365305199142564 39.434978303628945, -0.3366308564015821 39.43602108122877, -0.3365901589602382 39.436916495543166, -0.3361671032400384 39.44050569105779, -0.336141365995629 39.44068527674086, -0.3361326006336461 39.44074362389179, -0.3361130509191935 39.44076119339113, -0.3359750658190622 39.44239758296176, -0.3358429259180168 39.44395754035988, -0.335741727789234 39.444878619795745, -0.3357362064912671 39.44492804147428, -0.3355476598642788 39.44655880204759, -0.3354664412184924 39.447412764090636, -0.3352826451661676 39.448404019085324, -0.3356094141689782 39.448443032175, -0.3354265760653058 39.44944782236034, -0.334905748898359 39.452629468973015, -0.3348932817404425 39.45383184351337, -0.3345912841374012 39.45477984627252));11;2021;2021-01-01;21.55;31.61;127.0;14.0;9344.39246678998;33.304607365058;4.62513424959773;115 NATZARET;1;Cluster 1;1;Cluster 1;1;Cluster 1;1;Cluster 1;1;Cluster 1;1;Cluster 1;1;Cluster 1;1;Cluster 1;1;Cluster 1;1;Cluster 1;1;Cluster 1;1;Cluster 1
115;NATZARET;POLYGON ((-0.3345912841374012 39.45477984627252, -0.3332596082105722 39.45486642071779, -0.3324121213380516 39.454883015591335, -0.3308913567339164 39.45406435626712, -0.3316102442527516 39.4532880934933, -0.3270990963276303 39.448229690605075, -0.3273499676544383 39.446285073033344, -0.3332212866097762 39.44012287859828, -0.3356755528243878 39.4349497097333, -0.3365305199142564 39.434978303628945, -0.3366308564015821 39.43602108122877, -0.3365901589602382 39.436916495543166, -0.3361671032400384 39.44050569105779, -0.336141365995629 39.44068527674086, -0.3361326006336461 39.44074362389179, -0.3361130509191935 39.44076119339113, -0.3359750658190622 39.44239758296176, -0.3358429259180168 39.44395754035988, -0.335741727789234 39.444878619795745, -0.3357362064912671 39.44492804147428, -0.3355476598642788 39.44655880204759, -0.3354664412184924 39.447412764090636, -0.3352826451661676 39.448404019085324, -0.3356094141689782 39.448443032175, -0.3354265760653058 39.44944782236034, -0.334905748898359 39.452629468973015, -0.3348932817404425 39.45383184351337, -0.3345912841374012 39.45477984627252));11;2022;2022-01-01;22.31;31.45;127.0;14.0;9344.39246678998;33.304607365058;4.62513424959773;115 NATZARET;1;Cluster 1;1;Cluster 1;1;Cluster 1;1;Cluster 1;1;Cluster 1;1;Cluster 1;1;Cluster 1;1;Cluster 1;1;Cluster 1;1;Cluster 1;1;Cluster 1;1;Cluster 1
93;LA CREU COBERTA;POLYGON ((-0.3812388903732512 39.45462857195775, -0.3828101040008694 39.449506445763724, -0.3835977643293342 39.44728550218637, -0.3858161370446614 39.447835417583406, -0.3896127486290997 39.44772257099926, -0.3893170991049943 39.44922038926409, -0.3888569073209684 39.45127306684714, -0.3887956064973338 39.45159150338719, -0.3886669431519654 39.452255257618646, -0.3885021553091805 39.45316594290629, -0.387739332687362 39.45297763245679, -0.3868856716316055 39.452868354230176, -0.3846718718058733 39.45257981683585, -0.3844723475279611 39.453543767107185, -0.3841628970132945 39.4550187459505, -0.3812388903732512 39.45462857195775));9;2018;2018-01-01;17.35;27.57;156.0;4.0;11540.7264566672;30.9512648930961;4.77091125688085;93 LA CREU COBERTA;1;Cluster 1;1;Cluster 1;2;Cluster 2;1;Cluster 1;2;Cluster 2;1;Cluster 1;1;Cluster 1;1;Cluster 1;0;Cluster 0;0;Cluster 0;1;Cluster 1;0;Cluster 0
93;LA CREU COBERTA;POLYGON ((-0.3812388903732512 39.45462857195775, -0.3828101040008694 39.449506445763724, -0.3835977643293342 39.44728550218637, -0.3858161370446614 39.447835417583406, -0.3896127486290997 39.44772257099926, -0.3893170991049943 39.44922038926409, -0.3888569073209684 39.45127306684714, -0.3887956064973338 39.45159150338719, -0.3886669431519654 39.452255257618646, -0.3885021553091805 39.45316594290629, -0.387739332687362 39.45297763245679, -0.3868856716316055 39.452868354230176, -0.3846718718058733 39.45257981683585, -0.3844723475279611 39.453543767107185, -0.3841628970132945 39.4550187459505, -0.3812388903732512 39.45462857195775));9;2019;2019-01-01;18.35;27.48;158.0;4.0;12116.3469387755;30.1545753785385;5.04277400674321;93 LA CREU COBERTA;1;Cluster 1;1;Cluster 1;2;Cluster 2;1;Cluster 1;2;Cluster 2;1;Cluster 1;1;Cluster 1;1;Cluster 1;0;Cluster 0;0;Cluster 0;1;Cluster 1;0;Cluster 0
93;LA CREU COBERTA;POLYGON ((-0.3812388903732512 39.45462857195775, -0.3828101040008694 39.449506445763724, -0.3835977643293342 39.44728550218637, -0.3858161370446614 39.447835417583406, -0.3896127486290997 39.44772257099926, -0.3893170991049943 39.44922038926409, -0.3888569073209684 39.45127306684714, -0.3887956064973338 39.45159150338719, -0.3886669431519654 39.452255257618646, -0.3885021553091805 39.45316594290629, -0.387739332687362 39.45297763245679, -0.3868856716316055 39.452868354230176, -0.3846718718058733 39.45257981683585, -0.3844723475279611 39.453543767107185, -0.3841628970132945 39.4550187459505, -0.3812388903732512 39.45462857195775));9;2020;2020-01-01;19.2;27.41;148.0;4.0;12485.0567626748;30.8130032002695;5.42623013414233;93 LA CREU COBERTA;1;Cluster 1;1;Cluster 1;2;Cluster 2;1;Cluster 1;2;Cluster 2;1;Cluster 1;1;Cluster 1;1;Cluster 1;0;Cluster 0;0;Cluster 0;1;Cluster 1;0;Cluster 0
93;LA CREU COBERTA;POLYGON ((-0.3812388903732512 39.45462857195775, -0.3828101040008694 39.449506445763724, -0.3835977643293342 39.44728550218637, -0.3858161370446614 39.447835417583406, -0.3896127486290997 39.44772257099926, -0.3893170991049943 39.44922038926409, -0.3888569073209684 39.45127306684714, -0.3887956064973338 39.45159150338719, -0.3886669431519654 39.452255257618646, -0.3885021553091805 39.45316594290629, -0.387739332687362 39.45297763245679, -0.3868856716316055 39.452868354230176, -0.3846718718058733 39.45257981683585, -0.3844723475279611 39.453543767107185, -0.3841628970132945 39.4550187459505, -0.3812388903732512 39.45462857195775));9;2021;2021-01-01;20.3;28.91;148.0;4.0;12485.0567626748;30.8130032002695;5.42623013414233;93 LA CREU COBERTA;1;Cluster 1;1;Cluster 1;2;Cluster 2;1;Cluster 1;2;Cluster 2;1;Cluster 1;1;Cluster 1;1;Cluster 1;0;Cluster 0;0;Cluster 0;1;Cluster 1;1;Cluster 1
93;LA CREU COBERTA;POLYGON ((-0.3812388903732512 39.45462857195775, -0.3828101040008694 39.449506445763724, -0.3835977643293342 39.44728550218637, -0.3858161370446614 39.447835417583406, -0.3896127486290997 39.44772257099926, -0.3893170991049943 39.44922038926409, -0.3888569073209684 39.45127306684714, -0.3887956064973338 39.45159150338719, -0.3886669431519654 39.452255257618646, -0.3885021553091805 39.45316594290629, -0.387739332687362 39.45297763245679, -0.3868856716316055 39.452868354230176, -0.3846718718058733 39.45257981683585, -0.3844723475279611 39.453543767107185, -0.3841628970132945 39.4550187459505, -0.3812388903732512 39.45462857195775));9;2022;2022-01-01;21.16;31.21;148.0;4.0;12485.0567626748;30.8130032002695;5.42623013414233;93 LA CREU COBERTA;1;Cluster 1;1;Cluster 1;1;Cluster 1;1;Cluster 1;2;Cluster 2;1;Cluster 1;1;Cluster 1;1;Cluster 1;1;Cluster 1;0;Cluster 0;1;Cluster 1;1;Cluster 1
132;CIUTAT JARDI;POLYGON ((-0.347092769428579 39.47548188273136, -0.3414381331291986 39.473791815572156, -0.3399953934014986 39.473371441719486, -0.3403996372309118 39.47254288115333, -0.3394046888693839 39.4722678699642, -0.3397535161358954 39.47155966079838, -0.341961937778675 39.47222727650377, -0.3437115490706986 39.46865027797054, -0.3440839133337779 39.46875337163883, -0.3443387645629006 39.4686420820301, -0.3443931313383725 39.46853071498673, -0.3483563963597515 39.469661690436425, -0.3493938605877272 39.46996462094234, -0.348719735848544 39.471647393842076, -0.3477612635431851 39.47396778948359, -0.347092769428579 39.47548188273136));13;2018;2018-01-01;16.93;34.47;486.0;45.0;14890.2366139725;32.0927757946626;5.79633303623309;132 CIUTAT JARDI;0;Cluster 0;0;Cluster 0;0;Cluster 0;0;Cluster 0;2;Cluster 2;0;Cluster 0;0;Cluster 0;0;Cluster 0;0;Cluster 0;1;Cluster 1;0;Cluster 0;0;Cluster 0
132;CIUTAT JARDI;POLYGON ((-0.347092769428579 39.47548188273136, -0.3414381331291986 39.473791815572156, -0.3399953934014986 39.473371441719486, -0.3403996372309118 39.47254288115333, -0.3394046888693839 39.4722678699642, -0.3397535161358954 39.47155966079838, -0.341961937778675 39.47222727650377, -0.3437115490706986 39.46865027797054, -0.3440839133337779 39.46875337163883, -0.3443387645629006 39.4686420820301, -0.3443931313383725 39.46853071498673, -0.3483563963597515 39.469661690436425, -0.3493938605877272 39.46996462094234, -0.348719735848544 39.471647393842076, -0.3477612635431851 39.47396778948359, -0.347092769428579 39.47548188273136));13;2019;2019-01-01;16.76;35.52;509.0;45.0;15324.6617821447;31.3416821954938;6.38589247182341;132 CIUTAT JARDI;0;Cluster 0;0;Cluster 0;0;Cluster 0;0;Cluster 0;2;Cluster 2;0;Cluster 0;0;Cluster 0;0;Cluster 0;2;Cluster 2;1;Cluster 1;0;Cluster 0;0;Cluster 0
132;CIUTAT JARDI;POLYGON ((-0.347092769428579 39.47548188273136, -0.3414381331291986 39.473791815572156, -0.3399953934014986 39.473371441719486, -0.3403996372309118 39.47254288115333, -0.3394046888693839 39.4722678699642, -0.3397535161358954 39.47155966079838, -0.341961937778675 39.47222727650377, -0.3437115490706986 39.46865027797054, -0.3440839133337779 39.46875337163883, -0.3443387645629006 39.4686420820301, -0.3443931313383725 39.46853071498673, -0.3483563963597515 39.469661690436425, -0.3493938605877272 39.46996462094234, -0.348719735848544 39.471647393842076, -0.3477612635431851 39.47396778948359, -0.347092769428579 39.47548188273136));13;2020;2020-01-01;17.32;35.88;503.0;43.0;15609.9754091263;30.8170231188848;6.51249767680328;132 CIUTAT JARDI;0;Cluster 0;0;Cluster 0;0;Cluster 0;0;Cluster 0;2;Cluster 2;0;Cluster 0;0;Cluster 0;0;Cluster 0;2;Cluster 2;1;Cluster 1;0;Cluster 0;0;Cluster 0
132;CIUTAT JARDI;POLYGON ((-0.347092769428579 39.47548188273136, -0.3414381331291986 39.473791815572156, -0.3399953934014986 39.473371441719486, -0.3403996372309118 39.47254288115333, -0.3394046888693839 39.4722678699642, -0.3397535161358954 39.47155966079838, -0.341961937778675 39.47222727650377, -0.3437115490706986 39.46865027797054, -0.3440839133337779 39.46875337163883, -0.3443387645629006 39.4686420820301, -0.3443931313383725 39.46853071498673, -0.3483563963597515 39.469661690436425, -0.3493938605877272 39.46996462094234, -0.348719735848544 39.471647393842076, -0.3477612635431851 39.47396778948359, -0.347092769428579 39.47548188273136));13;2021;2021-01-01;18.29;36.8;503.0;43.0;15609.9754091263;30.8170231188848;6.51249767680328;132 CIUTAT JARDI;0;Cluster 0;0;Cluster 0;0;Cluster 0;0;Cluster 0;1;Cluster 1;0;Cluster 0;0;Cluster 0;0;Cluster 0;2;Cluster 2;1;Cluster 1;0;Cluster 0;0;Cluster 0
132;CIUTAT JARDI;POLYGON ((-0.347092769428579 39.47548188273136, -0.3414381331291986 39.473791815572156, -0.3399953934014986 39.473371441719486, -0.3403996372309118 39.47254288115333, -0.3394046888693839 39.4722678699642, -0.3397535161358954 39.47155966079838, -0.341961937778675 39.47222727650377, -0.3437115490706986 39.46865027797054, -0.3440839133337779 39.46875337163883, -0.3443387645629006 39.4686420820301, -0.3443931313383725 39.46853071498673, -0.3483563963597515 39.469661690436425, -0.3493938605877272 39.46996462094234, -0.348719735848544 39.471647393842076, -0.3477612635431851 39.47396778948359, -0.347092769428579 39.47548188273136));13;2022;2022-01-01;19.01;37.74;503.0;43.0;15609.9754091263;30.8170231188848;6.51249767680328;132 CIUTAT JARDI;0;Cluster 0;0;Cluster 0;0;Cluster 0;0;Cluster 0;1;Cluster 1;0;Cluster 0;0;Cluster 0;0;Cluster 0;2;Cluster 2;1;Cluster 1;0;Cluster 0;0;Cluster 0
