DT;DTBA;Indicator;Year;Value
1;11;82;2018;11,86
1;11;82;2019;11,94
1;11;82;2020;11,96
1;11;82;2021;11,94
1;11;82;2022;12,02
1;12;82;2018;9,36
1;12;82;2019;9,17
1;12;82;2020;8,96
1;12;82;2021;8,94
1;12;82;2022;8,97
1;13;82;2018;15,21
1;13;82;2019;15,18
1;13;82;2020;15,05
1;13;82;2021;15,05
1;13;82;2022;15,31
1;14;82;2018;11,31
1;14;82;2019;11,16
1;14;82;2020;11,54
1;14;82;2021;11,61
1;14;82;2022;11,7
1;15;82;2018;18,45
1;15;82;2019;19,21
1;15;82;2020;19,44
1;15;82;2021;19,55
1;15;82;2022;19,63
1;16;82;2018;9,46
1;16;82;2019;9,51
1;16;82;2020;9,45
1;16;82;2021;9,55
1;16;82;2022;9,55
2;21;82;2018;6,81
2;21;82;2019;6,77
2;21;82;2020;6,78
2;21;82;2021;6,77
2;21;82;2022;6,7
2;22;82;2018;2,74
2;22;82;2019;2,74
2;22;82;2020;2,76
2;22;82;2021;2,71
2;22;82;2022;2,74
2;23;82;2018;2,04
2;23;82;2019;2,04
2;23;82;2020;2,06
2;23;82;2021;2,06
2;23;82;2022;2,07
3;31;82;2018;11,78
3;31;82;2019;11,76
3;31;82;2020;11,8
3;31;82;2021;11,79
3;31;82;2022;11,68
3;32;82;2018;10,86
3;32;82;2019;10,88
3;32;82;2020;10,92
3;32;82;2021;10,92
3;32;82;2022;10,96
3;33;82;2018;3,92
3;33;82;2019;3,94
3;33;82;2020;3,98
3;33;82;2021;3,99
3;33;82;2022;3,94
3;34;82;2018;3,48
3;34;82;2019;3,5
3;34;82;2020;3,58
3;34;82;2021;3,57
3;34;82;2022;3,56
4;41;82;2018;3,4
4;41;82;2019;3,4
4;41;82;2020;3,4
4;41;82;2021;3,44
4;41;82;2022;3,44
4;42;82;2018;1,4
4;42;82;2019;1,4
4;42;82;2020;1,4
4;42;82;2021;1,4
4;42;82;2022;1,39
4;43;82;2018;18,28
4;43;82;2019;18,28
4;43;82;2020;18,26
4;43;82;2021;18,25
4;43;82;2022;18,23
4;44;82;2018;2,35
4;44;82;2019;2,35
4;44;82;2020;2,33
4;44;82;2021;2,32
4;44;82;2022;2,23
5;51;82;2018;3,82
5;51;82;2019;3,82
5;51;82;2020;3,82
5;51;82;2021;3,79
5;51;82;2022;3,79
5;52;82;2018;4,17
5;52;82;2019;4,29
5;52;82;2020;4,23
5;52;82;2021;4,27
5;52;82;2022;4,27
5;53;82;2018;5,36
5;53;82;2019;5,36
5;53;82;2020;5,36
5;53;82;2021;5,34
5;53;82;2022;5,34
5;54;82;2018;4,28
5;54;82;2019;4,28
5;54;82;2020;4,24
