id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
55692,Delight in city center,120649,Pilar,CIUTAT VELLA,LA SEU,39.47658,-0.37654,Entire home/apt,100,1,1,2014-11-11,0.01,1,138,0,
95393,Modern and bright Duplex 3 Bedrooms Center Wi-Fi,508042,Carmen,CIUTAT VELLA,EL CARME,39.47685,-0.38181,Entire home/apt,156,2,108,2022-09-04,0.79,5,182,8,31815
100347,3BDR full Home at Sorolla station and Metro Jesús,1451371,Santiago,EXTRAMURS,ARRANCAPINS,39.45965,-0.38453,Entire home/apt,141,3,135,2022-08-19,2.33,1,0,2,
102524,EXCLUSIVE VILLA WITH POOL & 5 SUITES ON THE BEACH,535881,Vicente,POBLATS MARITIMS,LA MALVA-ROSA,39.48197,-0.32456,Entire home/apt,396,1,168,2022-09-08,1.27,6,284,30,VT-36438-V
103386,"Central 2 Bedrooms, 3/5 pers. Wi-Fi",508042,Carmen,CIUTAT VELLA,EL PILAR,39.47567,-0.38217,Entire home/apt,94,2,16,2022-07-05,0.12,5,181,1,31813
136378,Old City Charm with Modern Comfort,591197,Elisa,CIUTAT VELLA,EL MERCAT,39.47358,-0.37815,Entire home/apt,75,5,23,2022-08-22,0.17,3,15,4,VT-42161-V
147548,"Beautiful apartment,Valencia-Spain VT-32159-V",713025,Alejandro,QUATRE CARRERES,MONT-OLIVET,39.46195,-0.36063,Entire home/apt,285,5,98,2022-08-21,0.75,2,252,20,VT-32159-V
149715,1900 Style Valencian Beach  Home for 10px,5947,Susana Barbara,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46746,-0.32813,Entire home/apt,224,2,201,2022-09-12,1.48,1,285,31,Nº TURISMO VT36469V  CATEGORIA: standard
152075,"Room Wish two beds, with  prívate bathrooms.",731877,Pedro,POBLATS DEL SUD,FAITANAR,39.43242,-0.42695,Private room,121,2,0,,,1,358,0,
152369,Loft in Barrio del Carmen (Center),644376,Oscar,CIUTAT VELLA,EL CARME,39.47863,-0.38219,Entire home/apt,60,2,80,2019-09-07,0.65,4,0,0,
153375,Modern flat front of science's city,737412,Florence,QUATRE CARRERES,MONT-OLIVET,39.46062,-0.3605,Entire home/apt,20,180,0,,,1,77,0,
165971,★ Architectural touch! ★,791187,Inés,EXTRAMURS,LA ROQUETA,39.4679,-0.38206,Entire home/apt,89,5,423,2022-08-28,3.12,5,52,45,VT-32757-V
166315,Lovely Central Market Plaza Apt.,591197,Elisa,CIUTAT VELLA,EL MERCAT,39.47337,-0.3778,Entire home/apt,80,5,49,2022-08-29,0.40,3,52,10,VT-42153-V
169284,Apartment near downtown,806645,Maria Jesus,L'OLIVERETA,NOU MOLES,39.46759,-0.39067,Entire home/apt,46,6,105,2022-09-13,0.93,7,270,14,
182221,Apartments Calatrava City Valencia,1315567,Chiara,CAMINS AL GRAU,AIORA,39.46343,-0.34325,Entire home/apt,149,3,7,2022-04-26,0.08,2,310,3,VT-38755-V
192674,Modern 2 br in El Carmen -  Parking Available,933504,Anthony,CIUTAT VELLA,EL CARME,39.48002,-0.38021,Entire home/apt,113,3,108,2022-09-10,0.92,5,139,24,
193326,"Sunny balcony room, beach & city",937597,Noelia,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.473,-0.32897,Private room,49,1,226,2022-09-11,1.70,2,176,40,
222837,Enjoy the beach of Valencia!,1142118,Miguel,ALGIROS,LA CARRASCA,39.49472,-0.32564,Entire home/apt,90,2,41,2018-09-19,0.33,1,1,0,
225070,Valencia City & Beach,937597,Noelia,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.47152,-0.33123,Private room,49,1,153,2022-07-21,1.17,2,177,17,
231367,Studio with terrace near Ruzafa,644376,Oscar,QUATRE CARRERES,MONT-OLIVET,39.45747,-0.36805,Entire home/apt,52,1,119,2021-09-29,0.94,4,0,1,
250981,Apartment Ciudad de Valencia,1315567,Chiara,CAMINS AL GRAU,LA CREU DEL GRAU,39.46233,-0.34263,Entire home/apt,106,4,3,2018-02-10,0.03,2,349,0,
260929,Comfort bedroom & private bathroom in shared flat,140702,Miguel,EL PLA DEL REAL,EXPOSICIO,39.47507,-0.36296,Private room,50,1,44,2022-09-06,0.39,3,122,21,
260935,"Double room near old town, university & Mestalla",140702,Miguel,EL PLA DEL REAL,EXPOSICIO,39.47505,-0.36282,Private room,49,1,373,2022-09-14,2.99,3,334,69,
265340,Design apartment in the center WIFI,1391644,Nina,L'EIXAMPLE,RUSSAFA,39.46232,-0.37508,Entire home/apt,90,3,83,2022-08-25,0.64,1,290,8,
